DEPTH,Ga,Si,O,C
0.00E+00,1.08E+05,6.20E+07,7.73E+07,1.52E+08
3.00E-01,1.31E+05,2.26E+07,3.74E+07,2.18E+08
5.00E-01,1.66E+05,8.18E+06,1.52E+07,2.48E+08
8.00E-01,1.76E+05,4.10E+06,8.21E+06,2.55E+08
1.00E+00,1.97E+05,2.56E+06,5.12E+06,2.56E+08
1.30E+00,2.05E+05,1.88E+06,3.79E+06,2.57E+08
1.50E+00,2.27E+05,1.41E+06,2.95E+06,2.55E+08
1.80E+00,2.78E+05,1.17E+06,2.36E+06,2.55E+08
2.00E+00,3.15E+05,1.01E+06,1.99E+06,2.54E+08
2.30E+00,3.32E+05,8.33E+05,1.75E+06,2.53E+08
2.50E+00,3.61E+05,6.88E+05,1.46E+06,2.52E+08
2.80E+00,3.75E+05,6.20E+05,1.28E+06,2.50E+08
3.00E+00,4.02E+05,5.69E+05,1.11E+06,2.49E+08
3.30E+00,4.43E+05,4.76E+05,1.01E+06,2.47E+08
3.50E+00,4.45E+05,4.31E+05,9.57E+05,2.46E+08
3.80E+00,4.90E+05,4.02E+05,8.38E+05,2.44E+08
4.00E+00,5.19E+05,3.54E+05,8.00E+05,2.42E+08
4.30E+00,5.61E+05,3.29E+05,6.90E+05,2.39E+08
4.50E+00,5.68E+05,3.12E+05,6.59E+05,2.37E+08
4.80E+00,5.84E+05,2.80E+05,6.11E+05,2.34E+08
5.00E+00,6.15E+05,2.60E+05,5.56E+05,2.31E+08
5.30E+00,6.32E+05,2.50E+05,5.19E+05,2.27E+08
5.50E+00,6.87E+05,2.20E+05,4.86E+05,2.24E+08
5.80E+00,6.67E+05,2.14E+05,4.41E+05,2.20E+08
6.00E+00,7.06E+05,1.91E+05,4.46E+05,2.16E+08
6.30E+00,7.30E+05,1.90E+05,3.99E+05,2.11E+08
6.50E+00,7.57E+05,1.51E+05,3.62E+05,2.07E+08
6.80E+00,7.44E+05,1.45E+05,3.62E+05,2.02E+08
7.00E+00,8.25E+05,1.41E+05,3.43E+05,1.97E+08
7.30E+00,8.02E+05,1.30E+05,3.17E+05,1.92E+08
7.50E+00,8.14E+05,1.25E+05,3.05E+05,1.87E+08
7.80E+00,8.76E+05,1.19E+05,2.68E+05,1.81E+08
8.00E+00,8.62E+05,1.21E+05,2.78E+05,1.76E+08
8.30E+00,8.86E+05,1.06E+05,2.32E+05,1.70E+08
8.50E+00,8.82E+05,1.06E+05,2.62E+05,1.64E+08
8.80E+00,8.67E+05,8.48E+04,2.27E+05,1.58E+08
9.00E+00,8.72E+05,8.84E+04,2.20E+05,1.52E+08
9.30E+00,8.77E+05,9.80E+04,1.86E+05,1.45E+08
9.50E+00,8.62E+05,8.28E+04,1.88E+05,1.40E+08
9.80E+00,8.70E+05,8.12E+04,1.78E+05,1.34E+08
1.00E+01,8.88E+05,6.68E+04,1.66E+05,1.28E+08
1.03E+01,8.17E+05,6.84E+04,1.77E+05,1.22E+08
1.05E+01,8.27E+05,6.12E+04,1.57E+05,1.16E+08
1.08E+01,8.44E+05,6.12E+04,1.60E+05,1.10E+08
1.10E+01,7.71E+05,5.64E+04,1.53E+05,1.05E+08
1.13E+01,7.42E+05,5.32E+04,1.40E+05,9.94E+07
1.15E+01,7.43E+05,4.80E+04,1.37E+05,9.36E+07
1.18E+01,7.30E+05,5.08E+04,1.34E+05,8.84E+07
1.20E+01,7.13E+05,4.64E+04,1.32E+05,8.36E+07
1.23E+01,6.88E+05,4.36E+04,1.25E+05,7.82E+07
1.25E+01,6.17E+05,4.96E+04,1.16E+05,7.33E+07
1.28E+01,6.04E+05,3.88E+04,1.15E+05,6.84E+07
1.30E+01,5.76E+05,3.84E+04,1.13E+05,6.41E+07
1.33E+01,5.40E+05,3.80E+04,9.88E+04,6.01E+07
1.35E+01,5.35E+05,3.56E+04,8.12E+04,5.59E+07
1.38E+01,4.83E+05,3.12E+04,8.56E+04,5.22E+07
1.40E+01,4.76E+05,2.96E+04,9.24E+04,4.79E+07
1.43E+01,4.24E+05,2.52E+04,8.40E+04,4.38E+07
1.45E+01,4.06E+05,2.48E+04,7.28E+04,3.89E+07
1.48E+01,3.58E+05,2.20E+04,6.64E+04,2.99E+07
