DEPTH         Ga         Si          O          C    
301000.E-05  0.0000E+00  2.9457E+07  3.1288E+07  3.3334E+02
601000.E-05  0.0000E+00  2.9111E+07  3.8006E+07  0.0000E+00
901000.E-05  0.0000E+00  3.2730E+07  3.0605E+07  0.0000E+00
120100.E-04  0.0000E+00  3.8317E+07  3.6271E+07  0.0000E+00
150100.E-04  0.0000E+00  4.2597E+07  4.0942E+07  0.0000E+00
180100.E-04  0.0000E+00  4.6294E+07  4.5301E+07  0.0000E+00
210100.E-04  0.0000E+00  4.9654E+07  4.8622E+07  0.0000E+00
240100.E-04  6.6667E+02  5.3041E+07  5.2026E+07  3.3334E+02
270100.E-04  0.0000E+00  5.6290E+07  5.5346E+07  3.3334E+02
300100.E-04  1.0000E+03  5.9232E+07  5.8246E+07  0.0000E+00
330100.E-04  3.3334E+03  6.2387E+07  6.1324E+07  0.0000E+00
360100.E-04  1.0000E+03  6.5368E+07  6.3971E+07  3.3334E+02
390100.E-04  2.3334E+03  6.7720E+07  6.6869E+07  0.0000E+00
420100.E-04  3.3334E+03  7.0842E+07  6.9419E+07  3.3334E+02
450100.E-04  6.0001E+03  7.3145E+07  7.1990E+07  1.3333E+03
480100.E-04  5.0001E+03  7.5277E+07  7.4417E+07  1.0000E+03
510100.E-04  9.3334E+03  7.7852E+07  7.6498E+07  1.3333E+03
540100.E-04  8.0001E+03  7.9773E+07  7.8628E+07  1.3333E+03
570100.E-04  9.3334E+03  8.2760E+07  8.0809E+07  6.6667E+02
600100.E-04  1.5667E+04  8.4227E+07  8.3526E+07  6.6667E+02
630100.E-04  1.4667E+04  8.6348E+07  8.4876E+07  6.6667E+02
660100.E-04  2.6667E+04  8.8269E+07  8.6867E+07  2.0000E+03
690100.E-04  2.7334E+04  9.0041E+07  8.9057E+07  1.0000E+03
720100.E-04  3.2667E+04  9.1798E+07  9.0588E+07  1.3333E+03
750100.E-04  3.6667E+04  9.3626E+07  9.1926E+07  1.0000E+03
780100.E-04  4.8667E+04  9.5294E+07  9.3909E+07  1.6667E+03
810100.E-04  5.4334E+04  9.7237E+07  9.5756E+07  2.3334E+03
840100.E-04  5.8001E+04  9.8979E+07  9.7291E+07  5.6667E+03
870100.E-04  7.1001E+04  1.0015E+08  9.8960E+07  6.6667E+03
900100.E-04  8.6334E+04  1.0173E+08  1.0016E+08  5.6667E+03
930100.E-04  8.8334E+04  1.0358E+08  1.0176E+08  8.3334E+03
960100.E-04  1.0100E+05  1.0482E+08  1.0321E+08  1.2667E+04
990100.E-04  1.0800E+05  1.0633E+08  1.0475E+08  1.4000E+04
102010.E-03  1.1667E+05  1.0767E+08  1.0558E+08  1.7334E+04
105010.E-03  1.2000E+05  1.0867E+08  1.0696E+08  2.0667E+04
108010.E-03  1.4667E+05  1.0953E+08  1.0806E+08  3.2000E+04
