DEPTH,Ga,Si,O,C
0.00E+00,0.00E+00,1.68E+07,1.89E+07,6.76E+07
2.00E-01,0.00E+00,6.79E+06,9.99E+06,8.97E+07
4.00E-01,0.00E+00,2.59E+06,4.26E+06,1.05E+08
6.00E-01,0.00E+00,1.08E+06,1.97E+06,1.13E+08
8.00E-01,0.00E+00,6.63E+05,1.13E+06,1.21E+08
1.00E+00,0.00E+00,4.38E+05,7.38E+05,1.27E+08
1.20E+00,0.00E+00,2.98E+05,5.49E+05,1.33E+08
1.40E+00,0.00E+00,2.50E+05,4.07E+05,1.38E+08
1.60E+00,0.00E+00,1.82E+05,3.69E+05,1.43E+08
1.80E+00,0.00E+00,1.50E+05,2.77E+05,1.48E+08
2.00E+00,0.00E+00,1.35E+05,2.61E+05,1.52E+08
2.20E+00,0.00E+00,1.18E+05,1.96E+05,1.58E+08
2.40E+00,1.50E+03,1.06E+05,1.88E+05,1.61E+08
2.60E+00,0.00E+00,8.60E+04,1.74E+05,1.66E+08
2.80E+00,1.50E+03,8.30E+04,1.35E+05,1.69E+08
3.00E+00,1.50E+03,5.70E+04,1.26E+05,1.73E+08
3.20E+00,5.00E+03,6.40E+04,1.23E+05,1.77E+08
3.40E+00,3.00E+03,5.40E+04,1.03E+05,1.81E+08
3.60E+00,5.50E+03,5.05E+04,9.25E+04,1.84E+08
3.80E+00,6.00E+03,4.80E+04,7.45E+04,1.88E+08
4.00E+00,1.10E+04,4.50E+04,9.25E+04,1.91E+08
4.20E+00,1.15E+04,4.35E+04,7.80E+04,1.95E+08
4.40E+00,1.30E+04,3.85E+04,7.25E+04,1.99E+08
4.60E+00,1.40E+04,4.40E+04,6.75E+04,2.01E+08
4.80E+00,2.60E+04,3.85E+04,5.70E+04,2.05E+08
5.00E+00,2.50E+04,3.35E+04,6.50E+04,2.08E+08
5.20E+00,2.50E+04,3.60E+04,5.90E+04,2.11E+08
5.40E+00,3.15E+04,2.70E+04,5.80E+04,2.14E+08
5.60E+00,3.80E+04,2.95E+04,5.60E+04,2.16E+08
5.80E+00,4.75E+04,3.50E+04,5.20E+04,2.19E+08
6.00E+00,4.80E+04,2.95E+04,5.45E+04,2.22E+08
6.20E+00,5.50E+04,2.00E+04,4.70E+04,2.24E+08
6.40E+00,6.90E+04,2.30E+04,3.70E+04,2.27E+08
6.60E+00,8.95E+04,1.75E+04,3.85E+04,2.29E+08
