DEPTH,Ga,Si,O,C
3.01E-01,4.69E+05,7.03E+07,7.26E+07,1.02E+00
1.00E+00,5.85E+05,1.13E+07,2.03E+07,2.14E+00
1.70E+00,6.53E+05,2.24E+06,4.72E+06,1.87E+00
2.40E+00,6.90E+05,1.06E+06,2.42E+06,1.67E+00
3.10E+00,7.04E+05,6.79E+05,1.55E+06,1.48E+00
3.80E+00,7.05E+05,4.72E+05,1.14E+06,1.32E+00
4.50E+00,6.89E+05,3.39E+05,8.11E+05,1.16E+00
5.20E+00,6.72E+05,2.49E+05,6.31E+05,1.01E+00
5.90E+00,6.28E+05,1.98E+05,5.06E+05,8.73E-01
6.60E+00,5.79E+05,1.55E+05,4.15E+05,7.50E-01
7.30E+00,5.32E+05,1.26E+05,3.34E+05,6.34E-01
8.00E+00,4.66E+05,9.59E+04,2.84E+05,5.28E-01
8.70E+00,4.14E+05,7.23E+04,2.39E+05,4.35E-01
9.40E+00,3.46E+05,5.64E+04,2.13E+05,3.54E-01
1.01E+01,2.80E+05,5.03E+04,1.79E+05,2.87E-01
1.08E+01,2.50E+05,3.97E+04,1.46E+05,2.29E-01
1.15E+01,1.84E+05,3.40E+04,1.28E+05,1.82E-01
1.22E+01,1.42E+05,2.19E+04,1.06E+05,1.45E-01
1.29E+01,1.09E+05,2.09E+04,8.63E+04,1.14E-01
1.36E+01,7.70E+04,1.37E+04,7.67E+04,9.15E-02
1.43E+01,5.90E+04,1.39E+04,6.94E+04,7.26E-02
1.50E+01,4.37E+04,1.00E+04,6.46E+04,5.81E-02
1.57E+01,2.83E+04,8.86E+03,5.29E+04,4.57E-02
1.64E+01,1.99E+04,7.71E+03,4.56E+04,3.52E-02
1.71E+01,1.30E+04,4.86E+03,3.67E+04,2.82E-02
1.78E+01,8.43E+03,3.71E+03,2.96E+04,2.22E-02
1.85E+01,5.00E+03,2.86E+03,2.61E+04,1.79E-02
1.92E+01,2.29E+03,1.57E+03,2.24E+04,1.39E-02
1.99E+01,2.14E+03,1.43E+03,1.77E+04,1.10E-02
2.06E+01,1.29E+03,1.14E+03,1.60E+04,9.13E-03
2.13E+01,7.14E+02,5.71E+02,1.49E+04,7.12E-03
2.20E+01,4.29E+02,1.29E+03,9.86E+03,5.65E-03
2.27E+01,2.86E+02,4.29E+02,8.71E+03,4.43E-03
2.34E+01,0.00E+00,1.43E+02,6.29E+03,3.54E-03
2.41E+01,1.43E+02,4.29E+02,5.29E+03,2.66E-03
2.48E+01,0.00E+00,0.00E+00,5.29E+03,2.18E-03
2.55E+01,0.00E+00,0.00E+00,3.43E+03,1.67E-03
2.62E+01,0.00E+00,1.43E+02,3.86E+03,1.20E-03
2.69E+01,0.00E+00,1.43E+02,2.29E+03,9.23E-04
2.76E+01,0.00E+00,0.00E+00,1.14E+03,7.74E-04
2.83E+01,0.00E+00,0.00E+00,1.43E+03,5.43E-04
2.90E+01,0.00E+00,0.00E+00,1.14E+03,4.13E-04
2.97E+01,0.00E+00,0.00E+00,2.86E+02,2.59E-04
