DEPTH,Ga,Si,O,C
1.00E-03,4.93E+05,5.29E+07,6.90E+07,1.42E+08
4.01E-01,5.74E+05,1.08E+07,1.99E+07,2.08E+08
8.01E-01,6.29E+05,3.67E+06,7.45E+06,2.08E+08
1.20E+00,6.63E+05,2.00E+06,4.24E+06,1.98E+08
1.60E+00,6.93E+05,1.32E+06,2.91E+06,1.87E+08
2.00E+00,7.12E+05,9.60E+05,2.16E+06,1.76E+08
2.40E+00,6.89E+05,7.13E+05,1.67E+06,1.66E+08
2.80E+00,7.23E+05,5.86E+05,1.36E+06,1.56E+08
3.20E+00,7.16E+05,4.60E+05,1.14E+06,1.46E+08
3.60E+00,7.12E+05,3.84E+05,9.58E+05,1.36E+08
4.00E+00,6.87E+05,3.41E+05,7.82E+05,1.27E+08
4.40E+00,6.57E+05,2.76E+05,7.04E+05,1.17E+08
4.80E+00,6.76E+05,2.40E+05,6.00E+05,1.09E+08
5.20E+00,6.54E+05,2.02E+05,5.30E+05,1.01E+08
5.60E+00,6.14E+05,1.73E+05,4.86E+05,9.25E+07
6.00E+00,5.75E+05,1.43E+05,4.17E+05,8.48E+07
6.40E+00,5.50E+05,1.39E+05,3.74E+05,7.81E+07
6.80E+00,5.17E+05,1.12E+05,3.38E+05,7.07E+07
7.20E+00,4.81E+05,1.06E+05,3.12E+05,6.44E+07
7.60E+00,4.50E+05,8.85E+04,2.73E+05,5.82E+07
8.00E+00,4.22E+05,7.68E+04,2.41E+05,5.24E+07
8.40E+00,4.09E+05,6.50E+04,2.35E+05,4.72E+07
8.80E+00,3.45E+05,6.65E+04,2.05E+05,4.20E+07
9.20E+00,3.18E+05,6.25E+04,1.91E+05,3.75E+07
9.60E+00,2.86E+05,4.90E+04,1.73E+05,3.32E+07
1.00E+01,2.59E+05,4.88E+04,1.56E+05,2.94E+07
1.04E+01,2.35E+05,3.83E+04,1.39E+05,2.57E+07
1.08E+01,2.01E+05,3.15E+04,1.33E+05,2.26E+07
1.12E+01,1.66E+05,3.10E+04,1.21E+05,2.00E+07
1.16E+01,1.35E+05,2.95E+04,1.12E+05,1.76E+07
1.20E+01,1.36E+05,2.28E+04,9.65E+04,1.53E+07
1.24E+01,1.09E+05,2.30E+04,9.25E+04,1.36E+07
1.28E+01,8.80E+04,1.98E+04,8.90E+04,1.17E+07
1.32E+01,7.80E+04,1.18E+04,7.00E+04,1.03E+07
1.36E+01,6.18E+04,1.55E+04,7.03E+04,8.99E+06
1.40E+01,5.05E+04,1.73E+04,6.98E+04,7.80E+06
1.44E+01,4.63E+04,1.08E+04,6.40E+04,6.75E+06
1.48E+01,3.08E+04,8.00E+03,5.70E+04,5.96E+06
