DEPTH,Ga,Si,O,C
5.01E+00,0.00E+00,2.96E+07,3.56E+07,0.00E+00
1.00E+01,0.00E+00,3.21E+07,3.04E+07,0.00E+00
1.50E+01,2.00E+02,4.06E+07,3.92E+07,0.00E+00
2.00E+01,2.00E+02,4.71E+07,4.60E+07,0.00E+00
2.50E+01,4.00E+02,5.32E+07,5.19E+07,0.00E+00
3.00E+01,6.00E+02,5.84E+07,5.72E+07,0.00E+00
3.50E+01,1.20E+03,6.33E+07,6.22E+07,0.00E+00
4.00E+01,2.40E+03,6.78E+07,6.68E+07,0.00E+00
4.50E+01,5.40E+03,7.20E+07,7.11E+07,0.00E+00
5.00E+01,8.40E+03,7.63E+07,7.49E+07,0.00E+00
5.50E+01,8.20E+03,8.01E+07,7.88E+07,0.00E+00
6.00E+01,1.58E+04,8.39E+07,8.26E+07,0.00E+00
6.50E+01,1.84E+04,8.69E+07,8.59E+07,0.00E+00
7.00E+01,2.70E+04,9.04E+07,8.89E+07,0.00E+00
7.50E+01,3.70E+04,9.33E+07,9.20E+07,0.00E+00
8.00E+01,4.88E+04,9.64E+07,9.51E+07,0.00E+00
8.50E+01,5.68E+04,9.93E+07,9.80E+07,0.00E+00
9.00E+01,8.12E+04,1.02E+08,1.00E+08,0.00E+00
9.50E+01,9.92E+04,1.05E+08,1.03E+08,0.00E+00
1.00E+02,1.12E+05,1.07E+08,1.05E+08,0.00E+00
1.05E+02,1.30E+05,1.09E+08,1.07E+08,2.00E+02
1.10E+02,1.47E+05,1.10E+08,1.09E+08,0.00E+00
1.15E+02,1.69E+05,1.12E+08,1.11E+08,0.00E+00
1.20E+02,1.92E+05,1.14E+08,1.12E+08,0.00E+00
1.25E+02,2.27E+05,1.15E+08,1.13E+08,0.00E+00
1.30E+02,2.37E+05,1.16E+08,1.14E+08,0.00E+00
1.35E+02,2.76E+05,1.17E+08,1.15E+08,0.00E+00
1.40E+02,2.99E+05,1.17E+08,1.15E+08,0.00E+00
1.45E+02,3.18E+05,1.17E+08,1.15E+08,0.00E+00
1.50E+02,3.41E+05,1.17E+08,1.16E+08,0.00E+00
1.55E+02,3.71E+05,1.16E+08,1.15E+08,0.00E+00
1.60E+02,3.84E+05,1.16E+08,1.14E+08,6.00E+02
1.65E+02,4.17E+05,1.15E+08,1.13E+08,4.00E+02
1.70E+02,4.29E+05,1.14E+08,1.12E+08,2.00E+02
1.75E+02,4.39E+05,1.12E+08,1.11E+08,1.00E+03
1.80E+02,4.46E+05,1.11E+08,1.09E+08,8.00E+02
1.85E+02,4.85E+05,1.09E+08,1.08E+08,2.20E+03
1.90E+02,5.07E+05,1.07E+08,1.05E+08,1.20E+03
1.95E+02,4.94E+05,1.04E+08,1.03E+08,2.20E+03
2.00E+02,4.90E+05,1.02E+08,1.00E+08,5.20E+03
2.05E+02,5.13E+05,9.93E+07,9.83E+07,6.60E+03
