DEPTH,Ga,Si,O,C
0.00E+00,4.49E+05,3.30E+07,4.46E+07,1.02E+08
5.00E-01,4.89E+05,5.06E+06,9.74E+06,1.40E+08
1.00E+00,5.38E+05,1.79E+06,3.83E+06,1.31E+08
1.50E+00,5.57E+05,9.88E+05,2.30E+06,1.19E+08
2.00E+00,5.69E+05,6.52E+05,1.55E+06,1.07E+08
2.50E+00,5.39E+05,4.64E+05,1.16E+06,9.53E+07
3.00E+00,5.08E+05,3.53E+05,8.85E+05,8.53E+07
3.50E+00,4.65E+05,2.61E+05,6.99E+05,7.61E+07
4.00E+00,4.33E+05,2.05E+05,5.93E+05,6.71E+07
4.50E+00,4.01E+05,1.70E+05,4.91E+05,5.96E+07
5.00E+00,3.68E+05,1.38E+05,4.14E+05,5.24E+07
5.50E+00,3.43E+05,1.16E+05,3.47E+05,4.60E+07
6.00E+00,3.10E+05,9.20E+04,2.97E+05,4.00E+07
6.50E+00,2.73E+05,7.76E+04,2.68E+05,3.46E+07
7.00E+00,2.29E+05,5.98E+04,2.22E+05,3.00E+07
7.50E+00,2.11E+05,5.68E+04,1.96E+05,2.60E+07
8.00E+00,1.83E+05,5.14E+04,1.74E+05,2.23E+07
8.50E+00,1.44E+05,3.92E+04,1.47E+05,1.90E+07
9.00E+00,1.21E+05,4.00E+04,1.28E+05,1.63E+07
9.50E+00,1.04E+05,2.80E+04,1.14E+05,1.39E+07
1.00E+01,8.16E+04,2.44E+04,1.06E+05,1.18E+07
1.05E+01,7.36E+04,1.62E+04,9.12E+04,9.89E+06
1.10E+01,5.38E+04,1.72E+04,8.38E+04,8.42E+06
1.15E+01,4.24E+04,1.22E+04,7.32E+04,7.09E+06
1.20E+01,3.90E+04,1.22E+04,7.10E+04,6.09E+06
1.25E+01,2.60E+04,9.40E+03,6.02E+04,5.07E+06
1.30E+01,1.96E+04,8.80E+03,5.52E+04,4.28E+06
1.35E+01,1.72E+04,7.00E+03,4.80E+04,3.65E+06
1.40E+01,1.28E+04,5.80E+03,4.34E+04,3.08E+06
1.45E+01,7.80E+03,5.60E+03,3.84E+04,2.67E+06
1.50E+01,7.00E+03,5.00E+03,3.00E+04,2.25E+06
1.55E+01,3.20E+03,3.60E+03,3.00E+04,1.94E+06
1.60E+01,3.20E+03,2.40E+03,2.40E+04,1.65E+06
1.65E+01,2.00E+03,1.60E+03,2.12E+04,1.40E+06
1.70E+01,1.40E+03,2.40E+03,1.92E+04,1.20E+06
1.75E+01,1.40E+03,1.00E+03,1.68E+04,1.01E+06
1.80E+01,1.40E+03,8.00E+02,1.16E+04,8.67E+05
1.85E+01,4.00E+02,1.20E+03,1.18E+04,7.27E+05
1.90E+01,4.00E+02,4.00E+02,1.06E+04,6.40E+05
1.95E+01,4.00E+02,8.00E+02,8.60E+03,5.46E+05
2.00E+01,2.00E+02,2.00E+02,8.80E+03,4.62E+05
2.05E+01,0.00E+00,0.00E+00,8.20E+03,3.91E+05
2.10E+01,0.00E+00,2.00E+02,6.20E+03,3.28E+05
2.15E+01,0.00E+00,0.00E+00,4.80E+03,2.99E+05
2.20E+01,2.00E+02,0.00E+00,3.60E+03,2.49E+05
2.25E+01,0.00E+00,0.00E+00,5.00E+03,2.08E+05
2.30E+01,0.00E+00,0.00E+00,4.00E+03,1.62E+05
2.35E+01,0.00E+00,0.00E+00,2.80E+03,1.40E+05
2.40E+01,0.00E+00,0.00E+00,3.00E+03,1.14E+05
2.45E+01,0.00E+00,2.00E+02,1.60E+03,8.20E+04
