DEPTH,Ga,Si,O,C
2.00E-01,1.04E+05,7.21E+07,7.18E+07,8.87E-01
8.00E-01,1.47E+05,1.65E+07,2.73E+07,2.60E+00
1.40E+00,1.94E+05,2.86E+06,5.70E+06,2.50E+00
2.00E+00,2.50E+05,1.34E+06,2.78E+06,2.46E+00
2.60E+00,3.17E+05,8.48E+05,1.79E+06,2.43E+00
3.20E+00,3.83E+05,6.27E+05,1.30E+06,2.40E+00
3.80E+00,4.46E+05,4.68E+05,9.94E+05,2.35E+00
4.40E+00,5.12E+05,3.63E+05,7.65E+05,2.30E+00
5.00E+00,5.60E+05,2.95E+05,6.41E+05,2.23E+00
5.60E+00,6.28E+05,2.53E+05,5.27E+05,2.14E+00
6.20E+00,6.78E+05,2.07E+05,4.49E+05,2.05E+00
6.80E+00,7.35E+05,1.74E+05,3.87E+05,1.95E+00
7.40E+00,7.86E+05,1.48E+05,3.39E+05,1.83E+00
8.00E+00,8.41E+05,1.29E+05,3.01E+05,1.70E+00
8.60E+00,8.72E+05,1.05E+05,2.61E+05,1.56E+00
9.20E+00,8.95E+05,9.30E+04,2.29E+05,1.42E+00
9.80E+00,8.77E+05,7.55E+04,2.12E+05,1.28E+00
1.04E+01,8.59E+05,7.03E+04,1.71E+05,1.15E+00
1.10E+01,8.05E+05,6.67E+04,1.67E+05,1.02E+00
1.16E+01,7.89E+05,5.72E+04,1.48E+05,8.92E-01
1.22E+01,7.11E+05,4.48E+04,1.28E+05,7.76E-01
1.28E+01,6.43E+05,3.95E+04,1.26E+05,6.68E-01
1.34E+01,5.92E+05,3.35E+04,1.07E+05,5.67E-01
1.40E+01,5.01E+05,3.42E+04,9.17E+04,4.78E-01
1.46E+01,4.32E+05,2.80E+04,9.17E+04,3.99E-01
1.52E+01,3.88E+05,2.37E+04,8.22E+04,3.30E-01
1.58E+01,3.08E+05,2.12E+04,6.82E+04,2.74E-01
1.64E+01,2.55E+05,1.58E+04,7.12E+04,2.24E-01
1.70E+01,2.00E+05,1.27E+04,5.18E+04,1.83E-01
1.76E+01,1.60E+05,1.27E+04,4.80E+04,1.49E-01
1.82E+01,1.25E+05,9.50E+03,4.87E+04,1.21E-01
1.88E+01,9.68E+04,9.00E+03,3.60E+04,9.76E-02
1.94E+01,7.02E+04,7.50E+03,4.00E+04,7.99E-02
2.00E+01,5.15E+04,6.33E+03,3.55E+04,6.57E-02
2.06E+01,3.78E+04,5.17E+03,2.83E+04,5.29E-02
2.12E+01,2.80E+04,4.33E+03,2.62E+04,4.46E-02
2.18E+01,1.65E+04,4.17E+03,2.68E+04,3.54E-02
2.24E+01,1.13E+04,2.83E+03,2.00E+04,2.89E-02
2.30E+01,7.33E+03,1.33E+03,1.78E+04,2.33E-02
2.36E+01,5.00E+03,1.33E+03,2.08E+04,1.99E-02
2.42E+01,3.67E+03,1.00E+03,1.33E+04,1.61E-02
2.48E+01,3.50E+03,2.33E+03,1.38E+04,1.34E-02
2.54E+01,8.33E+02,3.33E+02,7.33E+03,1.01E-02
2.60E+01,1.00E+03,3.33E+02,7.50E+03,8.41E-03
2.66E+01,1.17E+03,6.67E+02,5.67E+03,6.72E-03
2.72E+01,0.00E+00,1.67E+02,7.33E+03,5.53E-03
2.78E+01,5.00E+02,3.33E+02,5.33E+03,4.28E-03
2.84E+01,1.67E+02,0.00E+00,4.67E+03,3.33E-03
2.90E+01,0.00E+00,1.67E+02,4.17E+03,2.71E-03
2.96E+01,0.00E+00,1.67E+02,2.33E+03,2.04E-03
