DEPTH,Ga,Si,C
0.5,4.52E+05,3.89E+07,1.05E+00
1.25,5.08E+05,4.06E+06,1.33E+00
2,5.40E+05,1.15E+06,1.11E+00
2.75,5.52E+05,5.97E+05,9.30E-01
3.5,5.23E+05,3.81E+05,7.87E-01
4.25,4.62E+05,2.50E+05,6.57E-01
5,4.03E+05,1.77E+05,5.48E-01
5.75,3.65E+05,1.25E+05,4.52E-01
6.5,3.15E+05,1.02E+05,3.67E-01
7.25,2.69E+05,7.56E+04,2.95E-01
8,2.10E+05,5.68E+04,2.35E-01
8.75,1.79E+05,4.79E+04,1.88E-01
9.5,1.34E+05,3.39E+04,1.48E-01
10.25,9.99E+04,2.97E+04,1.17E-01
11,7.52E+04,2.05E+04,9.08E-02
11.75,5.08E+04,1.69E+04,6.96E-02
12.5,4.19E+04,9.47E+03,5.47E-02
13.25,2.28E+04,8.67E+03,4.29E-02
14,2.13E+04,7.33E+03,3.32E-02
14.75,1.19E+04,6.13E+03,2.67E-02
15.5,7.47E+03,4.53E+03,2.09E-02
16.25,2.67E+03,2.80E+03,1.66E-02
17,2.67E+03,2.00E+03,1.31E-02
17.75,1.33E+03,2.40E+03,1.02E-02
18.5,5.33E+02,1.33E+03,7.85E-03
19.25,4.00E+02,8.00E+02,5.96E-03
20,6.67E+02,4.00E+02,4.77E-03
20.75,4.00E+02,4.00E+02,3.75E-03
21.5,1.33E+02,1.33E+02,2.90E-03
22.25,0.00E+00,0.00E+00,2.24E-03
23,0.00E+00,0.00E+00,1.67E-03
23.75,0.00E+00,0.00E+00,1.15E-03
24.5,0.00E+00,0.00E+00,9.16E-04
25.25,0.00E+00,1.33E+02,7.99E-04
26,0.00E+00,0.00E+00,6.73E-04
26.75,0.00E+00,1.33E+02,4.15E-04
27.5,0.00E+00,0.00E+00,2.23E-04
28.25,0.00E+00,0.00E+00,1.28E-04
29,0.00E+00,0.00E+00,9.87E-05
29.75,0.00E+00,0.00E+00,7.20E-05
