DEPTH,Ga,Si,O,C
1.00E-03,3.61E+05,6.62E+07,8.44E+07,1.60E+08
3.01E-01,4.03E+05,2.00E+07,3.42E+07,2.35E+08
6.01E-01,4.51E+05,6.85E+06,1.32E+07,2.55E+08
9.01E-01,4.68E+05,3.56E+06,7.20E+06,2.55E+08
1.20E+00,5.28E+05,2.31E+06,4.77E+06,2.51E+08
1.50E+00,5.59E+05,1.71E+06,3.49E+06,2.45E+08
1.80E+00,5.94E+05,1.30E+06,2.75E+06,2.39E+08
2.10E+00,6.09E+05,1.04E+06,2.23E+06,2.33E+08
2.40E+00,6.48E+05,8.67E+05,1.88E+06,2.27E+08
2.70E+00,6.59E+05,7.39E+05,1.56E+06,2.21E+08
3.00E+00,6.93E+05,6.11E+05,1.36E+06,2.15E+08
3.30E+00,7.32E+05,5.50E+05,1.20E+06,2.10E+08
3.60E+00,7.59E+05,4.95E+05,1.03E+06,2.03E+08
3.90E+00,7.33E+05,4.08E+05,9.49E+05,1.97E+08
4.20E+00,7.49E+05,3.60E+05,8.37E+05,1.91E+08
4.50E+00,7.42E+05,3.34E+05,7.41E+05,1.85E+08
4.80E+00,8.10E+05,3.03E+05,6.64E+05,1.78E+08
5.10E+00,7.70E+05,2.69E+05,6.11E+05,1.71E+08
5.40E+00,7.81E+05,2.36E+05,5.69E+05,1.64E+08
5.70E+00,7.82E+05,2.21E+05,5.27E+05,1.57E+08
6.00E+00,7.95E+05,1.90E+05,4.67E+05,1.50E+08
6.30E+00,7.88E+05,1.82E+05,4.43E+05,1.44E+08
6.60E+00,8.00E+05,1.60E+05,4.26E+05,1.37E+08
6.90E+00,7.46E+05,1.51E+05,3.76E+05,1.30E+08
7.20E+00,7.50E+05,1.46E+05,3.49E+05,1.23E+08
7.50E+00,7.37E+05,1.40E+05,3.44E+05,1.16E+08
7.80E+00,7.51E+05,1.21E+05,3.15E+05,1.10E+08
8.10E+00,7.32E+05,1.14E+05,2.98E+05,1.03E+08
8.40E+00,6.98E+05,1.10E+05,2.89E+05,9.66E+07
8.70E+00,6.33E+05,9.43E+04,2.57E+05,9.07E+07
9.00E+00,6.40E+05,8.37E+04,2.28E+05,8.45E+07
9.30E+00,6.30E+05,7.27E+04,2.12E+05,7.86E+07
9.60E+00,5.83E+05,6.87E+04,1.99E+05,7.29E+07
9.90E+00,5.66E+05,6.77E+04,1.93E+05,6.76E+07
1.02E+01,5.36E+05,6.33E+04,1.91E+05,6.28E+07
1.05E+01,5.13E+05,5.77E+04,1.75E+05,5.79E+07
1.08E+01,4.72E+05,4.53E+04,1.76E+05,5.33E+07
1.11E+01,4.36E+05,5.00E+04,1.48E+05,4.91E+07
1.14E+01,4.11E+05,4.93E+04,1.54E+05,4.52E+07
1.17E+01,3.68E+05,4.37E+04,1.41E+05,4.14E+07
1.20E+01,3.37E+05,3.63E+04,1.44E+05,3.79E+07
1.23E+01,3.16E+05,3.23E+04,1.26E+05,3.45E+07
1.26E+01,2.87E+05,2.77E+04,1.18E+05,3.16E+07
1.29E+01,2.63E+05,3.00E+04,1.05E+05,2.87E+07
1.32E+01,2.45E+05,2.47E+04,9.10E+04,2.63E+07
1.35E+01,2.16E+05,2.83E+04,1.01E+05,2.37E+07
1.38E+01,1.88E+05,2.33E+04,7.93E+04,2.15E+07
1.41E+01,1.73E+05,2.20E+04,9.00E+04,1.93E+07
1.44E+01,1.47E+05,1.97E+04,8.47E+04,1.69E+07
1.47E+01,1.50E+05,1.80E+04,5.97E+04,1.27E+07
