DEPTH         Ga         Si          O          C    
201000.E-05  0.0000E+00  2.4348E+07  2.1365E+07  2.0405E+06
401000.E-05  0.0000E+00  2.1783E+07  3.0193E+07  6.0621E+06
601000.E-05  0.0000E+00  2.1143E+07  2.2693E+07  8.8506E+06
801000.E-05  0.0000E+00  2.0013E+07  1.5644E+07  1.1981E+07
100100.E-04  0.0000E+00  1.7330E+07  1.3037E+07  1.9759E+07
120100.E-04  0.0000E+00  1.6820E+07  1.8854E+07  6.7632E+07
140100.E-04  0.0000E+00  6.7891E+06  9.9921E+06  8.9676E+07
160100.E-04  0.0000E+00  2.5850E+06  4.2590E+06  1.0496E+08
180100.E-04  0.0000E+00  1.0805E+06  1.9735E+06  1.1349E+08
200100.E-04  0.0000E+00  6.6251E+05  1.1320E+06  1.2097E+08
220100.E-04  0.0000E+00  4.3800E+05  7.3751E+05  1.2721E+08
240100.E-04  0.0000E+00  2.9750E+05  5.4851E+05  1.3292E+08
260100.E-04  0.0000E+00  2.4950E+05  4.0700E+05  1.3801E+08
280100.E-04  0.0000E+00  1.8200E+05  3.6900E+05  1.4303E+08
300100.E-04  0.0000E+00  1.4950E+05  2.7700E+05  1.4804E+08
320100.E-04  0.0000E+00  1.3500E+05  2.6050E+05  1.5242E+08
340100.E-04  0.0000E+00  1.1750E+05  1.9550E+05  1.5763E+08
360100.E-04  1.5000E+03  1.0550E+05  1.8800E+05  1.6126E+08
380100.E-04  0.0000E+00  8.6001E+04  1.7400E+05  1.6582E+08
400100.E-04  1.5000E+03  8.3001E+04  1.3450E+05  1.6930E+08
420100.E-04  1.5000E+03  5.7001E+04  1.2550E+05  1.7344E+08
440100.E-04  5.0001E+03  6.4001E+04  1.2250E+05  1.7685E+08
460100.E-04  3.0000E+03  5.4001E+04  1.0250E+05  1.8052E+08
480100.E-04  5.5001E+03  5.0501E+04  9.2501E+04  1.8433E+08
500100.E-04  6.0001E+03  4.8000E+04  7.4501E+04  1.8830E+08
520100.E-04  1.1000E+04  4.5000E+04  9.2501E+04  1.9123E+08
540100.E-04  1.1500E+04  4.3500E+04  7.8001E+04  1.9491E+08
560100.E-04  1.3000E+04  3.8500E+04  7.2501E+04  1.9855E+08
580100.E-04  1.4000E+04  4.4000E+04  6.7501E+04  2.0106E+08
600100.E-04  2.6000E+04  3.8500E+04  5.7001E+04  2.0457E+08
620100.E-04  2.5000E+04  3.3500E+04  6.5001E+04  2.0773E+08
640100.E-04  2.5000E+04  3.6000E+04  5.9001E+04  2.1076E+08
660100.E-04  3.1500E+04  2.7000E+04  5.8001E+04  2.1360E+08
680100.E-04  3.8000E+04  2.9500E+04  5.6001E+04  2.1633E+08
700100.E-04  4.7500E+04  3.5000E+04  5.2001E+04  2.1916E+08
720100.E-04  4.8000E+04  2.9500E+04  5.4501E+04  2.2189E+08
740100.E-04  5.5001E+04  2.0000E+04  4.7000E+04  2.2441E+08
760100.E-04  6.9001E+04  2.3000E+04  3.7000E+04  2.2735E+08
780100.E-04  8.9501E+04  1.7500E+04  3.8500E+04  2.2898E+08
800100.E-04  1.0500E+05  1.9500E+04  3.4500E+04  2.3142E+08
820100.E-04  1.0750E+05  1.9000E+04  3.3500E+04  2.3325E+08
840100.E-04  1.2450E+05  2.3500E+04  3.4000E+04  2.3585E+08
860100.E-04  1.4100E+05  1.7000E+04  3.6500E+04  2.3743E+08
880100.E-04  1.6350E+05  1.9000E+04  3.1500E+04  2.3949E+08
900100.E-04  1.8250E+05  1.7000E+04  3.8500E+04  2.4084E+08
920100.E-04  2.0050E+05  1.5500E+04  3.0500E+04  2.4173E+08
940100.E-04  2.3300E+05  1.3500E+04  3.8000E+04  2.4344E+08
960100.E-04  2.6500E+05  1.4500E+04  2.8000E+04  2.4354E+08
980100.E-04  2.9350E+05  1.2500E+04  2.3500E+04  2.4472E+08
100010.E-03  3.2450E+05  1.0500E+04  2.4500E+04  2.4499E+08
102010.E-03  3.8450E+05  9.5001E+03  2.6000E+04  2.4434E+08
104010.E-03  4.1350E+05  1.0000E+04  3.4500E+04  2.4421E+08
106010.E-03  4.3550E+05  8.5001E+03  2.4500E+04  2.4424E+08
108010.E-03  4.7450E+05  1.5000E+04  1.8500E+04  2.4425E+08
110010.E-03  5.1151E+05  1.0500E+04  2.3000E+04  2.4324E+08
112010.E-03  5.7701E+05  8.0001E+03  2.5000E+04  2.4114E+08
114010.E-03  5.5551E+05  1.2500E+04  2.6500E+04  2.3939E+08
