DEPTH	Ga	Si	O	C
1.00E-03	2.89E+05	1.95E+07	2.64E+07	5.59E+07
5.01E-01	3.16E+05	3.00E+06	5.89E+06	7.67E+07
1.00E+00	3.24E+05	1.04E+06	2.35E+06	7.01E+07
1.50E+00	3.29E+05	5.63E+05	1.38E+06	6.19E+07
2.00E+00	3.20E+05	3.57E+05	9.58E+05	5.42E+07
2.50E+00	2.88E+05	2.50E+05	7.06E+05	4.75E+07
3.00E+00	2.69E+05	1.82E+05	5.59E+05	4.14E+07
3.50E+00	2.36E+05	1.46E+05	4.49E+05	3.64E+07
4.00E+00	2.18E+05	1.21E+05	3.52E+05	3.16E+07
4.50E+00	1.90E+05	8.64E+04	3.07E+05	2.74E+07
5.00E+00	1.56E+05	7.10E+04	2.68E+05	2.36E+07
5.50E+00	1.43E+05	6.36E+04	2.24E+05	2.04E+07
6.00E+00	1.23E+05	4.70E+04	1.89E+05	1.73E+07
6.50E+00	1.03E+05	4.22E+04	1.69E+05	1.51E+07
7.00E+00	9.02E+04	2.96E+04	1.49E+05	1.30E+07
7.50E+00	7.08E+04	3.34E+04	1.25E+05	1.10E+07
8.00E+00	5.92E+04	2.34E+04	1.18E+05	9.26E+06
8.50E+00	4.80E+04	2.02E+04	9.34E+04	7.81E+06
9.00E+00	3.48E+04	1.50E+04	7.88E+04	6.73E+06
9.50E+00	3.10E+04	1.30E+04	7.36E+04	5.78E+06
1.00E+01	2.32E+04	1.28E+04	7.04E+04	4.90E+06
1.05E+01	1.50E+04	8.80E+03	5.76E+04	4.18E+06
1.10E+01	1.26E+04	8.60E+03	5.30E+04	3.53E+06
1.15E+01	1.10E+04	7.00E+03	5.14E+04	2.97E+06
1.20E+01	6.80E+03	4.40E+03	4.32E+04	2.59E+06
1.25E+01	5.40E+03	4.00E+03	2.94E+04	2.17E+06
1.30E+01	3.80E+03	2.80E+03	2.84E+04	1.88E+06
1.35E+01	2.80E+03	1.80E+03	2.94E+04	1.58E+06
1.40E+01	8.00E+02	1.40E+03	2.38E+04	1.35E+06
1.45E+01	8.00E+02	2.20E+03	1.88E+04	1.18E+06
1.50E+01	1.40E+03	2.40E+03	1.92E+04	1.05E+06
1.55E+01	4.00E+02	1.20E+03	1.74E+04	8.91E+05
1.60E+01	2.00E+02	1.60E+03	1.40E+04	7.87E+05
1.65E+01	4.00E+02	8.00E+02	1.20E+04	6.38E+05
1.70E+01	2.00E+02	2.00E+02	1.10E+04	5.52E+05
1.75E+01	2.00E+02	8.00E+02	6.20E+03	4.59E+05
1.80E+01	2.00E+02	2.00E+02	7.80E+03	3.79E+05
1.85E+01	0.00E+00	0.00E+00	7.20E+03	3.03E+05
1.90E+01	0.00E+00	0.00E+00	6.60E+03	2.42E+05
1.95E+01	0.00E+00	0.00E+00	4.00E+03	1.79E+05
