DEPTH,Ga,Si,O,C
6.01E-01,3.68E+05,4.52E+07,5.96E+07,2.59E+00
1.25E+00,4.62E+05,5.06E+06,9.84E+06,2.55E+00
1.90E+00,5.41E+05,1.83E+06,3.91E+06,2.38E+00
2.55E+00,6.20E+05,1.08E+06,2.31E+06,2.24E+00
3.20E+00,6.79E+05,7.31E+05,1.54E+06,2.10E+00
3.85E+00,7.29E+05,5.43E+05,1.15E+06,1.96E+00
4.50E+00,7.63E+05,3.94E+05,8.86E+05,1.82E+00
5.15E+00,7.68E+05,3.07E+05,7.07E+05,1.67E+00
5.80E+00,7.81E+05,2.51E+05,5.91E+05,1.53E+00
6.45E+00,7.84E+05,2.03E+05,4.92E+05,1.38E+00
7.10E+00,7.89E+05,1.66E+05,4.23E+05,1.23E+00
7.75E+00,7.44E+05,1.37E+05,3.55E+05,1.09E+00
8.40E+00,7.33E+05,1.14E+05,3.07E+05,9.53E-01
9.05E+00,6.75E+05,9.62E+04,2.69E+05,8.21E-01
9.70E+00,6.13E+05,8.25E+04,2.18E+05,7.02E-01
1.04E+01,5.71E+05,7.11E+04,1.93E+05,5.93E-01
1.10E+01,4.96E+05,5.46E+04,1.80E+05,4.98E-01
1.17E+01,4.12E+05,4.49E+04,1.50E+05,4.17E-01
1.23E+01,3.68E+05,4.00E+04,1.37E+05,3.46E-01
1.30E+01,2.89E+05,3.35E+04,1.17E+05,2.84E-01
1.36E+01,2.43E+05,2.55E+04,9.77E+04,2.32E-01
1.43E+01,2.02E+05,1.97E+04,9.31E+04,1.87E-01
1.49E+01,1.60E+05,2.08E+04,7.82E+04,1.51E-01
1.56E+01,1.22E+05,1.43E+04,7.71E+04,1.19E-01
1.62E+01,8.91E+04,1.23E+04,5.94E+04,9.48E-02
1.69E+01,7.05E+04,9.54E+03,5.28E+04,7.60E-02
1.75E+01,4.17E+04,1.03E+04,5.08E+04,6.10E-02
1.82E+01,3.40E+04,6.92E+03,3.75E+04,4.88E-02
1.88E+01,2.51E+04,6.15E+03,3.63E+04,4.00E-02
1.95E+01,1.72E+04,3.69E+03,2.85E+04,3.22E-02
2.01E+01,1.05E+04,4.62E+03,2.66E+04,2.58E-02
2.08E+01,7.08E+03,1.85E+03,2.48E+04,2.10E-02
2.14E+01,3.54E+03,1.54E+03,2.55E+04,1.65E-02
2.21E+01,5.08E+03,7.69E+02,1.77E+04,1.35E-02
2.27E+01,9.23E+02,1.38E+03,1.51E+04,1.08E-02
2.34E+01,1.08E+03,1.08E+03,1.09E+04,8.38E-03
2.40E+01,3.08E+02,1.38E+03,9.23E+03,6.97E-03
2.47E+01,0.00E+00,7.69E+02,1.00E+04,5.54E-03
2.53E+01,0.00E+00,1.54E+02,5.69E+03,4.18E-03
2.60E+01,0.00E+00,3.08E+02,5.69E+03,3.52E-03
2.66E+01,0.00E+00,3.08E+02,5.08E+03,2.70E-03
2.73E+01,0.00E+00,4.62E+02,3.38E+03,2.07E-03
2.79E+01,0.00E+00,1.54E+02,2.77E+03,1.40E-03
2.86E+01,0.00E+00,0.00E+00,1.54E+03,1.21E-03
2.92E+01,0.00E+00,0.00E+00,1.38E+03,9.75E-04
2.99E+01,0.00E+00,0.00E+00,1.38E+03,7.51E-04
