DEPTH         Ga         Si          O          C    
601000.E-05  0.0000E+00  2.9060E+07  3.3982E+07  2.6667E+03
120100.E-04  0.0000E+00  3.5052E+07  3.3042E+07  1.1667E+03
180100.E-04  0.0000E+00  4.3996E+07  4.2572E+07  1.1667E+03
240100.E-04  6.6667E+02  5.1378E+07  5.0238E+07  2.5000E+03
300100.E-04  8.3334E+02  5.7985E+07  5.7009E+07  3.0000E+03
360100.E-04  2.3334E+03  6.3884E+07  6.2752E+07  8.0001E+03
420100.E-04  3.5000E+03  6.8979E+07  6.8013E+07  9.0001E+03
480100.E-04  7.0001E+03  7.3872E+07  7.2672E+07  1.7667E+04
540100.E-04  7.8334E+03  7.8264E+07  7.6831E+07  2.4000E+04
600100.E-04  1.4667E+04  8.2275E+07  8.1217E+07  3.8834E+04
660100.E-04  1.7834E+04  8.5953E+07  8.4544E+07  6.7834E+04
720100.E-04  2.7834E+04  8.9820E+07  8.8252E+07  1.3033E+05
780100.E-04  3.9834E+04  9.2540E+07  9.1114E+07  2.4834E+05
840100.E-04  5.8334E+04  9.5193E+07  9.3137E+07  5.4466E+05
900100.E-04  7.0001E+04  9.6276E+07  9.4070E+07  1.7139E+06
960100.E-04  8.9167E+04  9.3085E+07  8.8883E+07  8.1564E+06
102010.E-03  1.0350E+05  7.2087E+07  7.1812E+07  6.8831E+07
108010.E-03  1.4667E+05  1.6530E+07  2.7316E+07  2.3055E+08
114010.E-03  1.9400E+05  2.8596E+06  5.7020E+06  2.5625E+08
120010.E-03  2.5034E+05  1.3415E+06  2.7755E+06  2.5566E+08
126010.E-03  3.1684E+05  8.4837E+05  1.7945E+06  2.5371E+08
132010.E-03  3.8250E+05  6.2701E+05  1.2968E+06  2.5154E+08
138010.E-03  4.4583E+05  4.6766E+05  9.9356E+05  2.4811E+08
144010.E-03  5.1249E+05  3.6317E+05  7.6486E+05  2.4329E+08
150010.E-03  5.5950E+05  2.9484E+05  6.4134E+05  2.3698E+08
156010.E-03  6.2801E+05  2.5284E+05  5.2733E+05  2.2872E+08
162010.E-03  6.7818E+05  2.0700E+05  4.4933E+05  2.1949E+08
168010.E-03  7.3486E+05  1.7434E+05  3.8700E+05  2.0998E+08
174010.E-03  7.8636E+05  1.4817E+05  3.3917E+05  1.9866E+08
180010.E-03  8.4087E+05  1.2933E+05  3.0100E+05  1.8528E+08
186010.E-03  8.7171E+05  1.0500E+05  2.6067E+05  1.7187E+08
192010.E-03  8.9521E+05  9.3001E+04  2.2884E+05  1.5695E+08
198010.E-03  8.7721E+05  7.5501E+04  2.1167E+05  1.4243E+08
204010.E-03  8.5921E+05  7.0334E+04  1.7134E+05  1.2796E+08
210010.E-03  8.0520E+05  6.6667E+04  1.6717E+05  1.1414E+08
216010.E-03  7.8920E+05  5.7167E+04  1.4800E+05  1.0048E+08
222010.E-03  7.1119E+05  4.4834E+04  1.2817E+05  8.8025E+07
228010.E-03  6.4268E+05  3.9500E+04  1.2583E+05  7.6168E+07
234010.E-03  5.9217E+05  3.3500E+04  1.0733E+05  6.5332E+07
240010.E-03  5.0133E+05  3.4167E+04  9.1667E+04  5.5478E+07
246010.E-03  4.3166E+05  2.8000E+04  9.1667E+04  4.6508E+07
252010.E-03  3.8783E+05  2.3667E+04  8.2167E+04  3.8668E+07
258010.E-03  3.0784E+05  2.1167E+04  6.8167E+04  3.2112E+07
264010.E-03  2.5501E+05  1.5834E+04  7.1167E+04  2.6485E+07
270010.E-03  1.9950E+05  1.2667E+04  5.1834E+04  2.1784E+07
276010.E-03  1.5967E+05  1.2667E+04  4.8001E+04  1.7660E+07
282010.E-03  1.2500E+05  9.5001E+03  4.8667E+04  1.4436E+07
288010.E-03  9.6834E+04  9.0001E+03  3.6000E+04  1.1750E+07
294010.E-03  7.0167E+04  7.5001E+03  4.0000E+04  9.5043E+06
300010.E-03  5.1501E+04  6.3334E+03  3.5500E+04  7.8091E+06
306010.E-03  3.7834E+04  5.1667E+03  2.8334E+04  6.3736E+06
312010.E-03  2.8000E+04  4.3334E+03  2.6167E+04  5.2292E+06
318010.E-03  1.6500E+04  4.1667E+03  2.6834E+04  4.2207E+06
324010.E-03  1.1333E+04  2.8334E+03  2.0000E+04  3.4137E+06
330010.E-03  7.3334E+03  1.3333E+03  1.7834E+04  2.7857E+06
336010.E-03  5.0000E+03  1.3333E+03  2.0834E+04  2.3518E+06
342010.E-03  3.6667E+03  1.0000E+03  1.3333E+04  1.9382E+06
348010.E-03  3.5000E+03  2.3334E+03  1.3833E+04  1.5814E+06
354010.E-03  8.3334E+02  3.3334E+02  7.3334E+03  1.2527E+06
360010.E-03  1.0000E+03  3.3334E+02  7.5001E+03  9.7939E+05
366010.E-03  1.1667E+03  6.6667E+02  5.6667E+03  7.9703E+05
372010.E-03  0.0000E+00  1.6667E+02  7.3334E+03  6.7568E+05
378010.E-03  5.0001E+02  3.3334E+02  5.3334E+03  5.2233E+05
384010.E-03  1.6667E+02  0.0000E+00  4.6667E+03  3.9583E+05
390010.E-03  0.0000E+00  1.6667E+02  4.1667E+03  3.3367E+05
396010.E-03  0.0000E+00  1.6667E+02  2.3334E+03  2.5301E+05
402010.E-03  1.6667E+02  0.0000E+00  3.0000E+03  2.0284E+05
408010.E-03  0.0000E+00  0.0000E+00  1.6667E+03  1.6600E+05
414010.E-03  0.0000E+00  0.0000E+00  1.1667E+03  1.3383E+05
420010.E-03  0.0000E+00  0.0000E+00  1.0000E+03  1.2367E+05
426010.E-03  0.0000E+00  0.0000E+00  8.3334E+02  8.8501E+04
432010.E-03  0.0000E+00  0.0000E+00  6.6667E+02  7.0334E+04
438010.E-03  0.0000E+00  0.0000E+00  5.0001E+02  5.9001E+04
444010.E-03  0.0000E+00  0.0000E+00  5.0001E+02  4.5834E+04
450010.E-03  0.0000E+00  0.0000E+00  1.0000E+03  3.5167E+04
456010.E-03  0.0000E+00  0.0000E+00  3.3334E+02  2.3500E+04
462010.E-03  0.0000E+00  0.0000E+00  1.6667E+02  1.8334E+04
468010.E-03  0.0000E+00  0.0000E+00  1.6667E+02  1.4167E+04
474010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  8.5001E+03
480010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  4.6667E+03
486010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  4.1667E+03
492010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  2.8334E+03
498010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.3334E+03
504010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  2.1667E+03
510010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  8.3334E+02
516010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.8334E+03
522010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  5.0001E+02
528010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.6667E+02
534010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.3334E+02
540010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.3334E+02
546010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.3334E+02
552010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.3334E+02
558010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  5.0001E+02
564010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.6667E+02
570010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
576010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
582010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
588010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
594010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
600010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
