DEPTH,Ga,Si,O,C,,,,,,,,,,
6.01E+00,9.68E-02,3.37E-01,3.38E-01,0.00E+00,,,,,,,,,,
1.20E+01,1.33E-01,3.65E-01,3.65E-01,0.00E+00,,,,,,,,,,
1.80E+01,1.34E-01,4.49E-01,4.53E-01,0.00E+00,,,,,,,,,,
2.40E+01,1.37E-01,5.21E-01,5.24E-01,0.00E+00,,,,,,,,,,
3.00E+01,1.40E-01,5.84E-01,5.89E-01,0.00E+00,,,,,,,,,,
3.60E+01,1.42E-01,6.39E-01,6.44E-01,0.00E+00,,,,,,,,,,
4.20E+01,1.46E-01,6.88E-01,6.90E-01,0.00E+00,,,,,,,,,,
4.80E+01,1.49E-01,7.35E-01,7.39E-01,0.00E+00,,,,,,,,,,
5.40E+01,1.52E-01,7.76E-01,7.77E-01,0.00E+00,,,,,,,,,,
6.00E+01,1.56E-01,8.14E-01,8.17E-01,0.00E+00,,,,,,,,,,
6.60E+01,1.60E-01,8.53E-01,8.52E-01,0.00E+00,,,,,,,,,,
7.20E+01,1.64E-01,8.87E-01,8.89E-01,0.00E+00,,,,,,,,,,
7.80E+01,1.68E-01,9.19E-01,9.17E-01,0.00E+00,,,,,,,,,,
8.40E+01,1.72E-01,9.43E-01,9.44E-01,0.00E+00,,,,,,,,,,
9.00E+01,1.76E-01,9.62E-01,9.64E-01,0.00E+00,,,,,,,,,,
9.60E+01,1.80E-01,9.67E-01,9.76E-01,0.00E+00,,,,,,,,,,
1.02E+02,2.47E-01,6.34E-01,6.46E-01,8.87E-01,,,,,,,,,,
1.08E+02,3.42E-01,0.00E+00,0.00E+00,2.60E+00,,,,,,,,,,
1.14E+02,3.47E-01,0.00E+00,0.00E+00,2.50E+00,,,,,,,,,,
1.20E+02,3.53E-01,0.00E+00,0.00E+00,2.46E+00,,,,,,,,,,
1.26E+02,3.52E-01,0.00E+00,0.00E+00,2.43E+00,,,,,,,,,,
1.32E+02,3.53E-01,0.00E+00,0.00E+00,2.40E+00,,,,,,,,,,
1.38E+02,3.51E-01,0.00E+00,0.00E+00,2.35E+00,,,,,,,,,,
1.44E+02,3.46E-01,0.00E+00,0.00E+00,2.30E+00,,,,,,,,,,
1.50E+02,3.39E-01,0.00E+00,0.00E+00,2.23E+00,,,,,,,,,,
1.56E+02,3.30E-01,0.00E+00,0.00E+00,2.14E+00,,,,,,,,,,
1.62E+02,3.18E-01,0.00E+00,0.00E+00,2.05E+00,,,,,,,,,,
1.68E+02,3.04E-01,0.00E+00,0.00E+00,1.95E+00,,,,,,,,,,
1.74E+02,2.86E-01,0.00E+00,0.00E+00,1.83E+00,,,,,,,,,,
1.80E+02,2.67E-01,0.00E+00,0.00E+00,1.70E+00,,,,,,,,,,
1.86E+02,2.45E-01,0.00E+00,0.00E+00,1.56E+00,,,,,,,,,,
1.92E+02,2.22E-01,0.00E+00,0.00E+00,1.42E+00,,,,,,,,,,
1.98E+02,1.98E-01,0.00E+00,0.00E+00,1.28E+00,,,,,,,,,,
2.04E+02,1.75E-01,0.00E+00,0.00E+00,1.15E+00,,,,,,,,,,
2.10E+02,1.52E-01,0.00E+00,0.00E+00,1.02E+00,,,,,,,,,,
2.16E+02,1.30E-01,0.00E+00,0.00E+00,8.92E-01,,,,,,,,,,
2.22E+02,1.10E-01,0.00E+00,0.00E+00,7.76E-01,,,,,,,,,,
2.28E+02,9.13E-02,0.00E+00,0.00E+00,6.68E-01,,,,,,,,,,
2.34E+02,7.48E-02,0.00E+00,0.00E+00,5.67E-01,,,,,,,,,,
2.40E+02,6.04E-02,0.00E+00,0.00E+00,4.78E-01,,,,,,,,,,
2.46E+02,4.73E-02,0.00E+00,0.00E+00,3.99E-01,,,,,,,,,,
2.52E+02,3.73E-02,0.00E+00,0.00E+00,3.30E-01,,,,,,,,,,
2.58E+02,2.84E-02,0.00E+00,0.00E+00,2.74E-01,,,,,,,,,,
2.64E+02,2.18E-02,0.00E+00,0.00E+00,2.24E-01,,,,,,,,,,
2.70E+02,1.66E-02,0.00E+00,0.00E+00,1.83E-01,,,,,,,,,,
2.76E+02,1.20E-02,0.00E+00,0.00E+00,1.49E-01,,,,,,,,,,
2.82E+02,8.57E-03,0.00E+00,0.00E+00,1.21E-01,,,,,,,,,,
2.88E+02,6.05E-03,0.00E+00,0.00E+00,9.76E-02,,,,,,,,,,
2.94E+02,4.22E-03,0.00E+00,0.00E+00,7.99E-02,,,,,,,,,,
3.00E+02,2.76E-03,0.00E+00,0.00E+00,6.57E-02,,,,,,,,,,
3.06E+02,1.79E-03,0.00E+00,0.00E+00,5.29E-02,,,,,,,,,,
3.12E+02,1.21E-03,0.00E+00,0.00E+00,4.46E-02,,,,,,,,,,
3.18E+02,8.13E-04,0.00E+00,0.00E+00,3.54E-02,,,,,,,,,,
3.24E+02,5.53E-04,0.00E+00,0.00E+00,2.89E-02,,,,,,,,,,
3.30E+02,3.67E-04,0.00E+00,0.00E+00,2.33E-02,,,,,,,,,,
3.36E+02,2.52E-04,0.00E+00,0.00E+00,1.99E-02,,,,,,,,,,
3.42E+02,1.43E-04,0.00E+00,0.00E+00,1.61E-02,,,,,,,,,,
3.48E+02,1.22E-04,0.00E+00,0.00E+00,1.34E-02,,,,,,,,,,
3.54E+02,6.50E-05,0.00E+00,0.00E+00,1.01E-02,,,,,,,,,,
3.60E+02,3.67E-05,0.00E+00,0.00E+00,8.41E-03,,,,,,,,,,
3.66E+02,2.67E-05,0.00E+00,0.00E+00,6.72E-03,,,,,,,,,,
3.72E+02,8.33E-06,0.00E+00,0.00E+00,5.53E-03,,,,,,,,,,
3.78E+02,6.67E-06,0.00E+00,0.00E+00,4.28E-03,,,,,,,,,,
3.84E+02,6.67E-06,0.00E+00,0.00E+00,3.33E-03,,,,,,,,,,
3.90E+02,3.33E-06,0.00E+00,0.00E+00,2.71E-03,,,,,,,,,,
3.96E+02,0.00E+00,0.00E+00,0.00E+00,2.04E-03,,,,,,,,,,
4.02E+02,0.00E+00,0.00E+00,0.00E+00,1.65E-03,,,,,,,,,,
4.08E+02,0.00E+00,0.00E+00,0.00E+00,1.41E-03,,,,,,,,,,
4.14E+02,0.00E+00,0.00E+00,0.00E+00,1.26E-03,,,,,,,,,,
4.20E+02,0.00E+00,0.00E+00,0.00E+00,1.01E-03,,,,,,,,,,
4.26E+02,0.00E+00,0.00E+00,0.00E+00,6.98E-04,,,,,,,,,,
4.32E+02,0.00E+00,0.00E+00,0.00E+00,5.55E-04,,,,,,,,,,
4.38E+02,0.00E+00,0.00E+00,0.00E+00,5.30E-04,,,,,,,,,,
4.44E+02,0.00E+00,0.00E+00,0.00E+00,3.83E-04,,,,,,,,,,
4.50E+02,0.00E+00,0.00E+00,0.00E+00,2.67E-04,,,,,,,,,,
4.56E+02,0.00E+00,0.00E+00,0.00E+00,1.90E-04,,,,,,,,,,
4.62E+02,0.00E+00,0.00E+00,0.00E+00,1.43E-04,,,,,,,,,,
4.68E+02,0.00E+00,0.00E+00,0.00E+00,1.07E-04,,,,,,,,,,
4.74E+02,0.00E+00,0.00E+00,0.00E+00,4.00E-05,,,,,,,,,,
4.80E+02,0.00E+00,0.00E+00,0.00E+00,3.83E-05,,,,,,,,,,
4.86E+02,0.00E+00,0.00E+00,0.00E+00,3.67E-05,,,,,,,,,,
4.92E+02,0.00E+00,0.00E+00,0.00E+00,1.50E-05,,,,,,,,,,
4.98E+02,0.00E+00,0.00E+00,0.00E+00,3.33E-05,,,,,,,,,,
5.04E+02,0.00E+00,0.00E+00,0.00E+00,1.33E-05,,,,,,,,,,
5.10E+02,0.00E+00,0.00E+00,0.00E+00,3.33E-06,,,,,,,,,,
5.16E+02,0.00E+00,0.00E+00,0.00E+00,1.67E-05,,,,,,,,,,
5.22E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
5.28E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
5.34E+02,0.00E+00,0.00E+00,0.00E+00,6.67E-06,,,,,,,,,,
5.40E+02,0.00E+00,0.00E+00,0.00E+00,3.33E-06,,,,,,,,,,
5.46E+02,0.00E+00,0.00E+00,0.00E+00,1.67E-06,,,,,,,,,,
5.52E+02,0.00E+00,0.00E+00,0.00E+00,5.00E-06,,,,,,,,,,
5.58E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
5.64E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
5.70E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
5.76E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
5.82E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
5.88E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
5.94E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
6.00E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,
,,,,,,,,,,,,,,
,To,convert,to,Energy,Lost,-,multiply,by,Average,Binding,Energy,=,2.666667,eV/Vacancy
