DEPTH         Ga           Si            O            C       
601000.E-05  9684.47E-05  3369.18E-04  3383.21E-04  0000.00E+00  
120100.E-04  1333.35E-04  3652.25E-04  3646.32E-04  0000.00E+00  
180100.E-04  1335.22E-04  4488.42E-04  4530.41E-04  0000.00E+00  
240100.E-04  1367.48E-04  5207.05E-04  5238.78E-04  0000.00E+00  
300100.E-04  1400.69E-04  5840.95E-04  5885.21E-04  0000.00E+00  
360100.E-04  1419.25E-04  6394.97E-04  6442.64E-04  0000.00E+00  
420100.E-04  1455.89E-04  6878.98E-04  6898.33E-04  0000.00E+00  
480100.E-04  1489.00E-04  7351.00E-04  7394.48E-04  0000.00E+00  
540100.E-04  1516.95E-04  7763.56E-04  7771.35E-04  0000.00E+00  
600100.E-04  1557.03E-04  8136.51E-04  8168.44E-04  0000.00E+00  
660100.E-04  1595.99E-04  8526.13E-04  8524.21E-04  0000.00E+00  
720100.E-04  1635.20E-04  8866.79E-04  8886.87E-04  0000.00E+00  
780100.E-04  1678.44E-04  9187.93E-04  9168.62E-04  0000.00E+00  
840100.E-04  1717.27E-04  9428.50E-04  9435.05E-04  0000.00E+00  
900100.E-04  1762.01E-04  9622.69E-04  9642.00E-04  0000.00E+00  
960100.E-04  1795.30E-04  9673.63E-04  9758.07E-04  0000.00E+00  
102010.E-03  2473.04E-04  6342.03E-04  6458.93E-04  8868.12E-04  
108010.E-03  3418.52E-04  0000.00E+00  0000.00E+00  2604.14E-03  
114010.E-03  3465.72E-04  0000.00E+00  0000.00E+00  2500.65E-03  
120010.E-03  3534.10E-04  0000.00E+00  0000.00E+00  2464.68E-03  
126010.E-03  3522.78E-04  0000.00E+00  0000.00E+00  2427.88E-03  
132010.E-03  3529.76E-04  0000.00E+00  0000.00E+00  2396.81E-03  
138010.E-03  3508.01E-04  0000.00E+00  0000.00E+00  2348.50E-03  
144010.E-03  3459.84E-04  0000.00E+00  0000.00E+00  2298.45E-03  
150010.E-03  3393.05E-04  0000.00E+00  0000.00E+00  2233.11E-03  
156010.E-03  3299.22E-04  0000.00E+00  0000.00E+00  2140.32E-03  
162010.E-03  3182.22E-04  0000.00E+00  0000.00E+00  2048.57E-03  
168010.E-03  3037.07E-04  0000.00E+00  0000.00E+00  1945.43E-03  
174010.E-03  2859.55E-04  0000.00E+00  0000.00E+00  1833.41E-03  
180010.E-03  2670.36E-04  0000.00E+00  0000.00E+00  1702.05E-03  
186010.E-03  2448.56E-04  0000.00E+00  0000.00E+00  1562.69E-03  
192010.E-03  2217.00E-04  0000.00E+00  0000.00E+00  1423.91E-03  
198010.E-03  1978.30E-04  0000.00E+00  0000.00E+00  1282.17E-03  
204010.E-03  1750.21E-04  0000.00E+00  0000.00E+00  1147.20E-03  
210010.E-03  1517.17E-04  0000.00E+00  0000.00E+00  1016.21E-03  
