DEPTH,Ga,Si,O,C
6.51E+00,0.00E+00,2.94E+07,3.41E+07,1.54E+02
1.30E+01,0.00E+00,3.68E+07,3.49E+07,0.00E+00
1.95E+01,0.00E+00,4.58E+07,4.46E+07,0.00E+00
2.60E+01,4.62E+02,5.35E+07,5.24E+07,1.54E+02
3.25E+01,1.38E+03,6.04E+07,5.94E+07,0.00E+00
3.90E+01,2.46E+03,6.64E+07,6.53E+07,0.00E+00
4.55E+01,5.23E+03,7.21E+07,7.11E+07,4.62E+02
5.20E+01,8.77E+03,7.72E+07,7.60E+07,1.08E+03
5.85E+01,1.22E+04,8.21E+07,8.07E+07,4.62E+02
6.50E+01,1.92E+04,8.63E+07,8.51E+07,1.54E+03
7.15E+01,2.77E+04,9.04E+07,8.89E+07,1.54E+03
7.80E+01,4.15E+04,9.46E+07,9.30E+07,2.15E+03
8.45E+01,6.31E+04,9.85E+07,9.69E+07,4.62E+03
9.10E+01,7.88E+04,1.02E+08,1.00E+08,7.23E+03
9.75E+01,1.02E+05,1.05E+08,1.03E+08,1.20E+04
1.04E+02,1.24E+05,1.08E+08,1.06E+08,1.77E+04
1.11E+02,1.48E+05,1.10E+08,1.09E+08,2.97E+04
1.17E+02,1.84E+05,1.12E+08,1.10E+08,6.11E+04
1.24E+02,2.05E+05,1.14E+08,1.12E+08,1.06E+05
1.30E+02,2.48E+05,1.14E+08,1.12E+08,2.58E+05
1.37E+02,2.73E+05,1.14E+08,1.12E+08,7.26E+05
1.43E+02,3.03E+05,1.12E+08,1.08E+08,3.14E+06
1.50E+02,3.20E+05,9.52E+07,8.75E+07,1.97E+07
1.56E+02,3.68E+05,4.52E+07,5.96E+07,1.89E+08
1.63E+02,4.62E+05,5.06E+06,9.84E+06,2.60E+08
1.69E+02,5.41E+05,1.83E+06,3.91E+06,2.50E+08
1.76E+02,6.20E+05,1.08E+06,2.31E+06,2.38E+08
1.82E+02,6.79E+05,7.31E+05,1.54E+06,2.24E+08
1.89E+02,7.29E+05,5.43E+05,1.15E+06,2.11E+08
1.95E+02,7.63E+05,3.94E+05,8.86E+05,1.96E+08
2.02E+02,7.68E+05,3.07E+05,7.07E+05,1.81E+08
2.08E+02,7.81E+05,2.51E+05,5.91E+05,1.67E+08
2.15E+02,7.84E+05,2.03E+05,4.92E+05,1.51E+08
2.21E+02,7.89E+05,1.66E+05,4.23E+05,1.36E+08
2.28E+02,7.44E+05,1.37E+05,3.55E+05,1.21E+08
2.34E+02,7.33E+05,1.14E+05,3.07E+05,1.07E+08
2.41E+02,6.75E+05,9.62E+04,2.69E+05,9.28E+07
2.47E+02,6.13E+05,8.25E+04,2.18E+05,7.99E+07
2.54E+02,5.71E+05,7.11E+04,1.93E+05,6.77E+07
2.60E+02,4.96E+05,5.46E+04,1.80E+05,5.73E+07
2.67E+02,4.12E+05,4.49E+04,1.50E+05,4.81E+07
2.73E+02,3.68E+05,4.00E+04,1.37E+05,4.00E+07
2.80E+02,2.89E+05,3.35E+04,1.17E+05,3.30E+07
2.86E+02,2.43E+05,2.55E+04,9.77E+04,2.71E+07
2.93E+02,2.02E+05,1.97E+04,9.31E+04,2.20E+07
2.99E+02,1.60E+05,2.08E+04,7.82E+04,1.78E+07
3.06E+02,1.22E+05,1.43E+04,7.71E+04,1.42E+07
3.12E+02,8.91E+04,1.23E+04,5.94E+04,1.13E+07
3.19E+02,7.05E+04,9.54E+03,5.28E+04,9.02E+06
3.25E+02,4.17E+04,1.03E+04,5.08E+04,7.29E+06
3.32E+02,3.40E+04,6.92E+03,3.75E+04,5.82E+06
3.38E+02,2.51E+04,6.15E+03,3.63E+04,4.66E+06
3.45E+02,1.72E+04,3.69E+03,2.85E+04,3.80E+06
3.51E+02,1.05E+04,4.62E+03,2.66E+04,3.06E+06
3.58E+02,7.08E+03,1.85E+03,2.48E+04,2.49E+06
