DEPTH	Ga	Si	O	C										
3.11E+00	9.70E-02	2.67E-01	2.68E-01	0.00E+00										
6.21E+00	9.96E-02	3.08E-01	3.19E-01	0.00E+00										
9.31E+00	1.57E-01	3.07E-01	3.19E-01	0.00E+00										
1.24E+01	2.35E-01	7.36E-02	7.47E-02	8.10E-01										
1.55E+01	2.47E-01	0.00E+00	0.00E+00	1.10E+00										
1.86E+01	2.35E-01	0.00E+00	0.00E+00	1.16E+00										
2.17E+01	2.64E-01	0.00E+00	0.00E+00	1.27E+00										
2.48E+01	2.64E-01	0.00E+00	0.00E+00	1.33E+00										
2.79E+01	2.57E-01	0.00E+00	0.00E+00	1.39E+00										
3.10E+01	2.56E-01	0.00E+00	0.00E+00	1.46E+00										
3.41E+01	2.76E-01	0.00E+00	0.00E+00	1.54E+00										
3.72E+01	2.76E-01	0.00E+00	0.00E+00	1.59E+00										
4.03E+01	2.74E-01	0.00E+00	0.00E+00	1.65E+00										
4.34E+01	2.78E-01	0.00E+00	0.00E+00	1.70E+00										
4.65E+01	2.91E-01	0.00E+00	0.00E+00	1.76E+00										
4.96E+01	2.94E-01	0.00E+00	0.00E+00	1.81E+00										
5.27E+01	2.94E-01	0.00E+00	0.00E+00	1.86E+00										
5.58E+01	3.02E-01	0.00E+00	0.00E+00	1.91E+00										
5.89E+01	3.10E-01	0.00E+00	0.00E+00	1.96E+00										
6.20E+01	3.16E-01	0.00E+00	0.00E+00	2.00E+00										
6.51E+01	3.19E-01	0.00E+00	0.00E+00	2.04E+00										
6.82E+01	3.27E-01	0.00E+00	0.00E+00	2.09E+00										
7.13E+01	3.35E-01	0.00E+00	0.00E+00	2.13E+00										
7.44E+01	3.39E-01	0.00E+00	0.00E+00	2.17E+00										
7.75E+01	3.45E-01	0.00E+00	0.00E+00	2.20E+00										
8.06E+01	3.51E-01	0.00E+00	0.00E+00	2.24E+00										
8.37E+01	3.59E-01	0.00E+00	0.00E+00	2.28E+00										
8.68E+01	3.62E-01	0.00E+00	0.00E+00	2.29E+00										
8.99E+01	3.66E-01	0.00E+00	0.00E+00	2.31E+00										
9.30E+01	3.72E-01	0.00E+00	0.00E+00	2.33E+00										
9.61E+01	3.77E-01	0.00E+00	0.00E+00	2.33E+00										
9.92E+01	3.79E-01	0.00E+00	0.00E+00	2.34E+00										
1.02E+02	3.78E-01	0.00E+00	0.00E+00	2.35E+00										
1.05E+02	3.78E-01	0.00E+00	0.00E+00	2.33E+00										
1.09E+02	3.78E-01	0.00E+00	0.00E+00	2.32E+00										
1.12E+02	3.74E-01	0.00E+00	0.00E+00	2.29E+00										
1.15E+02	3.69E-01	0.00E+00	0.00E+00	2.26E+00										
1.18E+02	3.66E-01	0.00E+00	0.00E+00	2.23E+00										
1.21E+02	3.60E-01	0.00E+00	0.00E+00	2.19E+00										
1.24E+02	3.51E-01	0.00E+00	0.00E+00	2.14E+00										
1.27E+02	3.42E-01	0.00E+00	0.00E+00	2.08E+00										
1.30E+02	3.34E-01	0.00E+00	0.00E+00	2.03E+00										
1.33E+02	3.22E-01	0.00E+00	0.00E+00	1.96E+00										
1.36E+02	3.11E-01	0.00E+00	0.00E+00	1.89E+00										
1.40E+02	2.98E-01	0.00E+00	0.00E+00	1.82E+00										
1.43E+02	2.85E-01	0.00E+00	0.00E+00	1.75E+00										
1.46E+02	2.70E-01	0.00E+00	0.00E+00	1.67E+00										
1.49E+02	2.56E-01	0.00E+00	0.00E+00	1.59E+00										
1.52E+02	2.42E-01	0.00E+00	0.00E+00	1.50E+00										
1.55E+02	2.26E-01	0.00E+00	0.00E+00	1.42E+00										
1.58E+02	2.12E-01	0.00E+00	0.00E+00	1.34E+00										
1.61E+02	1.98E-01	0.00E+00	0.00E+00	1.26E+00										
1.64E+02	1.84E-01	0.00E+00	0.00E+00	1.18E+00										
1.67E+02	1.70E-01	0.00E+00	0.00E+00	1.11E+00										
1.71E+02	1.56E-01	0.00E+00	0.00E+00	1.03E+00										
1.74E+02	1.43E-01	0.00E+00	0.00E+00	9.56E-01										
1.77E+02	1.31E-01	0.00E+00	0.00E+00	8.84E-01										
1.80E+02	1.18E-01	0.00E+00	0.00E+00	8.14E-01										
1.83E+02	1.07E-01	0.00E+00	0.00E+00	7.51E-01										
1.86E+02	9.57E-02	0.00E+00	0.00E+00	6.95E-01										
1.89E+02	8.66E-02	0.00E+00	0.00E+00	6.38E-01										
1.92E+02	7.74E-02	0.00E+00	0.00E+00	5.86E-01										
1.95E+02	6.87E-02	0.00E+00	0.00E+00	5.35E-01										
1.98E+02	6.12E-02	0.00E+00	0.00E+00	4.88E-01										
2.02E+02	5.36E-02	0.00E+00	0.00E+00	4.43E-01										
2.05E+02	4.74E-02	0.00E+00	0.00E+00	4.05E-01										
2.08E+02	4.10E-02	0.00E+00	0.00E+00	3.65E-01										
2.11E+02	3.60E-02	0.00E+00	0.00E+00	3.29E-01										
2.14E+02	3.11E-02	0.00E+00	0.00E+00	2.95E-01										
2.17E+02	2.70E-02	0.00E+00	0.00E+00	2.68E-01										
2.20E+02	2.33E-02	0.00E+00	0.00E+00	2.42E-01										
2.23E+02	1.95E-02	0.00E+00	0.00E+00	2.14E-01										
2.26E+02	1.67E-02	0.00E+00	0.00E+00	1.94E-01										
2.29E+02	1.38E-02	0.00E+00	0.00E+00	1.72E-01										
2.33E+02	1.15E-02	0.00E+00	0.00E+00	1.55E-01										
2.36E+02	9.51E-03	0.00E+00	0.00E+00	1.41E-01										
2.39E+02	7.81E-03	0.00E+00	0.00E+00	1.25E-01										
2.42E+02	6.52E-03	0.00E+00	0.00E+00	1.13E-01										
2.45E+02	5.38E-03	0.00E+00	0.00E+00	1.02E-01										
2.48E+02	4.43E-03	0.00E+00	0.00E+00	9.24E-02										
2.51E+02	3.74E-03	0.00E+00	0.00E+00	8.32E-02										
2.54E+02	3.00E-03	0.00E+00	0.00E+00	7.55E-02										
2.57E+02	2.49E-03	0.00E+00	0.00E+00	6.87E-02										
2.60E+02	2.04E-03	0.00E+00	0.00E+00	6.16E-02										
2.64E+02	1.60E-03	0.00E+00	0.00E+00	5.49E-02										
2.67E+02	1.33E-03	0.00E+00	0.00E+00	5.08E-02										
2.70E+02	1.11E-03	0.00E+00	0.00E+00	4.54E-02										
2.73E+02	8.00E-04	0.00E+00	0.00E+00	4.14E-02										
2.76E+02	6.23E-04	0.00E+00	0.00E+00	3.62E-02										
2.79E+02	4.94E-04	0.00E+00	0.00E+00	3.35E-02										
2.82E+02	3.65E-04	0.00E+00	0.00E+00	3.06E-02										
2.85E+02	3.13E-04	0.00E+00	0.00E+00	2.71E-02										
2.88E+02	2.32E-04	0.00E+00	0.00E+00	2.55E-02										
2.91E+02	1.61E-04	0.00E+00	0.00E+00	2.35E-02										
2.95E+02	1.32E-04	0.00E+00	0.00E+00	2.08E-02										
2.98E+02	9.03E-05	0.00E+00	0.00E+00	1.91E-02										
3.01E+02	6.77E-05	0.00E+00	0.00E+00	1.74E-02										
3.04E+02	3.87E-05	0.00E+00	0.00E+00	1.50E-02										
3.07E+02	2.58E-05	0.00E+00	0.00E+00	1.35E-02										
3.10E+02	2.26E-05	0.00E+00	0.00E+00	1.13E-02										
														
	To	convert	to	Energy	Lost	-	multiply	by	Average	Binding	Energy	=	2.666667	eV/Vacancy
