DEPTH         Ga         Si          O          C    
751000.E-05  0.0000E+00  2.9218E+07  3.2937E+07  0.0000E+00
150100.E-04  1.3333E+02  3.8762E+07  3.6989E+07  0.0000E+00
225100.E-04  2.6667E+02  4.8621E+07  4.7496E+07  0.0000E+00
300100.E-04  2.6667E+02  5.6867E+07  5.5937E+07  0.0000E+00
375100.E-04  1.6000E+03  6.4140E+07  6.3297E+07  0.0000E+00
450100.E-04  3.7334E+03  7.1032E+07  6.9678E+07  0.0000E+00
525100.E-04  6.9334E+03  7.6659E+07  7.5507E+07  0.0000E+00
600100.E-04  1.2000E+04  8.2137E+07  8.1026E+07  0.0000E+00
675100.E-04  2.0800E+04  8.7385E+07  8.6083E+07  0.0000E+00
750100.E-04  3.6400E+04  9.2224E+07  9.0736E+07  0.0000E+00
825100.E-04  5.1334E+04  9.6371E+07  9.4864E+07  0.0000E+00
900100.E-04  7.0934E+04  1.0056E+08  9.9066E+07  0.0000E+00
975100.E-04  9.9334E+04  1.0384E+08  1.0254E+08  0.0000E+00
105010.E-03  1.2813E+05  1.0713E+08  1.0535E+08  0.0000E+00
112510.E-03  1.5187E+05  1.0988E+08  1.0813E+08  0.0000E+00
120010.E-03  2.0093E+05  1.1253E+08  1.1094E+08  0.0000E+00
127510.E-03  2.3533E+05  1.1418E+08  1.1261E+08  0.0000E+00
135010.E-03  2.5600E+05  1.1531E+08  1.1369E+08  0.0000E+00
142510.E-03  2.9560E+05  1.1573E+08  1.1439E+08  0.0000E+00
150010.E-03  3.3173E+05  1.1590E+08  1.1449E+08  0.0000E+00
157510.E-03  3.7533E+05  1.1571E+08  1.1396E+08  5.3334E+02
165010.E-03  3.9640E+05  1.1452E+08  1.1265E+08  4.0000E+02
172510.E-03  4.3227E+05  1.1268E+08  1.1134E+08  5.3334E+02
180010.E-03  4.4880E+05  1.1069E+08  1.0899E+08  5.3334E+02
187510.E-03  4.7547E+05  1.0772E+08  1.0617E+08  9.3334E+02
195010.E-03  5.0653E+05  1.0431E+08  1.0247E+08  2.0000E+03
202510.E-03  4.9787E+05  1.0066E+08  9.9051E+07  4.6667E+03
210010.E-03  5.2133E+05  9.6419E+07  9.5353E+07  8.0001E+03
217510.E-03  5.3227E+05  9.2217E+07  9.0855E+07  1.6800E+04
225010.E-03  5.0707E+05  8.7582E+07  8.6507E+07  4.7467E+04
232510.E-03  5.1333E+05  8.2717E+07  8.1410E+07  1.3427E+05
240010.E-03  4.9107E+05  7.7190E+07  7.5783E+07  5.9108E+05
247510.E-03  4.7827E+05  6.7936E+07  6.5307E+07  4.7183E+06
255010.E-03  4.5213E+05  3.8902E+07  4.4731E+07  7.3573E+07
262510.E-03  5.0840E+05  4.0635E+06  7.9962E+06  1.3739E+08
270010.E-03  5.4014E+05  1.1484E+06  2.6317E+06  1.2066E+08
277510.E-03  5.5201E+05  5.9655E+05  1.4172E+06  1.0267E+08
285010.E-03  5.2293E+05  3.8147E+05  9.3956E+05  8.7267E+07
292510.E-03  4.6213E+05  2.5013E+05  6.9177E+05  7.3641E+07
300010.E-03  4.0333E+05  1.7707E+05  5.1853E+05  6.1722E+07
307510.E-03  3.6533E+05  1.2480E+05  3.9960E+05  5.1219E+07
315010.E-03  3.1520E+05  1.0213E+05  3.1960E+05  4.1866E+07
322510.E-03  2.6880E+05  7.5601E+04  2.5133E+05  3.3843E+07
330010.E-03  2.1040E+05  5.6801E+04  2.0373E+05  2.7231E+07
337510.E-03  1.7867E+05  4.7867E+04  1.6533E+05  2.1781E+07
345010.E-03  1.3440E+05  3.3867E+04  1.4013E+05  1.7238E+07
352510.E-03  9.9868E+04  2.9734E+04  1.1840E+05  1.3598E+07
360010.E-03  7.5201E+04  2.0534E+04  9.6934E+04  1.0625E+07
367510.E-03  5.0801E+04  1.6933E+04  8.2134E+04  8.2334E+06
375010.E-03  4.1867E+04  9.4668E+03  7.0401E+04  6.4127E+06
382510.E-03  2.2800E+04  8.6668E+03  5.4134E+04  5.0272E+06
390010.E-03  2.1334E+04  7.3334E+03  4.5867E+04  3.8882E+06
397510.E-03  1.1867E+04  6.1334E+03  4.0667E+04  3.0988E+06
405010.E-03  7.4667E+03  4.5334E+03  3.6134E+04  2.4430E+06
412510.E-03  2.6667E+03  2.8000E+03  2.8934E+04  1.9370E+06
420010.E-03  2.6667E+03  2.0000E+03  2.2934E+04  1.5115E+06
427510.E-03  1.3333E+03  2.4000E+03  2.0800E+04  1.2003E+06
435010.E-03  5.3334E+02  1.3333E+03  1.5467E+04  9.1235E+05
442510.E-03  4.0000E+02  8.0001E+02  1.2133E+04  6.9377E+05
450010.E-03  6.6667E+02  4.0000E+02  9.3334E+03  5.5774E+05
457510.E-03  4.0000E+02  4.0000E+02  7.7334E+03  4.4147E+05
465010.E-03  1.3333E+02  1.3333E+02  6.6667E+03  3.4653E+05
472510.E-03  0.0000E+00  0.0000E+00  4.0000E+03  2.6107E+05
480010.E-03  0.0000E+00  0.0000E+00  4.5334E+03  2.0027E+05
487510.E-03  0.0000E+00  0.0000E+00  4.8000E+03  1.4107E+05
495010.E-03  0.0000E+00  0.0000E+00  2.2667E+03  1.0920E+05
502510.E-03  0.0000E+00  1.3333E+02  2.5334E+03  8.8001E+04
510010.E-03  0.0000E+00  0.0000E+00  1.6000E+03  7.9068E+04
517510.E-03  0.0000E+00  1.3333E+02  5.3334E+02  5.1201E+04
525010.E-03  0.0000E+00  0.0000E+00  1.0667E+03  2.7600E+04
532510.E-03  0.0000E+00  0.0000E+00  2.6667E+02  1.9200E+04
540010.E-03  0.0000E+00  0.0000E+00  5.3334E+02  1.2000E+04
547510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  8.9334E+03
555010.E-03  0.0000E+00  0.0000E+00  1.3333E+02  6.2667E+03
562510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  5.3334E+03
570010.E-03  0.0000E+00  0.0000E+00  2.6667E+02  4.2667E+03
577510.E-03  0.0000E+00  0.0000E+00  1.3333E+02  2.5334E+03
585010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.2000E+03
592510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  5.3334E+02
600010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.3333E+02
607510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
615010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
622510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
630010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
637510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
645010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
652510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
660010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
667510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
675010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
682510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
690010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
697510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
705010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
712510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
720010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
727510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
735010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
742510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
750010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
