DEPTH,Ga,Si,O,C
7.51E+00,0.00E+00,2.92E+07,3.29E+07,0.00E+00
1.50E+01,1.33E+02,3.88E+07,3.70E+07,0.00E+00
2.25E+01,2.67E+02,4.86E+07,4.75E+07,0.00E+00
3.00E+01,2.67E+02,5.69E+07,5.59E+07,0.00E+00
3.75E+01,1.60E+03,6.41E+07,6.33E+07,0.00E+00
4.50E+01,3.73E+03,7.10E+07,6.97E+07,0.00E+00
5.25E+01,6.93E+03,7.67E+07,7.55E+07,0.00E+00
6.00E+01,1.20E+04,8.21E+07,8.10E+07,0.00E+00
6.75E+01,2.08E+04,8.74E+07,8.61E+07,0.00E+00
7.50E+01,3.64E+04,9.22E+07,9.07E+07,0.00E+00
8.25E+01,5.13E+04,9.64E+07,9.49E+07,0.00E+00
9.00E+01,7.09E+04,1.01E+08,9.91E+07,0.00E+00
9.75E+01,9.93E+04,1.04E+08,1.03E+08,0.00E+00
1.05E+02,1.28E+05,1.07E+08,1.05E+08,0.00E+00
1.13E+02,1.52E+05,1.10E+08,1.08E+08,0.00E+00
1.20E+02,2.01E+05,1.13E+08,1.11E+08,0.00E+00
1.28E+02,2.35E+05,1.14E+08,1.13E+08,0.00E+00
1.35E+02,2.56E+05,1.15E+08,1.14E+08,0.00E+00
1.43E+02,2.96E+05,1.16E+08,1.14E+08,0.00E+00
1.50E+02,3.32E+05,1.16E+08,1.14E+08,0.00E+00
1.58E+02,3.75E+05,1.16E+08,1.14E+08,5.33E+02
1.65E+02,3.96E+05,1.15E+08,1.13E+08,4.00E+02
1.73E+02,4.32E+05,1.13E+08,1.11E+08,5.33E+02
1.80E+02,4.49E+05,1.11E+08,1.09E+08,5.33E+02
1.88E+02,4.75E+05,1.08E+08,1.06E+08,9.33E+02
1.95E+02,5.07E+05,1.04E+08,1.02E+08,2.00E+03
2.03E+02,4.98E+05,1.01E+08,9.91E+07,4.67E+03
2.10E+02,5.21E+05,9.64E+07,9.54E+07,8.00E+03
2.18E+02,5.32E+05,9.22E+07,9.09E+07,1.68E+04
2.25E+02,5.07E+05,8.76E+07,8.65E+07,4.75E+04
2.33E+02,5.13E+05,8.27E+07,8.14E+07,1.34E+05
2.40E+02,4.91E+05,7.72E+07,7.58E+07,5.91E+05
2.48E+02,4.78E+05,6.79E+07,6.53E+07,4.72E+06
2.55E+02,4.52E+05,3.89E+07,4.47E+07,7.36E+07
2.63E+02,5.08E+05,4.06E+06,8.00E+06,1.37E+08
2.70E+02,5.40E+05,1.15E+06,2.63E+06,1.21E+08
2.78E+02,5.52E+05,5.97E+05,1.42E+06,1.03E+08
2.85E+02,5.23E+05,3.81E+05,9.40E+05,8.73E+07
2.93E+02,4.62E+05,2.50E+05,6.92E+05,7.36E+07
3.00E+02,4.03E+05,1.77E+05,5.19E+05,6.17E+07
3.08E+02,3.65E+05,1.25E+05,4.00E+05,5.12E+07
3.15E+02,3.15E+05,1.02E+05,3.20E+05,4.19E+07
3.23E+02,2.69E+05,7.56E+04,2.51E+05,3.38E+07
3.30E+02,2.10E+05,5.68E+04,2.04E+05,2.72E+07
3.38E+02,1.79E+05,4.79E+04,1.65E+05,2.18E+07
3.45E+02,1.34E+05,3.39E+04,1.40E+05,1.72E+07
3.53E+02,9.99E+04,2.97E+04,1.18E+05,1.36E+07
3.60E+02,7.52E+04,2.05E+04,9.69E+04,1.06E+07
3.68E+02,5.08E+04,1.69E+04,8.21E+04,8.23E+06
3.75E+02,4.19E+04,9.47E+03,7.04E+04,6.41E+06
3.83E+02,2.28E+04,8.67E+03,5.41E+04,5.03E+06
3.90E+02,2.13E+04,7.33E+03,4.59E+04,3.89E+06
3.98E+02,1.19E+04,6.13E+03,4.07E+04,3.10E+06
4.05E+02,7.47E+03,4.53E+03,3.61E+04,2.44E+06
4.13E+02,2.67E+03,2.80E+03,2.89E+04,1.94E+06
4.20E+02,2.67E+03,2.00E+03,2.29E+04,1.51E+06
4.28E+02,1.33E+03,2.40E+03,2.08E+04,1.20E+06
4.35E+02,5.33E+02,1.33E+03,1.55E+04,9.12E+05
4.43E+02,4.00E+02,8.00E+02,1.21E+04,6.94E+05
4.50E+02,6.67E+02,4.00E+02,9.33E+03,5.58E+05
4.58E+02,4.00E+02,4.00E+02,7.73E+03,4.41E+05
4.65E+02,1.33E+02,1.33E+02,6.67E+03,3.47E+05
4.73E+02,0.00E+00,0.00E+00,4.00E+03,2.61E+05
4.80E+02,0.00E+00,0.00E+00,4.53E+03,2.00E+05
4.88E+02,0.00E+00,0.00E+00,4.80E+03,1.41E+05
4.95E+02,0.00E+00,0.00E+00,2.27E+03,1.09E+05
5.03E+02,0.00E+00,1.33E+02,2.53E+03,8.80E+04
5.10E+02,0.00E+00,0.00E+00,1.60E+03,7.91E+04
5.18E+02,0.00E+00,1.33E+02,5.33E+02,5.12E+04
5.25E+02,0.00E+00,0.00E+00,1.07E+03,2.76E+04
5.33E+02,0.00E+00,0.00E+00,2.67E+02,1.92E+04
5.40E+02,0.00E+00,0.00E+00,5.33E+02,1.20E+04
5.48E+02,0.00E+00,0.00E+00,0.00E+00,8.93E+03
5.55E+02,0.00E+00,0.00E+00,1.33E+02,6.27E+03
5.63E+02,0.00E+00,0.00E+00,0.00E+00,5.33E+03
5.70E+02,0.00E+00,0.00E+00,2.67E+02,4.27E+03
5.78E+02,0.00E+00,0.00E+00,1.33E+02,2.53E+03
5.85E+02,0.00E+00,0.00E+00,0.00E+00,1.20E+03
5.93E+02,0.00E+00,0.00E+00,0.00E+00,5.33E+02
6.00E+02,0.00E+00,0.00E+00,0.00E+00,1.33E+02
6.08E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
6.15E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
