DEPTH         Ga           Si            O            C       
751000.E-05  1060.36E-04  3347.88E-04  3367.86E-04  0000.00E+00  
150100.E-04  1312.29E-04  3971.17E-04  3991.74E-04  0000.00E+00  
225100.E-04  1361.86E-04  4950.47E-04  4990.66E-04  0000.00E+00  
300100.E-04  1396.00E-04  5722.47E-04  5790.68E-04  0000.00E+00  
375100.E-04  1422.96E-04  6408.38E-04  6446.99E-04  0000.00E+00  
450100.E-04  1462.36E-04  7052.76E-04  7079.33E-04  0000.00E+00  
525100.E-04  1507.42E-04  7610.84E-04  7642.58E-04  0000.00E+00  
600100.E-04  1552.82E-04  8128.93E-04  8141.51E-04  0000.00E+00  
675100.E-04  1599.12E-04  8653.55E-04  8655.24E-04  0000.00E+00  
750100.E-04  1660.61E-04  9082.86E-04  9084.01E-04  0000.00E+00  
825100.E-04  1708.51E-04  9501.71E-04  9481.54E-04  0000.00E+00  
900100.E-04  1754.03E-04  9894.12E-04  9889.55E-04  0000.00E+00  
975100.E-04  1803.57E-04  1021.35E-03  1020.17E-03  0000.00E+00  
105010.E-03  1847.01E-04  1051.55E-03  1047.60E-03  0000.00E+00  
112510.E-03  1885.06E-04  1079.72E-03  1072.84E-03  0000.00E+00  
120010.E-03  1913.67E-04  1103.38E-03  1101.00E-03  0000.00E+00  
127510.E-03  1940.17E-04  1116.75E-03  1112.51E-03  0000.00E+00  
135010.E-03  1956.58E-04  1127.00E-03  1124.89E-03  0000.00E+00  
142510.E-03  1962.87E-04  1129.60E-03  1124.32E-03  0000.00E+00  
150010.E-03  1959.20E-04  1132.32E-03  1125.85E-03  0000.00E+00  
157510.E-03  1946.15E-04  1126.60E-03  1119.09E-03  0000.00E+00  
165010.E-03  1910.52E-04  1112.59E-03  1102.67E-03  0000.00E+00  
172510.E-03  1880.60E-04  1095.27E-03  1087.63E-03  0000.00E+00  
180010.E-03  1832.95E-04  1073.32E-03  1062.38E-03  0000.00E+00  
187510.E-03  1772.13E-04  1042.48E-03  1031.74E-03  0000.00E+00  
195010.E-03  1708.79E-04  1005.71E-03  9926.44E-04  0000.00E+00  
202510.E-03  1641.42E-04  9719.81E-04  9579.71E-04  0000.00E+00  
210010.E-03  1572.32E-04  9296.95E-04  9210.42E-04  0000.00E+00  
217510.E-03  1481.24E-04  8880.89E-04  8741.43E-04  0000.00E+00  
225010.E-03  1398.64E-04  8406.25E-04  8317.44E-04  0000.00E+00  
232510.E-03  1303.16E-04  7943.49E-04  7833.11E-04  0000.00E+00  
240010.E-03  1217.55E-04  7439.09E-04  7331.52E-04  0000.00E+00  
247510.E-03  1127.60E-04  6810.49E-04  6743.75E-04  0000.00E+00  
255010.E-03  1550.86E-04  2071.37E-04  2070.11E-04  1051.45E-03  
262510.E-03  1603.99E-04  0000.00E+00  0000.00E+00  1332.19E-03  
270010.E-03  1377.67E-04  0000.00E+00  0000.00E+00  1108.30E-03  
277510.E-03  1162.03E-04  0000.00E+00  0000.00E+00  9299.24E-04  
285010.E-03  9760.46E-05  0000.00E+00  0000.00E+00  7868.18E-04  
292510.E-03  8121.65E-05  0000.00E+00  0000.00E+00  6567.22E-04  
300010.E-03  6565.75E-05  0000.00E+00  0000.00E+00  5482.03E-04  
307510.E-03  5278.58E-05  0000.00E+00  0000.00E+00  4519.80E-04  
315010.E-03  4092.46E-05  0000.00E+00  0000.00E+00  3665.46E-04  
322510.E-03  3117.22E-05  0000.00E+00  0000.00E+00  2950.95E-04  
330010.E-03  2293.82E-05  0000.00E+00  0000.00E+00  2353.34E-04  
337510.E-03  1646.37E-05  0000.00E+00  0000.00E+00  1880.49E-04  
345010.E-03  1192.07E-05  0000.00E+00  0000.00E+00  1481.22E-04  
352510.E-03  8222.01E-06  0000.00E+00  0000.00E+00  1166.40E-04  
360010.E-03  5704.12E-06  0000.00E+00  0000.00E+00  9083.21E-05  
367510.E-03  3763.99E-06  0000.00E+00  0000.00E+00  6961.92E-05  
375010.E-03  2484.00E-06  0000.00E+00  0000.00E+00  5470.14E-05  
382510.E-03  1545.34E-06  0000.00E+00  0000.00E+00  4294.81E-05  
390010.E-03  8333.43E-07  0000.00E+00  0000.00E+00  3321.98E-05  
397510.E-03  5013.41E-07  0000.00E+00  0000.00E+00  2665.60E-05  
405010.E-03  2960.03E-07  0000.00E+00  0000.00E+00  2087.60E-05  
412510.E-03  1813.35E-07  0000.00E+00  0000.00E+00  1662.63E-05  
420010.E-03  1226.68E-07  0000.00E+00  0000.00E+00  1311.11E-05  
427510.E-03  6666.73E-08  0000.00E+00  0000.00E+00  1017.71E-05  
435010.E-03  5866.72E-08  0000.00E+00  0000.00E+00  7847.26E-06  
442510.E-03  4533.38E-08  0000.00E+00  0000.00E+00  5962.84E-06  
450010.E-03  1066.68E-08  0000.00E+00  0000.00E+00  4765.32E-06  
457510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  3751.99E-06  
465010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2902.67E-06  
472510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2236.00E-06  
480010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1672.00E-06  
487510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1150.67E-06  
495010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  9160.09E-07  
502510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  7986.76E-07  
510010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  6733.44E-07  
517510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  4146.72E-07  
525010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2226.69E-07  
532510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1280.01E-07  
540010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  9866.76E-08  
547510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  7200.07E-08  
555010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  5200.05E-08  
562510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  3466.70E-08  
