
   DEPTH         Ga         Si          O          C    
   (Ang.)       Ions     Tgt. Atoms  Tgt. Atoms  Tgt. Atoms
-----------  ----------  ----------  ----------  ----------
321000.E-05  0.0000E+00  2.8352E+07  2.5388E+07  1.2887E+06
641000.E-05  0.0000E+00  2.7321E+07  3.5182E+07  1.1598E+06
961000.E-05  0.0000E+00  3.5182E+07  3.0671E+07  1.4176E+06
128100.E-04  0.0000E+00  3.8790E+07  3.6084E+07  3.2218E+06
160100.E-04  0.0000E+00  3.9048E+07  3.5955E+07  7.2168E+06
192100.E-04  0.0000E+00  4.0981E+07  2.6548E+07  1.7140E+07
224100.E-04  0.0000E+00  2.7965E+07  3.3636E+07  6.9848E+07
256100.E-04  0.0000E+00  9.2788E+06  1.0696E+07  1.1934E+08
288100.E-04  0.0000E+00  1.6753E+06  3.3507E+06  1.3441E+08
320100.E-04  0.0000E+00  9.0210E+05  1.4176E+06  1.5194E+08
352100.E-04  0.0000E+00  7.7323E+05  9.0210E+05  1.7204E+08
384100.E-04  0.0000E+00  5.1549E+05  1.0310E+06  1.8210E+08
416100.E-04  0.0000E+00  2.5774E+05  9.0210E+05  1.6328E+08
448100.E-04  0.0000E+00  5.1549E+05  3.8662E+05  1.5864E+08
480100.E-04  0.0000E+00  2.5774E+05  1.2887E+05  1.7179E+08
512100.E-04  0.0000E+00  1.2887E+05  5.1549E+05  1.7849E+08
544100.E-04  2.5774E+05  1.2887E+05  1.2887E+05  1.9640E+08
576100.E-04  0.0000E+00  3.8662E+05  5.1549E+05  1.8841E+08
608100.E-04  0.0000E+00  0.0000E+00  1.2887E+05  1.9872E+08
640100.E-04  0.0000E+00  0.0000E+00  1.2887E+05  2.0942E+08
672100.E-04  0.0000E+00  0.0000E+00  2.5774E+05  2.2372E+08
704100.E-04  0.0000E+00  0.0000E+00  0.0000E+00  2.2759E+08
736100.E-04  0.0000E+00  0.0000E+00  0.0000E+00  2.3545E+08
768100.E-04  0.0000E+00  1.2887E+05  1.2887E+05  2.4189E+08
800100.E-04  0.0000E+00  1.2887E+05  0.0000E+00  2.3081E+08
832100.E-04  0.0000E+00  1.2887E+05  3.8662E+05  2.3596E+08
