
   TARGET    
   DEPTH         Ga           Si            O            C       
   (Ang.)     Knock-Ons    Vacancies    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  -----------  
321000.E-05  8941.82E-05  3082.30E-04  2987.62E-04  0000.00E+00  
641000.E-05  1009.90E-04  3187.50E-04  3029.70E-04  0000.00E+00  
961000.E-05  1525.37E-04  3471.53E-04  3808.16E-04  0000.00E+00  
128100.E-04  1283.41E-04  3818.68E-04  4008.04E-04  0000.00E+00  
160100.E-04  1441.21E-04  5196.78E-04  4870.66E-04  0000.00E+00  
192100.E-04  1493.81E-04  5512.37E-04  5007.42E-04  0000.00E+00  
224100.E-04  2556.31E-04  1209.78E-04  1409.65E-04  1064.60E-03  
256100.E-04  2724.63E-04  0000.00E+00  0000.00E+00  1474.87E-03  
288100.E-04  2587.87E-04  0000.00E+00  0000.00E+00  1500.12E-03  
320100.E-04  2924.50E-04  0000.00E+00  0000.00E+00  1525.37E-03  
352100.E-04  2766.70E-04  0000.00E+00  0000.00E+00  1631.62E-03  
384100.E-04  2829.82E-04  0000.00E+00  0000.00E+00  1826.24E-03  
416100.E-04  2703.59E-04  0000.00E+00  0000.00E+00  1628.46E-03  
448100.E-04  2682.55E-04  0000.00E+00  0000.00E+00  1600.06E-03  
480100.E-04  2913.98E-04  0000.00E+00  0000.00E+00  1661.07E-03  
512100.E-04  2829.82E-04  0000.00E+00  0000.00E+00  1853.59E-03  
544100.E-04  2924.50E-04  0000.00E+00  0000.00E+00  1873.57E-03  
576100.E-04  3113.86E-04  0000.00E+00  0000.00E+00  1891.46E-03  
608100.E-04  2998.14E-04  0000.00E+00  0000.00E+00  1941.95E-03  
640100.E-04  3271.65E-04  0000.00E+00  0000.00E+00  2187.06E-03  
672100.E-04  3219.06E-04  0000.00E+00  0000.00E+00  2062.93E-03  
704100.E-04  2945.54E-04  0000.00E+00  0000.00E+00  2098.70E-03  
736100.E-04  3324.25E-04  0000.00E+00  0000.00E+00  2153.40E-03  
768100.E-04  3429.45E-04  0000.00E+00  0000.00E+00  2211.26E-03  
800100.E-04  3450.49E-04  0000.00E+00  0000.00E+00  2196.53E-03  
832100.E-04  3387.37E-04  0000.00E+00  0000.00E+00  2195.48E-03  
864100.E-04  3618.81E-04  0000.00E+00  0000.00E+00  2227.04E-03  
896100.E-04  3618.81E-04  0000.00E+00  0000.00E+00  2255.44E-03  
