DEPTH,Ga,Si,O,C
7.01E+00,0.00E+00,2.93E+07,3.36E+07,0.00E+00
1.40E+01,1.43E+02,3.78E+07,3.59E+07,0.00E+00
2.10E+01,0.00E+00,4.75E+07,4.62E+07,0.00E+00
2.80E+01,5.71E+02,5.55E+07,5.44E+07,0.00E+00
3.50E+01,1.43E+03,6.26E+07,6.16E+07,0.00E+00
4.20E+01,2.57E+03,6.90E+07,6.79E+07,0.00E+00
4.90E+01,5.71E+03,7.47E+07,7.34E+07,0.00E+00
5.60E+01,1.00E+04,7.97E+07,7.85E+07,0.00E+00
6.30E+01,1.74E+04,8.45E+07,8.33E+07,0.00E+00
7.00E+01,2.50E+04,8.90E+07,8.77E+07,0.00E+00
7.70E+01,3.36E+04,9.37E+07,9.21E+07,0.00E+00
8.40E+01,5.84E+04,9.73E+07,9.60E+07,0.00E+00
9.10E+01,7.34E+04,1.01E+08,9.97E+07,0.00E+00
9.80E+01,9.59E+04,1.04E+08,1.03E+08,0.00E+00
1.05E+02,1.22E+05,1.07E+08,1.06E+08,0.00E+00
1.12E+02,1.53E+05,1.10E+08,1.08E+08,0.00E+00
1.19E+02,1.94E+05,1.12E+08,1.11E+08,0.00E+00
1.26E+02,2.24E+05,1.13E+08,1.12E+08,0.00E+00
1.33E+02,2.48E+05,1.15E+08,1.13E+08,0.00E+00
1.40E+02,2.90E+05,1.16E+08,1.14E+08,0.00E+00
1.47E+02,3.23E+05,1.15E+08,1.14E+08,0.00E+00
1.54E+02,3.51E+05,1.15E+08,1.14E+08,0.00E+00
1.61E+02,3.85E+05,1.15E+08,1.13E+08,0.00E+00
1.68E+02,4.13E+05,1.13E+08,1.12E+08,0.00E+00
1.75E+02,4.43E+05,1.12E+08,1.10E+08,0.00E+00
1.82E+02,4.57E+05,1.10E+08,1.08E+08,0.00E+00
1.89E+02,4.95E+05,1.07E+08,1.06E+08,0.00E+00
1.96E+02,5.04E+05,1.04E+08,1.03E+08,0.00E+00
2.03E+02,4.95E+05,1.01E+08,9.95E+07,0.00E+00
2.10E+02,5.13E+05,9.71E+07,9.58E+07,2.86E+02
2.17E+02,5.05E+05,9.33E+07,9.23E+07,2.86E+02
2.24E+02,5.22E+05,8.93E+07,8.82E+07,0.00E+00
2.31E+02,5.04E+05,8.51E+07,8.37E+07,7.14E+02
2.38E+02,5.16E+05,8.05E+07,7.93E+07,4.29E+02
2.45E+02,4.93E+05,7.60E+07,7.47E+07,1.14E+03
