DEPTH	Ga	O	Si	C
9.01E+00	0.00E+00	3.97E+07	3.18E+07	0.00E+00
1.80E+01	0.00E+00	4.61E+07	4.68E+07	0.00E+00
2.70E+01	0.00E+00	5.23E+07	5.19E+07	0.00E+00
3.60E+01	0.00E+00	5.82E+07	5.39E+07	0.00E+00
4.50E+01	0.00E+00	6.89E+07	6.90E+07	0.00E+00
5.40E+01	0.00E+00	7.90E+07	7.90E+07	0.00E+00
6.30E+01	0.00E+00	8.86E+07	8.30E+07	0.00E+00
7.20E+01	0.00E+00	8.52E+07	8.54E+07	0.00E+00
8.10E+01	4.21E+04	9.23E+07	9.83E+07	0.00E+00
9.00E+01	4.21E+04	1.00E+08	1.02E+08	0.00E+00
9.90E+01	0.00E+00	1.01E+08	1.05E+08	0.00E+00
1.08E+02	0.00E+00	1.11E+08	1.03E+08	0.00E+00
1.17E+02	1.68E+05	1.16E+08	1.13E+08	0.00E+00
1.26E+02	3.37E+05	1.17E+08	1.17E+08	0.00E+00
1.35E+02	3.79E+05	1.21E+08	1.21E+08	0.00E+00
1.44E+02	3.79E+05	1.21E+08	1.22E+08	0.00E+00
1.53E+02	5.47E+05	1.16E+08	1.17E+08	0.00E+00
1.62E+02	4.21E+05	1.13E+08	1.16E+08	0.00E+00
1.71E+02	3.37E+05	1.08E+08	1.11E+08	0.00E+00
1.80E+02	4.63E+05	1.13E+08	1.11E+08	0.00E+00
1.89E+02	4.21E+05	1.05E+08	1.04E+08	0.00E+00
1.98E+02	3.79E+05	1.03E+08	1.04E+08	0.00E+00
2.07E+02	5.05E+05	1.05E+08	9.92E+07	0.00E+00
2.16E+02	4.63E+05	9.26E+07	9.17E+07	0.00E+00
2.25E+02	5.47E+05	9.15E+07	8.69E+07	0.00E+00
2.34E+02	4.21E+05	8.40E+07	8.04E+07	0.00E+00
2.43E+02	4.63E+05	7.36E+07	7.58E+07	0.00E+00
2.52E+02	5.90E+05	6.59E+07	6.39E+07	0.00E+00
2.61E+02	3.79E+05	5.83E+07	5.61E+07	0.00E+00
2.70E+02	2.53E+05	5.80E+07	5.69E+07	0.00E+00
2.79E+02	2.11E+05	5.52E+07	5.64E+07	0.00E+00
2.88E+02	5.05E+05	5.25E+07	5.12E+07	0.00E+00
2.97E+02	2.11E+05	4.81E+07	4.70E+07	0.00E+00
3.06E+02	3.37E+05	4.42E+07	4.40E+07	0.00E+00
3.15E+02	3.37E+05	3.77E+07	3.81E+07	0.00E+00
3.24E+02	2.95E+05	3.33E+07	3.49E+07	0.00E+00
3.33E+02	2.95E+05	2.89E+07	3.09E+07	0.00E+00
3.42E+02	3.37E+05	2.26E+07	2.29E+07	0.00E+00
3.51E+02	1.68E+05	2.03E+07	1.83E+07	0.00E+00
3.60E+02	1.26E+05	1.86E+07	1.95E+07	0.00E+00
3.69E+02	1.26E+05	1.74E+07	1.56E+07	0.00E+00
3.78E+02	4.21E+04	1.30E+07	1.54E+07	0.00E+00
3.87E+02	8.42E+04	1.28E+07	1.20E+07	0.00E+00
3.96E+02	8.42E+04	1.17E+07	1.04E+07	0.00E+00
4.05E+02	8.42E+04	9.31E+06	8.08E+06	0.00E+00
4.14E+02	4.21E+04	8.04E+06	7.33E+06	0.00E+00
4.23E+02	0.00E+00	7.03E+06	6.27E+06	0.00E+00
4.32E+02	8.42E+04	5.39E+06	5.52E+06	0.00E+00
4.41E+02	8.42E+04	4.97E+06	4.72E+06	0.00E+00
4.50E+02	4.21E+04	3.83E+06	3.37E+06	0.00E+00
4.59E+02	0.00E+00	3.71E+06	2.44E+06	0.00E+00
4.68E+02	0.00E+00	2.44E+06	2.74E+06	0.00E+00
4.77E+02	0.00E+00	2.53E+06	2.57E+06	0.00E+00
