DEPTH         Ga            O           Si            C       
   (Ang.)     Knock-Ons    Vacancies    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  -----------  
901000.E-05  1141.49E-04  3845.26E-04  3592.81E-04  0000.00E+00  
180100.E-04  1386.61E-04  5048.99E-04  4672.14E-04  0000.00E+00  
270100.E-04  1386.61E-04  5561.21E-04  5378.27E-04  0000.00E+00  
360100.E-04  1353.69E-04  5334.37E-04  5180.70E-04  0000.00E+00  
450100.E-04  1492.71E-04  7123.49E-04  7097.88E-04  0000.00E+00  
540100.E-04  1521.98E-04  8308.92E-04  7855.24E-04  0000.00E+00  
630100.E-04  1551.25E-04  8788.22E-04  8275.99E-04  0000.00E+00  
720100.E-04  1726.87E-04  8477.22E-04  8338.19E-04  0000.00E+00  
810100.E-04  1598.81E-04  9190.68E-04  9446.79E-04  0000.00E+00  
900100.E-04  1708.57E-04  9852.91E-04  1025.17E-03  0000.00E+00  
990100.E-04  1858.58E-04  1009.80E-03  9893.15E-04  0000.00E+00  
108010.E-03  1862.23E-04  1082.25E-03  1053.34E-03  0000.00E+00  
117010.E-03  2078.09E-04  1172.25E-03  1134.57E-03  0000.00E+00  
126010.E-03  2015.90E-04  1168.23E-03  1128.71E-03  0000.00E+00  
135010.E-03  1928.09E-04  1210.67E-03  1198.23E-03  0000.00E+00  
144010.E-03  1990.29E-04  1159.08E-03  1195.67E-03  0000.00E+00  
153010.E-03  2019.55E-04  1127.98E-03  1121.40E-03  0000.00E+00  
162010.E-03  1964.68E-04  1132.01E-03  1126.88E-03  0000.00E+00  
171010.E-03  1950.04E-04  1080.42E-03  1090.66E-03  0000.00E+00  
180010.E-03  1825.65E-04  1087.74E-03  1076.76E-03  0000.00E+00  
189010.E-03  1646.38E-04  1006.51E-03  1031.76E-03  0000.00E+00  
198010.E-03  1668.33E-04  1054.08E-03  9856.57E-04  0000.00E+00  
207010.E-03  1525.64E-04  9534.60E-04  9322.39E-04  0000.00E+00  
216010.E-03  1364.66E-04  8451.61E-04  8440.64E-04  0000.00E+00  
225010.E-03  1298.81E-04  8795.53E-04  8385.76E-04  0000.00E+00  
234010.E-03  1317.10E-04  7767.43E-04  7818.65E-04  0000.00E+00  
243010.E-03  1178.07E-04  7130.81E-04  6999.09E-04  0000.00E+00  
252010.E-03  9878.26E-05  6413.70E-04  6263.69E-04  0000.00E+00  
261010.E-03  9183.13E-05  5667.31E-04  5696.58E-04  0000.00E+00  
