DEPTH,Ga,O,Si,C
5.51E+00,0.00E+00,3.41E+07,2.86E+07,6.02E+04
1.10E+01,0.00E+00,3.13E+07,3.34E+07,4.75E+04
1.65E+01,0.00E+00,4.05E+07,4.19E+07,7.33E+04
2.20E+01,7.27E+02,4.74E+07,4.88E+07,1.17E+05
2.75E+01,3.64E+02,5.34E+07,5.46E+07,2.21E+05
3.30E+01,1.27E+03,5.83E+07,5.97E+07,4.69E+05
3.85E+01,1.09E+03,6.17E+07,6.34E+07,1.16E+06
4.40E+01,2.91E+03,6.23E+07,6.53E+07,4.21E+06
4.95E+01,4.36E+03,5.09E+07,5.64E+07,1.89E+07
5.50E+01,9.45E+03,3.73E+07,2.87E+07,1.34E+08
6.05E+01,1.42E+04,6.87E+06,3.58E+06,1.95E+08
6.60E+01,2.29E+04,2.42E+06,1.20E+06,2.05E+08
7.15E+01,4.09E+04,1.37E+06,6.86E+05,2.12E+08
7.70E+01,5.80E+04,9.37E+05,4.71E+05,2.19E+08
8.25E+01,8.55E+04,6.88E+05,3.55E+05,2.25E+08
8.80E+01,1.11E+05,5.36E+05,2.72E+05,2.29E+08
9.35E+01,1.42E+05,4.49E+05,2.19E+05,2.34E+08
9.90E+01,1.93E+05,3.62E+05,1.79E+05,2.38E+08
1.05E+02,2.33E+05,2.96E+05,1.59E+05,2.41E+08
1.10E+02,3.00E+05,2.66E+05,1.29E+05,2.44E+08
1.16E+02,3.45E+05,2.42E+05,1.15E+05,2.44E+08
1.21E+02,4.09E+05,2.13E+05,1.05E+05,2.43E+08
1.27E+02,4.97E+05,1.90E+05,8.56E+04,2.41E+08
1.32E+02,5.68E+05,1.69E+05,7.38E+04,2.36E+08
1.38E+02,6.50E+05,1.51E+05,6.51E+04,2.30E+08
1.43E+02,7.40E+05,1.32E+05,5.69E+04,2.22E+08
1.49E+02,8.04E+05,1.22E+05,5.62E+04,2.13E+08
1.54E+02,8.82E+05,1.14E+05,4.75E+04,2.02E+08
1.60E+02,9.18E+05,1.02E+05,4.36E+04,1.90E+08
1.65E+02,9.56E+05,9.65E+04,3.91E+04,1.76E+08
1.71E+02,9.60E+05,8.95E+04,3.56E+04,1.62E+08
1.76E+02,9.50E+05,8.35E+04,3.27E+04,1.48E+08
1.82E+02,9.39E+05,7.35E+04,3.44E+04,1.34E+08
1.87E+02,9.30E+05,6.85E+04,3.02E+04,1.20E+08
1.93E+02,8.91E+05,6.35E+04,2.24E+04,1.06E+08
1.98E+02,8.02E+05,5.38E+04,2.04E+04,9.40E+07
2.04E+02,7.43E+05,5.22E+04,1.91E+04,8.18E+07
2.09E+02,6.58E+05,4.65E+04,1.45E+04,7.09E+07
2.15E+02,5.98E+05,3.89E+04,1.51E+04,6.11E+07
2.20E+02,5.01E+05,3.73E+04,1.20E+04,5.21E+07
2.26E+02,4.46E+05,3.65E+04,1.36E+04,4.38E+07
2.31E+02,3.69E+05,3.60E+04,9.64E+03,3.66E+07
2.37E+02,3.05E+05,3.00E+04,1.11E+04,3.06E+07
2.42E+02,2.48E+05,2.60E+04,7.45E+03,2.58E+07
2.48E+02,1.99E+05,2.67E+04,6.36E+03,2.14E+07
2.53E+02,1.60E+05,1.98E+04,6.91E+03,1.78E+07
2.59E+02,1.27E+05,1.98E+04,6.73E+03,1.48E+07
2.64E+02,9.64E+04,2.22E+04,2.91E+03,1.21E+07
2.70E+02,7.51E+04,1.76E+04,4.55E+03,1.01E+07
2.75E+02,5.27E+04,1.67E+04,3.45E+03,8.41E+06
2.81E+02,3.75E+04,1.20E+04,2.73E+03,7.05E+06
