   DEPTH         Ga          O         Si          C    
   (Ang.)       Ions     Tgt. Atoms  Tgt. Atoms  Tgt. Atoms
-----------  ----------  ----------  ----------  ----------
551000.E-05  0.0000E+00  3.4113E+07  2.8574E+07  6.0183E+04
110100.E-04  0.0000E+00  3.1297E+07  3.3424E+07  4.7455E+04
165100.E-04  0.0000E+00  4.0541E+07  4.1948E+07  7.3274E+04
220100.E-04  7.2728E+02  4.7372E+07  4.8753E+07  1.1691E+05
275100.E-04  3.6364E+02  5.3420E+07  5.4613E+07  2.2073E+05
330100.E-04  1.2727E+03  5.8265E+07  5.9689E+07  4.6947E+05
385100.E-04  1.0909E+03  6.1730E+07  6.3392E+07  1.1613E+06
440100.E-04  2.9091E+03  6.2264E+07  6.5325E+07  4.2093E+06
495100.E-04  4.3637E+03  5.0851E+07  5.6396E+07  1.8853E+07
550100.E-04  9.4546E+03  3.7280E+07  2.8736E+07  1.3430E+08
605100.E-04  1.4182E+04  6.8716E+06  3.5798E+06  1.9518E+08
660100.E-04  2.2909E+04  2.4202E+06  1.1963E+06  2.0526E+08
715100.E-04  4.0910E+04  1.3705E+06  6.8566E+05  2.1210E+08
770100.E-04  5.8001E+04  9.3694E+05  4.7074E+05  2.1850E+08
825100.E-04  8.5455E+04  6.8784E+05  3.5510E+05  2.2474E+08
880100.E-04  1.1109E+05  5.3584E+05  2.7164E+05  2.2941E+08
935100.E-04  1.4218E+05  4.4892E+05  2.1855E+05  2.3430E+08
990100.E-04  1.9346E+05  3.6201E+05  1.7909E+05  2.3793E+08
104510.E-03  2.3328E+05  2.9564E+05  1.5873E+05  2.4106E+08
110010.E-03  3.0001E+05  2.6582E+05  1.2891E+05  2.4357E+08
115510.E-03  3.4510E+05  2.4182E+05  1.1527E+05  2.4439E+08
121010.E-03  4.0910E+05  2.1310E+05  1.0473E+05  2.4348E+08
126510.E-03  4.9656E+05  1.9037E+05  8.5637E+04  2.4093E+08
132010.E-03  5.6820E+05  1.6873E+05  7.3819E+04  2.3612E+08
137510.E-03  6.4966E+05  1.5109E+05  6.5092E+04  2.3046E+08
143010.E-03  7.3966E+05  1.3236E+05  5.6910E+04  2.2237E+08
