   DEPTH         Ga            O           Si            C       
   (Ang.)     Knock-Ons    Vacancies    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  -----------  
551000.E-05  9097.17E-05  3114.45E-04  2886.12E-04  0000.00E+00  
110100.E-04  1298.58E-04  3460.51E-04  3328.50E-04  0000.00E+00  
165100.E-04  1305.71E-04  4241.81E-04  4091.97E-04  0000.00E+00  
220100.E-04  1441.28E-04  4923.23E-04  4869.71E-04  0000.00E+00  
275100.E-04  1387.77E-04  5700.97E-04  5494.05E-04  0000.00E+00  
330100.E-04  1412.74E-04  6057.73E-04  6232.54E-04  0000.00E+00  
385100.E-04  1526.90E-04  6749.85E-04  6496.55E-04  0000.00E+00  
440100.E-04  1480.52E-04  7274.29E-04  7006.72E-04  0000.00E+00  
495100.E-04  1576.84E-04  7081.64E-04  7006.72E-04  0000.00E+00  
550100.E-04  2975.31E-04  6064.76E-05  5779.36E-05  1808.42E-03  
605100.E-04  2936.07E-04  0000.00E+00  0000.00E+00  1943.27E-03  
660100.E-04  3014.55E-04  0000.00E+00  0000.00E+00  1978.59E-03  
715100.E-04  3314.23E-04  0000.00E+00  0000.00E+00  1960.75E-03  
770100.E-04  3289.26E-04  0000.00E+00  0000.00E+00  2105.57E-03  
825100.E-04  3210.77E-04  0000.00E+00  0000.00E+00  2123.40E-03  
880100.E-04  3421.26E-04  0000.00E+00  0000.00E+00  2264.27E-03  
935100.E-04  3374.88E-04  0000.00E+00  0000.00E+00  2232.18E-03  
990100.E-04  3546.13E-04  0000.00E+00  0000.00E+00  2275.33E-03  
104510.E-03  3471.21E-04  0000.00E+00  0000.00E+00  2221.83E-03  
110010.E-03  3424.83E-04  0000.00E+00  0000.00E+00  2311.71E-03  
115510.E-03  3635.32E-04  0000.00E+00  0000.00E+00  2294.23E-03  
121010.E-03  3578.24E-04  0000.00E+00  0000.00E+00  2285.31E-03  
126510.E-03  3578.24E-04  0000.00E+00  0000.00E+00  2323.12E-03  
132010.E-03  3467.64E-04  0000.00E+00  0000.00E+00  2258.92E-03  
137510.E-03  3317.80E-04  0000.00E+00  0000.00E+00  2140.52E-03  
143010.E-03  3118.01E-04  0000.00E+00  0000.00E+00  2039.59E-03  
148510.E-03  2903.96E-04  0000.00E+00  0000.00E+00  1969.32E-03  
154010.E-03  2600.71E-04  0000.00E+00  0000.00E+00  1796.64E-03  
159510.E-03  2661.36E-04  0000.00E+00  0000.00E+00  1738.49E-03  
