DEPTH,Si,C,Ga
0.24,1.53E+07,8.10E-01,0.00E+00
0.55,4.43E+06,1.10E+00,0.00E+00
0.86,1.12E+06,1.16E+00,0.00E+00
1.17,4.93E+05,1.27E+00,0.00E+00
1.48,3.07E+05,1.33E+00,0.00E+00
1.79,2.01E+05,1.39E+00,3.23E+02
2.1,1.41E+05,1.46E+00,0.00E+00
2.41,1.23E+05,1.54E+00,9.68E+02
2.72,9.61E+04,1.59E+00,3.23E+02
3.03,7.35E+04,1.65E+00,6.45E+02
3.34,6.65E+04,1.70E+00,2.90E+03
3.65,5.68E+04,1.76E+00,3.55E+03
3.96,4.61E+04,1.81E+00,5.48E+03
4.27,4.48E+04,1.86E+00,6.45E+03
4.58,4.03E+04,1.91E+00,1.06E+04
4.89,3.48E+04,1.96E+00,1.71E+04
5.2,3.29E+04,2.00E+00,1.97E+04
5.51,3.32E+04,2.04E+00,2.32E+04
5.82,2.42E+04,2.09E+00,3.68E+04
6.13,2.65E+04,2.13E+00,5.16E+04
6.44,2.55E+04,2.17E+00,5.65E+04
6.75,2.19E+04,2.20E+00,7.29E+04
7.06,1.65E+04,2.24E+00,9.42E+04
7.37,2.10E+04,2.28E+00,1.16E+05
7.68,1.39E+04,2.29E+00,1.51E+05
7.99,1.77E+04,2.31E+00,1.77E+05
8.3,1.23E+04,2.33E+00,2.23E+05
8.61,2.00E+04,2.33E+00,2.79E+05
8.92,1.42E+04,2.34E+00,2.97E+05
9.23,1.42E+04,2.35E+00,3.72E+05
9.54,1.10E+04,2.33E+00,4.36E+05
9.85,1.03E+04,2.32E+00,4.70E+05
10.16,1.16E+04,2.29E+00,5.25E+05
10.47,1.06E+04,2.26E+00,6.05E+05
10.78,1.03E+04,2.23E+00,6.52E+05
11.09,1.10E+04,2.19E+00,7.35E+05
11.4,1.06E+04,2.14E+00,7.54E+05
11.71,9.35E+03,2.08E+00,8.13E+05
12.02,9.68E+03,2.03E+00,8.59E+05
12.33,6.45E+03,1.96E+00,9.45E+05
12.64,8.39E+03,1.89E+00,9.18E+05
12.95,6.13E+03,1.82E+00,9.67E+05
13.26,5.48E+03,1.75E+00,1.03E+06
13.57,5.81E+03,1.67E+00,1.02E+06
13.88,5.81E+03,1.59E+00,1.08E+06
14.19,5.16E+03,1.50E+00,1.06E+06
14.5,4.52E+03,1.42E+00,1.06E+06
14.81,3.87E+03,1.34E+00,1.04E+06
15.12,3.55E+03,1.26E+00,1.02E+06
15.43,3.87E+03,1.18E+00,9.94E+05
15.74,5.16E+03,1.11E+00,1.01E+06
16.05,4.19E+03,1.03E+00,9.47E+05
16.36,2.58E+03,9.56E-01,9.02E+05
16.67,1.61E+03,8.84E-01,8.83E+05
16.98,3.23E+03,8.14E-01,8.26E+05
17.29,3.55E+03,7.51E-01,8.11E+05
17.6,2.58E+03,6.95E-01,7.57E+05
17.91,2.26E+03,6.38E-01,6.95E+05
18.22,2.58E+03,5.86E-01,6.70E+05
18.53,1.94E+03,5.35E-01,6.33E+05
18.84,2.90E+03,4.88E-01,5.58E+05
19.15,1.94E+03,4.43E-01,4.81E+05
19.46,4.19E+03,4.05E-01,4.85E+05
19.77,1.29E+03,3.65E-01,4.30E+05
20.08,2.58E+03,3.29E-01,3.98E+05
20.39,1.29E+03,2.95E-01,3.63E+05
20.7,0.00E+00,2.68E-01,3.07E+05
21.01,1.94E+03,2.42E-01,2.82E+05
21.32,6.45E+02,2.14E-01,2.64E+05
21.63,9.68E+02,1.94E-01,2.26E+05
21.94,9.68E+02,1.72E-01,1.87E+05
22.25,6.45E+02,1.55E-01,1.76E+05
22.56,6.45E+02,1.41E-01,1.59E+05
22.87,2.26E+03,1.25E-01,1.40E+05
23.18,9.68E+02,1.13E-01,1.10E+05
23.49,6.45E+02,1.02E-01,9.74E+04
23.8,3.23E+02,9.24E-02,8.26E+04
24.11,3.23E+02,8.32E-02,6.39E+04
24.42,3.23E+02,7.55E-02,5.19E+04
24.73,6.45E+02,6.87E-02,5.13E+04
25.04,6.45E+02,6.16E-02,3.48E+04
25.35,0.00E+00,5.49E-02,3.26E+04
25.66,3.23E+02,5.08E-02,3.55E+04
25.97,6.45E+02,4.54E-02,2.13E+04
26.28,0.00E+00,4.14E-02,1.55E+04
26.59,3.23E+02,3.62E-02,1.65E+04
26.9,6.45E+02,3.35E-02,1.13E+04
27.21,3.23E+02,3.06E-02,1.06E+04
27.52,0.00E+00,2.71E-02,9.35E+03
27.83,0.00E+00,2.55E-02,3.55E+03
28.14,0.00E+00,2.35E-02,6.77E+03
28.45,0.00E+00,2.08E-02,3.55E+03
28.76,3.23E+02,1.91E-02,4.84E+03
29.07,0.00E+00,1.74E-02,3.23E+03
29.38,0.00E+00,1.50E-02,1.94E+03
29.69,3.23E+02,1.35E-02,1.61E+03
30,0.00E+00,1.13E-02,1.29E+03
