Depth,Si,C
0.24,2.80E+07,1.06E+00
0.56,9.28E+06,1.47E+00
0.88,1.68E+06,1.50E+00
1.20,9.02E+05,1.53E+00
1.52,7.73E+05,1.63E+00
1.84,5.15E+05,1.83E+00
2.16,2.58E+05,1.63E+00
2.48,5.15E+05,1.60E+00
2.80,2.58E+05,1.66E+00
3.12,1.29E+05,1.85E+00
3.44,1.29E+05,1.87E+00
3.76,3.87E+05,1.89E+00
4.08,0.00E+00,1.94E+00
4.40,0.00E+00,2.19E+00
4.72,0.00E+00,2.06E+00
5.04,0.00E+00,2.10E+00
5.36,0.00E+00,2.15E+00
5.68,1.29E+05,2.21E+00
6.00,1.29E+05,2.20E+00
6.32,1.29E+05,2.20E+00
6.64,0.00E+00,2.23E+00
6.96,2.58E+05,2.26E+00
7.28,0.00E+00,2.28E+00
7.60,0.00E+00,2.21E+00
7.92,0.00E+00,2.25E+00
8.24,0.00E+00,2.34E+00
8.56,0.00E+00,2.34E+00
8.88,0.00E+00,2.36E+00
9.20,0.00E+00,2.44E+00
9.52,0.00E+00,2.39E+00
9.84,0.00E+00,2.21E+00
10.16,0.00E+00,2.31E+00
10.48,1.29E+05,2.14E+00
10.80,0.00E+00,2.11E+00
11.12,1.29E+05,2.13E+00
11.44,0.00E+00,1.98E+00
11.76,0.00E+00,1.94E+00
12.08,0.00E+00,1.79E+00
12.40,0.00E+00,1.77E+00
12.72,0.00E+00,1.70E+00
13.04,0.00E+00,1.67E+00
13.36,1.29E+05,1.53E+00
13.68,0.00E+00,1.46E+00
14.00,0.00E+00,1.32E+00
14.32,0.00E+00,1.19E+00
14.64,0.00E+00,1.19E+00
14.96,0.00E+00,1.21E+00
15.28,0.00E+00,1.06E+00
15.60,0.00E+00,1.02E+00
15.92,0.00E+00,8.78E-01
16.24,0.00E+00,7.73E-01
16.56,0.00E+00,7.32E-01
16.88,0.00E+00,6.31E-01
17.20,0.00E+00,5.70E-01
17.52,0.00E+00,5.47E-01
17.84,0.00E+00,4.81E-01
18.16,0.00E+00,4.62E-01
18.48,0.00E+00,4.71E-01
18.80,0.00E+00,4.21E-01
19.12,0.00E+00,4.07E-01
19.44,0.00E+00,3.43E-01
19.76,0.00E+00,2.92E-01
20.08,0.00E+00,2.25E-01
20.40,0.00E+00,2.22E-01
20.72,0.00E+00,2.10E-01
21.04,0.00E+00,1.96E-01
21.36,0.00E+00,1.59E-01
21.68,0.00E+00,1.42E-01
22.00,0.00E+00,1.46E-01
22.32,0.00E+00,1.20E-01
22.64,0.00E+00,1.16E-01
22.96,0.00E+00,1.23E-01
23.28,0.00E+00,1.33E-01
23.60,0.00E+00,7.68E-02
23.92,0.00E+00,6.42E-02
24.24,0.00E+00,5.68E-02
24.56,0.00E+00,3.47E-02
24.88,0.00E+00,4.63E-02
25.20,0.00E+00,2.63E-02
25.52,0.00E+00,6.94E-02
25.84,0.00E+00,6.10E-02
26.16,0.00E+00,5.15E-02
26.48,0.00E+00,4.21E-02
26.80,0.00E+00,3.58E-02
27.12,0.00E+00,2.84E-02
27.44,0.00E+00,2.00E-02
27.76,0.00E+00,1.68E-02
28.08,0.00E+00,1.58E-02
28.40,0.00E+00,1.05E-02
28.72,0.00E+00,1.05E-02
29.04,0.00E+00,1.26E-02
29.36,0.00E+00,7.36E-03
29.68,0.00E+00,1.47E-02
30.00,0.00E+00,1.68E-02
