   DEPTH         Ga           Sn            C       
251000.E-05  1434.47E-05  7515.47E-04  0000.00E+00  
501000.E-05  1024.99E-04  1091.37E-03  0000.00E+00  
751000.E-05  7256.49E-05  1165.68E-03  0000.00E+00  
100100.E-04  9535.59E-05  1336.10E-03  0000.00E+00  
125100.E-04  1008.13E-04  1498.16E-03  0000.00E+00  
150100.E-04  9940.39E-05  1617.38E-03  0000.00E+00  
175100.E-04  1044.09E-04  1734.98E-03  0000.00E+00  
200100.E-04  1043.37E-04  1840.40E-03  0000.00E+00  
225100.E-04  1092.10E-04  1944.97E-03  0000.00E+00  
250100.E-04  1101.03E-04  2035.48E-03  0000.00E+00  
275100.E-04  1120.92E-04  2119.32E-03  0000.00E+00  
300100.E-04  1127.33E-04  2196.64E-03  0000.00E+00  
325100.E-04  1142.43E-04  2257.89E-03  0000.00E+00  
350100.E-04  1164.45E-04  2324.86E-03  0000.00E+00  
375100.E-04  1167.61E-04  2388.15E-03  0000.00E+00  
400100.E-04  1194.24E-04  2457.20E-03  0000.00E+00  
425100.E-04  1203.21E-04  2512.68E-03  0000.00E+00  
450100.E-04  1216.14E-04  2557.30E-03  0000.00E+00  
475100.E-04  1222.99E-04  2596.05E-03  0000.00E+00  
500100.E-04  1241.64E-04  2643.70E-03  0000.00E+00  
525100.E-04  1249.01E-04  2662.09E-03  0000.00E+00  
550100.E-04  1246.53E-04  2682.53E-03  0000.00E+00  
575100.E-04  1248.37E-04  2709.00E-03  0000.00E+00  
600100.E-04  1263.14E-04  2716.80E-03  0000.00E+00  
625100.E-04  1240.92E-04  2719.58E-03  0000.00E+00  
650100.E-04  1249.21E-04  2727.86E-03  0000.00E+00  
675100.E-04  1244.77E-04  2734.25E-03  0000.00E+00  
700100.E-04  1239.44E-04  2713.46E-03  0000.00E+00  
725100.E-04  1241.64E-04  2703.16E-03  0000.00E+00  
750100.E-04  1228.91E-04  2688.06E-03  0000.00E+00  
775100.E-04  1219.74E-04  2651.41E-03  0000.00E+00  
800100.E-04  1224.51E-04  2633.75E-03  0000.00E+00  
825100.E-04  1205.09E-04  2584.62E-03  0000.00E+00  
850100.E-04  1175.26E-04  2539.00E-03  0000.00E+00  
875100.E-04  1156.88E-04  2478.16E-03  0000.00E+00  
900100.E-04  1149.87E-04  2401.71E-03  0000.00E+00  
925100.E-04  1115.72E-04  2309.65E-03  0000.00E+00  
950100.E-04  1092.06E-04  2190.79E-03  0000.00E+00  
975100.E-04  1131.17E-04  2044.40E-03  0000.00E+00  
100010.E-03  1131.86E-04  1787.15E-03  0000.00E+00  
102510.E-03  3653.26E-04  0000.00E+00  2829.59E-03  
105010.E-03  3315.02E-04  0000.00E+00  2967.13E-03  
107510.E-03  3291.15E-04  0000.00E+00  2773.06E-03  
110010.E-03  3229.12E-04  0000.00E+00  2580.55E-03  
112510.E-03  3190.96E-04  0000.00E+00  2424.43E-03  
115010.E-03  3198.21E-04  0000.00E+00  2303.66E-03  
117510.E-03  3145.40E-04  0000.00E+00  2191.37E-03  
120010.E-03  3139.27E-04  0000.00E+00  2102.87E-03  
122510.E-03  3107.48E-04  0000.00E+00  2029.29E-03  
125010.E-03  3076.37E-04  0000.00E+00  1958.47E-03  
127510.E-03  3050.31E-04  0000.00E+00  1908.99E-03  
130010.E-03  3024.20E-04  0000.00E+00  1862.22E-03  
132510.E-03  3012.19E-04  0000.00E+00  1825.85E-03  
135010.E-03  2978.63E-04  0000.00E+00  1791.72E-03  
137510.E-03  2934.91E-04  0000.00E+00  1758.22E-03  
140010.E-03  2912.85E-04  0000.00E+00  1722.27E-03  
142510.E-03  2872.25E-04  0000.00E+00  1690.53E-03  
145010.E-03  2853.91E-04  0000.00E+00  1668.54E-03  
147510.E-03  2826.97E-04  0000.00E+00  1644.15E-03  
150010.E-03  2799.10E-04  0000.00E+00  1609.43E-03  
152510.E-03  2747.81E-04  0000.00E+00  1579.83E-03  
155010.E-03  2702.80E-04  0000.00E+00  1563.88E-03  
157510.E-03  2678.14E-04  0000.00E+00  1533.92E-03  
160010.E-03  2623.93E-04  0000.00E+00  1509.98E-03  
162510.E-03  2586.69E-04  0000.00E+00  1478.88E-03  
165010.E-03  2536.08E-04  0000.00E+00  1454.61E-03  
167510.E-03  2500.48E-04  0000.00E+00  1434.46E-03  
170010.E-03  2439.66E-04  0000.00E+00  1408.70E-03  
172510.E-03  2403.87E-04  0000.00E+00  1376.25E-03  
175010.E-03  2351.34E-04  0000.00E+00  1347.86E-03  
177510.E-03  2288.88E-04  0000.00E+00  1316.05E-03  
180010.E-03  2226.33E-04  0000.00E+00  1286.40E-03  
182510.E-03  2156.42E-04  0000.00E+00  1249.52E-03  
185010.E-03  2117.71E-04  0000.00E+00  1217.08E-03  
187510.E-03  2033.26E-04  0000.00E+00  1181.67E-03  
190010.E-03  1965.64E-04  0000.00E+00  1144.51E-03  
192510.E-03  1894.29E-04  0000.00E+00  1107.77E-03  
195010.E-03  1829.82E-04  0000.00E+00  1067.32E-03  
197510.E-03  1750.46E-04  0000.00E+00  1032.34E-03  
200010.E-03  1675.11E-04  0000.00E+00  9867.63E-04  
202510.E-03  1589.31E-04  0000.00E+00  9479.07E-04  
205010.E-03  1520.20E-04  0000.00E+00  9058.79E-04  
207510.E-03  1443.32E-04  0000.00E+00  8633.90E-04  
210010.E-03  1368.77E-04  0000.00E+00  8233.54E-04  
212510.E-03  1301.34E-04  0000.00E+00  7829.36E-04  
215010.E-03  1229.71E-04  0000.00E+00  7461.88E-04  
217510.E-03  1164.85E-04  0000.00E+00  7059.13E-04  
220010.E-03  1087.05E-04  0000.00E+00  6673.92E-04  
222510.E-03  1026.35E-04  0000.00E+00  6305.00E-04  
225010.E-03  9634.09E-05  0000.00E+00  6003.23E-04  
227510.E-03  9001.87E-05  0000.00E+00  5658.29E-04  
230010.E-03  8220.30E-05  0000.00E+00  5271.49E-04  
232510.E-03  7681.99E-05  0000.00E+00  4940.70E-04  
235010.E-03  7078.13E-05  0000.00E+00  4620.27E-04  
237510.E-03  6553.85E-05  0000.00E+00  4286.58E-04  
240010.E-03  5969.59E-05  0000.00E+00  4014.92E-04  
242510.E-03  5516.90E-05  0000.00E+00  3701.87E-04  
245010.E-03  5065.80E-05  0000.00E+00  3434.31E-04  
247510.E-03  4619.91E-05  0000.00E+00  3159.29E-04  
250010.E-03  4201.21E-05  0000.00E+00  2817.00E-04  
