DEPTH,Ga,Sn,C
501000.E-05,5939.75E-05,9438.16E-04,0000.00E+00
100100.E-04,8441.02E-05,1280.31E-03,0000.00E+00
150100.E-04,1030.99E-04,1601.09E-03,0000.00E+00
200100.E-04,1056.71E-04,1836.71E-03,0000.00E+00
250100.E-04,1111.43E-04,2049.54E-03,0000.00E+00
300100.E-04,1146.96E-04,2230.89E-03,0000.00E+00
350100.E-04,1193.03E-04,2396.34E-03,0000.00E+00
400100.E-04,1229.86E-04,2518.80E-03,0000.00E+00
450100.E-04,1253.39E-04,2637.31E-03,0000.00E+00
500100.E-04,1271.36E-04,2729.02E-03,0000.00E+00
550100.E-04,1299.07E-04,2812.02E-03,0000.00E+00
600100.E-04,1309.74E-04,2864.01E-03,0000.00E+00
650100.E-04,1315.45E-04,2906.09E-03,0000.00E+00
700100.E-04,1327.26E-04,2939.54E-03,0000.00E+00
750100.E-04,1333.14E-04,2964.44E-03,0000.00E+00
800100.E-04,1328.34E-04,2984.60E-03,0000.00E+00
850100.E-04,1342.39E-04,2995.60E-03,0000.00E+00
900100.E-04,1341.69E-04,2980.98E-03,0000.00E+00
950100.E-04,1324.96E-04,2960.91E-03,0000.00E+00
100010.E-03,1317.29E-04,2930.10E-03,0000.00E+00
105010.E-03,1312.98E-04,2892.99E-03,0000.00E+00
110010.E-03,1301.95E-04,2851.85E-03,0000.00E+00
115010.E-03,1278.97E-04,2806.54E-03,0000.00E+00
120010.E-03,1266.20E-04,2756.47E-03,0000.00E+00
125010.E-03,1247.72E-04,2701.08E-03,0000.00E+00
130010.E-03,1221.83E-04,2639.55E-03,0000.00E+00
135010.E-03,1196.99E-04,2571.06E-03,0000.00E+00
140010.E-03,1164.60E-04,2498.96E-03,0000.00E+00
145010.E-03,1135.41E-04,2420.74E-03,0000.00E+00
150010.E-03,1109.76E-04,2338.76E-03,0000.00E+00
155010.E-03,1080.53E-04,2253.92E-03,0000.00E+00
160010.E-03,1056.79E-04,2172.04E-03,0000.00E+00
165010.E-03,1015.39E-04,2092.72E-03,0000.00E+00
170010.E-03,9838.19E-05,2005.27E-03,0000.00E+00
175010.E-03,9503.06E-05,1919.66E-03,0000.00E+00
180010.E-03,9241.41E-05,1843.42E-03,0000.00E+00
185010.E-03,8931.10E-05,1764.69E-03,0000.00E+00
190010.E-03,8431.81E-05,1683.82E-03,0000.00E+00
195010.E-03,8202.78E-05,1597.08E-03,0000.00E+00
200010.E-03,7865.65E-05,1521.35E-03,0000.00E+00
205010.E-03,7554.34E-05,1443.90E-03,0000.00E+00
210010.E-03,7300.89E-05,1367.75E-03,0000.00E+00
215010.E-03,6856.86E-05,1288.01E-03,0000.00E+00
220010.E-03,6605.21E-05,1209.18E-03,0000.00E+00
225010.E-03,6259.47E-05,1132.12E-03,0000.00E+00
230010.E-03,5858.07E-05,1051.35E-03,0000.00E+00
235010.E-03,5473.09E-05,9699.83E-04,0000.00E+00
240010.E-03,5137.36E-05,8800.81E-04,0000.00E+00
245010.E-03,4629.86E-05,7804.45E-04,0000.00E+00
250010.E-03,4272.11E-05,6421.32E-04,0000.00E+00
255010.E-03,1260.25E-04,0000.00E+00,8716.13E-04
260010.E-03,1166.54E-04,0000.00E+00,7751.30E-04
265010.E-03,1087.36E-04,0000.00E+00,6470.07E-04
270010.E-03,1024.12E-04,0000.00E+00,5649.87E-04
275010.E-03,9585.95E-05,0000.00E+00,5033.33E-04
280010.E-03,8922.09E-05,0000.00E+00,4544.90E-04
285010.E-03,8311.69E-05,0000.00E+00,4182.51E-04
290010.E-03,7607.40E-05,0000.00E+00,3831.19E-04
295010.E-03,6974.97E-05,0000.00E+00,3533.21E-04
300010.E-03,6445.05E-05,0000.00E+00,3248.79E-04
305010.E-03,5835.85E-05,0000.00E+00,2985.02E-04
310010.E-03,5202.23E-05,0000.00E+00,2689.81E-04
315010.E-03,4684.51E-05,0000.00E+00,2440.35E-04
320010.E-03,4129.37E-05,0000.00E+00,2184.55E-04
