DEPTH_0,Ga,Sn,C,DEPTH
1.50E+02,1.19E+05,1.20E+08,9.41E+06,0.00E+00
1.53E+02,1.26E+05,4.43E+07,1.30E+08,3.00E-01
1.56E+02,1.80E+05,4.88E+07,1.89E+08,6.00E-01
1.59E+02,2.06E+05,4.57E+07,2.10E+08,9.00E-01
1.62E+02,2.34E+05,3.47E+07,2.04E+08,1.20E+00
1.65E+02,2.67E+05,2.16E+07,1.91E+08,1.50E+00
1.68E+02,3.06E+05,1.29E+07,1.79E+08,1.80E+00
1.71E+02,3.27E+05,8.02E+06,1.68E+08,2.10E+00
1.74E+02,3.51E+05,5.33E+06,1.59E+08,2.40E+00
1.77E+02,3.58E+05,3.66E+06,1.52E+08,2.70E+00
1.80E+02,3.51E+05,2.64E+06,1.45E+08,3.00E+00
1.83E+02,3.76E+05,1.96E+06,1.40E+08,3.30E+00
1.86E+02,3.81E+05,1.48E+06,1.34E+08,3.60E+00
1.89E+02,3.81E+05,1.15E+06,1.30E+08,3.90E+00
1.92E+02,4.07E+05,8.27E+05,1.26E+08,4.20E+00
1.95E+02,3.93E+05,6.75E+05,1.22E+08,4.50E+00
1.98E+02,3.92E+05,5.51E+05,1.18E+08,4.80E+00
2.01E+02,4.37E+05,4.19E+05,1.14E+08,5.10E+00
2.04E+02,4.02E+05,3.26E+05,1.11E+08,5.40E+00
2.07E+02,4.11E+05,2.69E+05,1.08E+08,5.70E+00
2.10E+02,4.32E+05,2.05E+05,1.04E+08,6.00E+00
2.13E+02,4.26E+05,1.59E+05,1.01E+08,6.30E+00
2.16E+02,4.21E+05,1.26E+05,9.83E+07,6.60E+00
2.19E+02,4.59E+05,9.50E+04,9.48E+07,6.90E+00
2.22E+02,4.71E+05,7.63E+04,9.10E+07,7.20E+00
2.25E+02,4.71E+05,5.37E+04,8.73E+07,7.50E+00
2.28E+02,4.62E+05,3.53E+04,8.36E+07,7.80E+00
2.31E+02,4.40E+05,2.73E+04,7.99E+07,8.10E+00
2.34E+02,4.47E+05,2.17E+04,7.63E+07,8.40E+00
2.37E+02,4.66E+05,1.33E+04,7.31E+07,8.70E+00
2.40E+02,4.81E+05,1.00E+04,6.97E+07,9.00E+00
2.43E+02,4.40E+05,7.00E+03,6.56E+07,9.30E+00
2.46E+02,4.40E+05,4.00E+03,6.21E+07,9.60E+00
2.49E+02,4.42E+05,4.67E+03,5.84E+07,9.90E+00
2.52E+02,4.16E+05,3.67E+03,5.49E+07,1.02E+01
2.55E+02,4.15E+05,3.33E+02,5.16E+07,1.05E+01
2.58E+02,3.97E+05,0.00E+00,4.84E+07,1.08E+01
2.61E+02,3.97E+05,6.67E+02,4.51E+07,1.11E+01
2.64E+02,3.70E+05,3.33E+02,4.17E+07,1.14E+01
2.67E+02,3.57E+05,0.00E+00,3.88E+07,1.17E+01
2.70E+02,3.27E+05,0.00E+00,3.58E+07,1.20E+01
2.73E+02,3.19E+05,3.33E+02,3.32E+07,1.23E+01
2.76E+02,3.00E+05,0.00E+00,3.03E+07,1.26E+01
2.79E+02,2.97E+05,3.33E+02,2.78E+07,1.29E+01
2.82E+02,2.67E+05,0.00E+00,2.54E+07,1.32E+01
2.85E+02,2.55E+05,0.00E+00,2.31E+07,1.35E+01
2.88E+02,2.24E+05,0.00E+00,2.08E+07,1.38E+01
2.91E+02,2.00E+05,0.00E+00,1.88E+07,1.41E+01
2.94E+02,1.86E+05,0.00E+00,1.71E+07,1.44E+01
2.97E+02,1.73E+05,0.00E+00,1.49E+07,1.47E+01
3.00E+02,1.65E+05,0.00E+00,1.12E+07,1.50E+01
