DEPTH_0,Ga,Sn,C,DEPTH
3.00E+02,2.40E-02,3.48E-01,0.00E+00,0.00E+00
3.06E+02,6.88E-02,0.00E+00,4.44E-01,6.00E-01
3.12E+02,6.20E-02,0.00E+00,3.69E-01,1.20E+00
3.18E+02,5.65E-02,0.00E+00,3.02E-01,1.80E+00
3.24E+02,5.13E-02,0.00E+00,2.58E-01,2.40E+00
3.30E+02,4.68E-02,0.00E+00,2.25E-01,3.00E+00
3.36E+02,4.16E-02,0.00E+00,1.99E-01,3.60E+00
3.42E+02,3.70E-02,0.00E+00,1.78E-01,4.20E+00
3.48E+02,3.24E-02,0.00E+00,1.59E-01,4.80E+00
3.54E+02,2.81E-02,0.00E+00,1.38E-01,5.40E+00
3.60E+02,2.38E-02,0.00E+00,1.20E-01,6.00E+00
3.66E+02,2.01E-02,0.00E+00,1.03E-01,6.60E+00
3.72E+02,1.69E-02,0.00E+00,8.75E-02,7.20E+00
3.78E+02,1.38E-02,0.00E+00,7.41E-02,7.80E+00
3.84E+02,1.12E-02,0.00E+00,6.23E-02,8.40E+00
3.90E+02,8.85E-03,0.00E+00,5.14E-02,9.00E+00
3.96E+02,7.00E-03,0.00E+00,4.11E-02,9.60E+00
4.02E+02,5.54E-03,0.00E+00,3.27E-02,1.02E+01
4.08E+02,4.00E-03,0.00E+00,2.52E-02,1.08E+01
4.14E+02,2.85E-03,0.00E+00,1.94E-02,1.14E+01
4.20E+02,1.99E-03,0.00E+00,1.48E-02,1.20E+01
4.26E+02,1.45E-03,0.00E+00,1.17E-02,1.26E+01
4.32E+02,1.04E-03,0.00E+00,8.70E-03,1.32E+01
4.38E+02,7.15E-04,0.00E+00,6.51E-03,1.38E+01
4.44E+02,4.88E-04,0.00E+00,4.78E-03,1.44E+01
4.50E+02,3.13E-04,0.00E+00,3.76E-03,1.50E+01
4.56E+02,2.00E-04,0.00E+00,2.81E-03,1.56E+01
4.62E+02,1.52E-04,0.00E+00,2.08E-03,1.62E+01
4.68E+02,1.10E-04,0.00E+00,1.54E-03,1.68E+01
4.74E+02,8.17E-05,0.00E+00,1.10E-03,1.74E+01
4.80E+02,5.33E-05,0.00E+00,9.35E-04,1.80E+01
4.86E+02,4.17E-05,0.00E+00,6.22E-04,1.86E+01
4.92E+02,2.33E-05,0.00E+00,5.10E-04,1.92E+01
4.98E+02,5.00E-06,0.00E+00,2.82E-04,1.98E+01
5.04E+02,6.67E-06,0.00E+00,2.17E-04,2.04E+01
5.10E+02,5.00E-06,0.00E+00,1.80E-04,2.10E+01
5.16E+02,0.00E+00,0.00E+00,1.43E-04,2.16E+01
5.22E+02,0.00E+00,0.00E+00,1.15E-04,2.22E+01
5.28E+02,0.00E+00,0.00E+00,1.13E-04,2.28E+01
5.34E+02,0.00E+00,0.00E+00,8.17E-05,2.34E+01
5.40E+02,0.00E+00,0.00E+00,7.67E-05,2.40E+01
5.46E+02,0.00E+00,0.00E+00,5.67E-05,2.46E+01
5.52E+02,0.00E+00,0.00E+00,7.00E-05,2.52E+01
5.58E+02,0.00E+00,0.00E+00,3.83E-05,2.58E+01
5.64E+02,0.00E+00,0.00E+00,4.67E-05,2.64E+01
5.70E+02,0.00E+00,0.00E+00,1.17E-05,2.70E+01
5.76E+02,0.00E+00,0.00E+00,8.33E-06,2.76E+01
5.82E+02,0.00E+00,0.00E+00,6.67E-06,2.82E+01
5.88E+02,0.00E+00,0.00E+00,1.67E-06,2.88E+01
5.94E+02,0.00E+00,0.00E+00,6.67E-06,2.94E+01
6.00E+02,0.00E+00,0.00E+00,3.33E-06,3.00E+01
