DEPTH_0,Ga,Sn,C,DEPTH
1.22E+01,9.18E+03,1.73E+07,3.75E+07,2.20E-01
1.83E+01,2.13E+04,1.00E+07,1.27E+08,8.30E-01
2.44E+01,2.21E+04,5.39E+06,1.46E+08,1.44E+00
3.05E+01,2.89E+04,1.81E+06,1.56E+08,2.05E+00
3.66E+01,2.90E+04,7.31E+05,1.65E+08,2.66E+00
4.27E+01,3.59E+04,3.57E+05,1.74E+08,3.27E+00
4.88E+01,3.95E+04,2.03E+05,1.82E+08,3.88E+00
5.49E+01,4.00E+04,1.30E+05,1.91E+08,4.49E+00
6.10E+01,4.79E+04,1.02E+05,1.99E+08,5.10E+00
6.71E+01,5.92E+04,7.97E+04,2.06E+08,5.71E+00
7.32E+01,6.64E+04,5.87E+04,2.14E+08,6.32E+00
7.93E+01,9.03E+04,4.54E+04,2.20E+08,6.93E+00
8.54E+01,1.33E+05,3.52E+04,2.26E+08,7.54E+00
9.15E+01,1.90E+05,2.80E+04,2.31E+08,8.15E+00
9.76E+01,2.56E+05,2.15E+04,2.33E+08,8.76E+00
1.04E+02,3.46E+05,1.28E+04,2.34E+08,9.40E+00
1.10E+02,4.51E+05,9.51E+03,2.33E+08,1.00E+01
1.16E+02,5.70E+05,5.08E+03,2.29E+08,1.06E+01
1.22E+02,6.75E+05,2.95E+03,2.23E+08,1.12E+01
1.28E+02,7.99E+05,1.31E+03,2.15E+08,1.18E+01
1.34E+02,8.86E+05,4.92E+02,2.04E+08,1.24E+01
1.40E+02,9.37E+05,6.56E+02,1.92E+08,1.30E+01
1.46E+02,9.99E+05,0.00E+00,1.78E+08,1.36E+01
1.53E+02,1.03E+06,0.00E+00,1.63E+08,1.43E+01
1.59E+02,1.01E+06,0.00E+00,1.48E+08,1.49E+01
1.65E+02,9.80E+05,0.00E+00,1.33E+08,1.55E+01
1.71E+02,9.40E+05,0.00E+00,1.17E+08,1.61E+01
1.77E+02,8.89E+05,0.00E+00,1.02E+08,1.67E+01
1.83E+02,7.98E+05,0.00E+00,8.79E+07,1.73E+01
1.89E+02,7.06E+05,0.00E+00,7.53E+07,1.79E+01
1.95E+02,6.17E+05,0.00E+00,6.39E+07,1.85E+01
2.01E+02,5.29E+05,0.00E+00,5.36E+07,1.91E+01
2.07E+02,4.50E+05,0.00E+00,4.45E+07,1.97E+01
2.14E+02,3.60E+05,0.00E+00,3.68E+07,2.04E+01
2.20E+02,3.01E+05,0.00E+00,3.05E+07,2.10E+01
2.26E+02,2.36E+05,0.00E+00,2.48E+07,2.16E+01
2.32E+02,1.89E+05,0.00E+00,2.01E+07,2.22E+01
2.38E+02,1.50E+05,0.00E+00,1.63E+07,2.28E+01
