DEPTH,Ga,Sn,C
201000.E-05,5.0001E+02,2.8518E+07,2.0345E+06
401000.E-05,3.0000E+03,2.4852E+07,3.5240E+06
601000.E-05,2.0000E+03,2.5656E+07,6.3696E+06
801000.E-05,4.0000E+03,2.4978E+07,6.8301E+06
100100.E-04,9.0001E+03,2.0152E+07,8.5031E+06
120100.E-04,1.5000E+04,8.9791E+06,8.7749E+07
140100.E-04,1.7000E+04,1.0671E+07,1.1221E+08
160100.E-04,2.0000E+04,1.0833E+07,1.2658E+08
180100.E-04,1.7000E+04,9.8031E+06,1.3559E+08
200100.E-04,2.1000E+04,7.7606E+06,1.4167E+08
220100.E-04,1.8500E+04,5.6731E+06,1.4591E+08
240100.E-04,2.6000E+04,4.0055E+06,1.4948E+08
260100.E-04,3.0500E+04,2.7255E+06,1.5247E+08
280100.E-04,2.8000E+04,1.9000E+06,1.5590E+08
300100.E-04,3.2000E+04,1.3495E+06,1.5938E+08
320100.E-04,3.1000E+04,1.0075E+06,1.6225E+08
340100.E-04,3.1000E+04,7.2701E+05,1.6544E+08
360100.E-04,3.4500E+04,5.6151E+05,1.6798E+08
380100.E-04,3.7000E+04,4.4100E+05,1.7154E+08
400100.E-04,4.1500E+04,3.5900E+05,1.7486E+08
420100.E-04,3.7500E+04,3.2050E+05,1.7769E+08
440100.E-04,3.7500E+04,2.5700E+05,1.8088E+08
460100.E-04,3.0500E+04,2.2600E+05,1.8470E+08
480100.E-04,3.6500E+04,1.9250E+05,1.8678E+08
500100.E-04,4.4500E+04,1.6850E+05,1.8974E+08
520100.E-04,3.9500E+04,1.3950E+05,1.9252E+08
540100.E-04,3.8500E+04,1.4100E+05,1.9546E+08
560100.E-04,3.9500E+04,1.2200E+05,1.9826E+08
580100.E-04,4.1000E+04,9.9501E+04,2.0059E+08
600100.E-04,3.8000E+04,9.1501E+04,2.0360E+08
620100.E-04,4.4500E+04,7.6001E+04,2.0610E+08
640100.E-04,6.0001E+04,7.8001E+04,2.0867E+08
660100.E-04,5.6501E+04,7.5001E+04,2.1173E+08
680100.E-04,5.9001E+04,6.6001E+04,2.1354E+08
700100.E-04,7.7001E+04,5.1001E+04,2.1603E+08
720100.E-04,6.9501E+04,6.6501E+04,2.1889E+08
740100.E-04,7.8001E+04,5.9001E+04,2.2086E+08
760100.E-04,8.2501E+04,5.0501E+04,2.2363E+08
780100.E-04,1.0750E+05,4.4500E+04,2.2511E+08
800100.E-04,9.9501E+04,4.3500E+04,2.2789E+08
820100.E-04,1.1900E+05,3.7500E+04,2.2839E+08
840100.E-04,1.4650E+05,4.0500E+04,2.3093E+08
860100.E-04,1.5100E+05,3.5000E+04,2.3221E+08
880100.E-04,1.6850E+05,2.8000E+04,2.3364E+08
900100.E-04,1.9400E+05,2.3500E+04,2.3518E+08
920100.E-04,2.0350E+05,3.0000E+04,2.3643E+08
940100.E-04,2.4150E+05,1.9000E+04,2.3714E+08
960100.E-04,2.7300E+05,1.6500E+04,2.3802E+08
980100.E-04,2.9150E+05,1.4500E+04,2.3863E+08
100010.E-03,3.2200E+05,1.7000E+04,2.3922E+08
102010.E-03,3.6100E+05,8.5001E+03,2.3888E+08
104010.E-03,3.8550E+05,1.2000E+04,2.3822E+08
106010.E-03,4.1900E+05,1.0500E+04,2.3891E+08
108010.E-03,4.6700E+05,6.5001E+03,2.3771E+08
110010.E-03,4.8350E+05,4.0000E+03,2.3611E+08
112010.E-03,5.1351E+05,7.5001E+03,2.3578E+08
114010.E-03,5.8751E+05,5.0001E+03,2.3357E+08
116010.E-03,6.0901E+05,2.5000E+03,2.3167E+08
118010.E-03,6.5401E+05,3.5000E+03,2.3078E+08
120010.E-03,7.0801E+05,4.0000E+03,2.2832E+08
122010.E-03,7.0351E+05,1.5000E+03,2.2590E+08
124010.E-03,7.2701E+05,2.5000E+03,2.2263E+08
126010.E-03,7.6651E+05,1.5000E+03,2.1923E+08
128010.E-03,8.1551E+05,1.5000E+03,2.1564E+08
130010.E-03,8.4851E+05,5.0001E+02,2.1169E+08
132010.E-03,8.7051E+05,5.0001E+02,2.0815E+08
134010.E-03,8.8601E+05,0.0000E+00,2.0492E+08
136010.E-03,9.3551E+05,0.0000E+00,1.9994E+08
138010.E-03,9.7451E+05,5.0001E+02,1.9642E+08
140010.E-03,8.9501E+05,0.0000E+00,1.9130E+08
142010.E-03,9.8951E+05,0.0000E+00,1.8714E+08
144010.E-03,9.9701E+05,5.0001E+02,1.8226E+08
146010.E-03,9.9001E+05,5.0001E+02,1.7730E+08
148010.E-03,1.0405E+06,0.0000E+00,1.7205E+08
150010.E-03,9.9751E+05,0.0000E+00,1.6666E+08
152010.E-03,1.0310E+06,0.0000E+00,1.6157E+08
154010.E-03,1.0445E+06,0.0000E+00,1.5677E+08
156010.E-03,1.0815E+06,0.0000E+00,1.5119E+08
158010.E-03,9.6601E+05,0.0000E+00,1.4589E+08
160010.E-03,9.9801E+05,0.0000E+00,1.4013E+08
162010.E-03,9.9601E+05,0.0000E+00,1.3559E+08
164010.E-03,9.6501E+05,0.0000E+00,1.2985E+08
166010.E-03,9.9551E+05,0.0000E+00,1.2457E+08
168010.E-03,9.7501E+05,0.0000E+00,1.1991E+08
170010.E-03,9.0951E+05,0.0000E+00,1.1465E+08
172010.E-03,9.0251E+05,0.0000E+00,1.0911E+08
174010.E-03,9.2301E+05,0.0000E+00,1.0457E+08
176010.E-03,8.6351E+05,0.0000E+00,1.0001E+08
178010.E-03,8.5551E+05,0.0000E+00,9.4545E+07
180010.E-03,8.2601E+05,0.0000E+00,9.0298E+07
182010.E-03,7.9951E+05,0.0000E+00,8.5622E+07
184010.E-03,7.4251E+05,0.0000E+00,8.1236E+07
186010.E-03,7.2101E+05,0.0000E+00,7.6891E+07
188010.E-03,7.1251E+05,0.0000E+00,7.2725E+07
190010.E-03,6.7251E+05,0.0000E+00,6.8428E+07
192010.E-03,6.2951E+05,0.0000E+00,6.4242E+07
194010.E-03,6.1051E+05,0.0000E+00,6.0262E+07
196010.E-03,5.6651E+05,0.0000E+00,5.5860E+07
198010.E-03,5.4351E+05,0.0000E+00,4.9884E+07
200010.E-03,5.4301E+05,0.0000E+00,3.8161E+07
