DEPTH,Ga,Sn,C
301000.E-05,8668.89E-05,8695.66E-04,0000.00E+00
601000.E-05,4590.55E-05,1092.12E-03,0000.00E+00
901000.E-05,7285.23E-05,1268.08E-03,0000.00E+00
120100.E-04,1062.67E-04,1500.87E-03,0000.00E+00
150100.E-04,9875.05E-05,1629.87E-03,0000.00E+00
180100.E-04,1060.83E-04,1774.71E-03,0000.00E+00
210100.E-04,1075.05E-04,1913.70E-03,0000.00E+00
240100.E-04,1107.09E-04,2024.40E-03,0000.00E+00
270100.E-04,1135.63E-04,2126.21E-03,0000.00E+00
300100.E-04,1145.89E-04,2223.51E-03,0000.00E+00
330100.E-04,1169.20E-04,2314.67E-03,0000.00E+00
360100.E-04,1190.61E-04,2393.27E-03,0000.00E+00
390100.E-04,1209.72E-04,2480.17E-03,0000.00E+00
420100.E-04,1221.08E-04,2541.17E-03,0000.00E+00
450100.E-04,1247.42E-04,2606.30E-03,0000.00E+00
480100.E-04,1246.82E-04,2663.40E-03,0000.00E+00
510100.E-04,1271.86E-04,2709.89E-03,0000.00E+00
540100.E-04,1277.72E-04,2757.78E-03,0000.00E+00
570100.E-04,1315.75E-04,2808.43E-03,0000.00E+00
600100.E-04,1306.26E-04,2828.77E-03,0000.00E+00
630100.E-04,1307.56E-04,2841.13E-03,0000.00E+00
660100.E-04,1308.63E-04,2869.54E-03,0000.00E+00
690100.E-04,1319.02E-04,2885.26E-03,0000.00E+00
720100.E-04,1324.98E-04,2905.27E-03,0000.00E+00
750100.E-04,1316.19E-04,2918.75E-03,0000.00E+00
780100.E-04,1315.22E-04,2926.90E-03,0000.00E+00
810100.E-04,1324.65E-04,2922.59E-03,0000.00E+00
840100.E-04,1323.65E-04,2909.66E-03,0000.00E+00
870100.E-04,1304.63E-04,2905.74E-03,0000.00E+00
900100.E-04,1314.02E-04,2898.72E-03,0000.00E+00
930100.E-04,1295.07E-04,2870.44E-03,0000.00E+00
960100.E-04,1292.58E-04,2853.87E-03,0000.00E+00
990100.E-04,1283.22E-04,2826.33E-03,0000.00E+00
102010.E-03,1287.78E-04,2786.73E-03,0000.00E+00
105010.E-03,1273.76E-04,2761.06E-03,0000.00E+00
108010.E-03,1256.74E-04,2729.28E-03,0000.00E+00
111010.E-03,1240.69E-04,2689.12E-03,0000.00E+00
114010.E-03,1224.01E-04,2642.54E-03,0000.00E+00
117010.E-03,1220.25E-04,2597.84E-03,0000.00E+00
120010.E-03,1193.51E-04,2544.38E-03,0000.00E+00
123010.E-03,1174.06E-04,2486.24E-03,0000.00E+00
126010.E-03,1146.98E-04,2422.73E-03,0000.00E+00
129010.E-03,1122.34E-04,2354.16E-03,0000.00E+00
132010.E-03,1094.20E-04,2280.68E-03,0000.00E+00
135010.E-03,1063.90E-04,2192.87E-03,0000.00E+00
138010.E-03,1031.46E-04,2113.75E-03,0000.00E+00
141010.E-03,1002.96E-04,2012.43E-03,0000.00E+00
144010.E-03,9559.69E-05,1878.88E-03,0000.00E+00
147010.E-03,9377.20E-05,1730.18E-03,0000.00E+00
150010.E-03,9402.18E-05,1505.73E-03,0000.00E+00
153010.E-03,2983.68E-04,0000.00E+00,2235.07E-03
156010.E-03,2703.60E-04,0000.00E+00,2242.60E-03
159010.E-03,2661.75E-04,0000.00E+00,2037.60E-03
162010.E-03,2617.79E-04,0000.00E+00,1873.43E-03
165010.E-03,2564.36E-04,0000.00E+00,1730.03E-03
168010.E-03,2501.73E-04,0000.00E+00,1615.29E-03
171010.E-03,2463.99E-04,0000.00E+00,1527.45E-03
174010.E-03,2422.68E-04,0000.00E+00,1454.04E-03
177010.E-03,2366.64E-04,0000.00E+00,1389.17E-03
180010.E-03,2308.42E-04,0000.00E+00,1335.91E-03
183010.E-03,2263.90E-04,0000.00E+00,1288.87E-03
186010.E-03,2214.91E-04,0000.00E+00,1242.99E-03
189010.E-03,2154.72E-04,0000.00E+00,1201.97E-03
192010.E-03,2099.55E-04,0000.00E+00,1165.98E-03
195010.E-03,2051.82E-04,0000.00E+00,1128.99E-03
198010.E-03,1985.59E-04,0000.00E+00,1093.29E-03
201010.E-03,1930.58E-04,0000.00E+00,1059.43E-03
204010.E-03,1886.93E-04,0000.00E+00,1030.25E-03
207010.E-03,1818.40E-04,0000.00E+00,1003.22E-03
210010.E-03,1749.53E-04,0000.00E+00,9662.67E-04
213010.E-03,1688.01E-04,0000.00E+00,9393.31E-04
216010.E-03,1624.02E-04,0000.00E+00,9088.48E-04
219010.E-03,1567.88E-04,0000.00E+00,8729.46E-04
222010.E-03,1495.88E-04,0000.00E+00,8360.09E-04
225010.E-03,1429.31E-04,0000.00E+00,7993.11E-04
228010.E-03,1370.17E-04,0000.00E+00,7651.59E-04
231010.E-03,1294.84E-04,0000.00E+00,7244.60E-04
234010.E-03,1226.51E-04,0000.00E+00,6941.45E-04
237010.E-03,1167.16E-04,0000.00E+00,6643.10E-04
240010.E-03,1097.63E-04,0000.00E+00,6284.99E-04
243010.E-03,1026.53E-04,0000.00E+00,5928.18E-04
246010.E-03,9609.98E-05,0000.00E+00,5561.28E-04
249010.E-03,8964.93E-05,0000.00E+00,5249.44E-04
252010.E-03,8350.53E-05,0000.00E+00,4892.10E-04
255010.E-03,7704.44E-05,0000.00E+00,4575.70E-04
258010.E-03,7079.46E-05,0000.00E+00,4272.23E-04
261010.E-03,6492.17E-05,0000.00E+00,3976.08E-04
264010.E-03,5983.58E-05,0000.00E+00,3683.23E-04
267010.E-03,5371.94E-05,0000.00E+00,3368.53E-04
270010.E-03,4992.42E-05,0000.00E+00,3129.06E-04
