   DEPTH         Ga         Sn          C    
401000.E-05  5.0751E+04  1.0083E+08  5.0001E+02
801000.E-05  9.7251E+04  1.1622E+08  0.0000E+00
120100.E-04  1.2850E+05  1.4224E+08  5.0001E+02
160100.E-04  1.4950E+05  1.6457E+08  2.5000E+02
200100.E-04  1.7650E+05  1.8511E+08  5.0001E+02
240100.E-04  1.8650E+05  2.0317E+08  5.0001E+02
280100.E-04  1.9875E+05  2.1904E+08  2.5000E+02
320100.E-04  2.1050E+05  2.3322E+08  2.5000E+02
360100.E-04  2.3050E+05  2.4649E+08  7.5001E+02
400100.E-04  2.4775E+05  2.5790E+08  1.2500E+03
440100.E-04  2.4975E+05  2.6763E+08  1.0000E+03
480100.E-04  2.5125E+05  2.7649E+08  7.5001E+02
520100.E-04  2.6675E+05  2.8419E+08  1.5000E+03
560100.E-04  2.8075E+05  2.9103E+08  1.2500E+03
600100.E-04  2.8250E+05  2.9585E+08  7.5001E+02
640100.E-04  3.1400E+05  3.0093E+08  2.2500E+03
680100.E-04  3.2550E+05  3.0372E+08  7.5001E+02
720100.E-04  3.2025E+05  3.0650E+08  2.7500E+03
760100.E-04  3.1300E+05  3.0905E+08  1.5000E+03
800100.E-04  3.3750E+05  3.1060E+08  2.2500E+03
840100.E-04  3.2875E+05  3.1091E+08  4.0000E+03
880100.E-04  3.5450E+05  3.1033E+08  3.5000E+03
920100.E-04  3.5125E+05  3.0947E+08  5.0001E+03
960100.E-04  3.6025E+05  3.0815E+08  5.7501E+03
100010.E-03  3.6125E+05  3.0626E+08  5.7501E+03
104010.E-03  3.8000E+05  3.0290E+08  6.5001E+03
108010.E-03  3.8350E+05  2.9914E+08  7.0001E+03
112010.E-03  3.5725E+05  2.9639E+08  8.7501E+03
116010.E-03  3.7800E+05  2.9123E+08  1.1500E+04
120010.E-03  3.6600E+05  2.8661E+08  1.2750E+04
124010.E-03  3.8600E+05  2.8180E+08  1.3000E+04
128010.E-03  3.7975E+05  2.7634E+08  1.5250E+04
132010.E-03  3.8850E+05  2.7101E+08  1.8250E+04
136010.E-03  3.6225E+05  2.6450E+08  2.1250E+04
140010.E-03  3.6825E+05  2.5840E+08  2.9500E+04
144010.E-03  3.7625E+05  2.5214E+08  3.5250E+04
148010.E-03  3.5225E+05  2.4486E+08  4.2000E+04
152010.E-03  3.4400E+05  2.3781E+08  5.9251E+04
156010.E-03  3.3425E+05  2.3032E+08  6.1501E+04
160010.E-03  3.3500E+05  2.2226E+08  8.5501E+04
164010.E-03  3.3700E+05  2.1451E+08  1.0900E+05
168010.E-03  3.3400E+05  2.0666E+08  1.4100E+05
172010.E-03  3.0250E+05  1.9790E+08  2.0725E+05
176010.E-03  2.9225E+05  1.8869E+08  2.7700E+05
180010.E-03  2.6925E+05  1.7879E+08  4.2325E+05
184010.E-03  2.4450E+05  1.6816E+08  6.6026E+05
188010.E-03  2.1750E+05  1.5538E+08  1.1340E+06
192010.E-03  2.0775E+05  1.4091E+08  1.9200E+06
196010.E-03  1.6000E+05  1.2156E+08  3.3943E+06
200010.E-03  1.0975E+05  8.8473E+07  5.7106E+06
204010.E-03  1.1025E+05  3.1394E+07  9.2481E+07
208010.E-03  1.6475E+05  3.3501E+07  1.3634E+08
212010.E-03  2.1525E+05  2.5495E+07  1.3618E+08
216010.E-03  2.5200E+05  1.3941E+07  1.2359E+08
220010.E-03  2.7300E+05  7.1353E+06  1.1183E+08
224010.E-03  3.0350E+05  3.9598E+06  1.0224E+08
228010.E-03  3.0400E+05  2.4323E+06  9.4801E+07
232010.E-03  2.8975E+05  1.5300E+06  8.8764E+07
236010.E-03  3.0700E+05  1.0313E+06  8.3288E+07
240010.E-03  3.4625E+05  7.1551E+05  7.8474E+07
244010.E-03  3.2900E+05  5.0126E+05  7.4075E+07
248010.E-03  3.3450E+05  3.4175E+05  7.0560E+07
252010.E-03  3.3850E+05  2.4150E+05  6.6854E+07
