   DEPTH         Ga           Sn            C       
501000.E-05  5907.32E-05  9344.81E-04  0000.00E+00  
100100.E-04  8455.43E-05  1274.71E-03  0000.00E+00  
150100.E-04  1014.65E-04  1591.93E-03  0000.00E+00  
200100.E-04  1052.05E-04  1825.76E-03  0000.00E+00  
250100.E-04  1103.44E-04  2028.43E-03  0000.00E+00  
300100.E-04  1141.03E-04  2206.95E-03  0000.00E+00  
350100.E-04  1175.05E-04  2363.06E-03  0000.00E+00  
400100.E-04  1213.43E-04  2496.77E-03  0000.00E+00  
450100.E-04  1237.67E-04  2624.13E-03  0000.00E+00  
500100.E-04  1263.74E-04  2716.59E-03  0000.00E+00  
550100.E-04  1290.12E-04  2797.39E-03  0000.00E+00  
600100.E-04  1301.93E-04  2851.54E-03  0000.00E+00  
650100.E-04  1318.63E-04  2899.51E-03  0000.00E+00  
700100.E-04  1323.17E-04  2936.98E-03  0000.00E+00  
750100.E-04  1349.40E-04  2972.82E-03  0000.00E+00  
800100.E-04  1341.85E-04  2984.62E-03  0000.00E+00  
850100.E-04  1337.67E-04  2983.29E-03  0000.00E+00  
900100.E-04  1349.34E-04  2982.67E-03  0000.00E+00  
950100.E-04  1334.22E-04  2960.75E-03  0000.00E+00  
100010.E-03  1334.31E-04  2944.67E-03  0000.00E+00  
105010.E-03  1313.72E-04  2903.96E-03  0000.00E+00  
110010.E-03  1296.13E-04  2860.72E-03  0000.00E+00  
115010.E-03  1276.79E-04  2815.62E-03  0000.00E+00  
120010.E-03  1266.36E-04  2768.49E-03  0000.00E+00  
125010.E-03  1248.38E-04  2710.84E-03  0000.00E+00  
130010.E-03  1209.54E-04  2637.77E-03  0000.00E+00  
135010.E-03  1192.76E-04  2571.28E-03  0000.00E+00  
140010.E-03  1166.00E-04  2499.18E-03  0000.00E+00  
145010.E-03  1132.53E-04  2413.17E-03  0000.00E+00  
150010.E-03  1116.07E-04  2344.25E-03  0000.00E+00  
155010.E-03  1078.75E-04  2248.90E-03  0000.00E+00  
160010.E-03  1048.06E-04  2176.19E-03  0000.00E+00  
165010.E-03  1017.27E-04  2099.90E-03  0000.00E+00  
170010.E-03  9976.33E-05  2018.19E-03  0000.00E+00  
175010.E-03  9606.97E-05  1933.77E-03  0000.00E+00  
180010.E-03  9285.85E-05  1853.10E-03  0000.00E+00  
185010.E-03  8934.90E-05  1779.71E-03  0000.00E+00  
190010.E-03  8547.12E-05  1699.77E-03  0000.00E+00  
195010.E-03  8311.29E-05  1626.86E-03  0000.00E+00  
200010.E-03  7934.92E-05  1549.09E-03  0000.00E+00  
205010.E-03  7725.91E-05  1475.60E-03  0000.00E+00  
210010.E-03  7501.09E-05  1401.85E-03  0000.00E+00  
215010.E-03  7040.64E-05  1327.09E-03  0000.00E+00  
220010.E-03  6826.63E-05  1261.11E-03  0000.00E+00  
225010.E-03  6498.10E-05  1193.11E-03  0000.00E+00  
230010.E-03  6287.29E-05  1132.29E-03  0000.00E+00  
235010.E-03  5911.93E-05  1069.42E-03  0000.00E+00  
240010.E-03  5652.47E-05  1009.24E-03  0000.00E+00  
245010.E-03  5417.64E-05  9504.24E-04  0000.00E+00  
250010.E-03  5079.70E-05  8884.03E-04  0000.00E+00  
255010.E-03  4742.37E-05  8348.35E-04  0000.00E+00  
260010.E-03  4489.52E-05  7782.96E-04  0000.00E+00  
265010.E-03  4321.36E-05  7275.59E-04  0000.00E+00  
270010.E-03  4070.94E-05  6773.16E-04  0000.00E+00  
275010.E-03  3829.60E-05  6266.66E-04  0000.00E+00  
280010.E-03  3572.26E-05  5814.83E-04  0000.00E+00  
285010.E-03  3315.32E-05  5343.79E-04  0000.00E+00  
290010.E-03  3047.38E-05  4803.21E-04  0000.00E+00  
295010.E-03  2659.27E-05  4167.09E-04  0000.00E+00  
300010.E-03  2376.74E-05  3392.10E-04  0000.00E+00  
305010.E-03  6928.93E-05  0000.00E+00  4470.79E-04  
310010.E-03  6368.57E-05  0000.00E+00  3890.48E-04  
315010.E-03  5881.09E-05  0000.00E+00  3275.78E-04  
320010.E-03  5410.83E-05  0000.00E+00  2811.40E-04  
325010.E-03  5014.24E-05  0000.00E+00  2489.59E-04  
330010.E-03  4648.68E-05  0000.00E+00  2226.35E-04  
335010.E-03  4209.05E-05  0000.00E+00  2009.43E-04  
340010.E-03  3802.60E-05  0000.00E+00  1833.28E-04  
345010.E-03  3414.10E-05  0000.00E+00  1666.61E-04  
350010.E-03  3057.38E-05  0000.00E+00  1487.01E-04  
355010.E-03  2714.86E-05  0000.00E+00  1342.51E-04  
360010.E-03  2337.55E-05  0000.00E+00  1180.65E-04  
365010.E-03  2034.22E-05  0000.00E+00  1042.26E-04  
370010.E-03  1768.68E-05  0000.00E+00  9123.69E-05  
375010.E-03  1502.74E-05  0000.00E+00  7959.74E-05  
380010.E-03  1285.39E-05  0000.00E+00  6932.13E-05  
385010.E-03  1053.65E-05  0000.00E+00  5954.37E-05  
390010.E-03  8638.43E-06  0000.00E+00  5045.87E-05  
395010.E-03  7100.32E-06  0000.00E+00  4180.82E-05  
400010.E-03  5926.24E-06  0000.00E+00  3457.08E-05  
405010.E-03  4560.14E-06  0000.00E+00  2816.43E-05  
410010.E-03  3520.07E-06  0000.00E+00  2269.96E-05  
415010.E-03  2584.00E-06  0000.00E+00  1828.07E-05  
420010.E-03  1928.00E-06  0000.00E+00  1432.96E-05  
425010.E-03  1474.00E-06  0000.00E+00  1192.41E-05  
430010.E-03  1164.01E-06  0000.00E+00  9442.49E-06  
435010.E-03  8180.07E-07  0000.00E+00  7334.34E-06  
440010.E-03  6120.08E-07  0000.00E+00  5748.22E-06  
445010.E-03  4300.05E-07  0000.00E+00  4366.13E-06  
450010.E-03  3080.04E-07  0000.00E+00  3708.08E-06  
455010.E-03  2060.02E-07  0000.00E+00  2854.02E-06  
460010.E-03  1600.02E-07  0000.00E+00  2110.00E-06  
465010.E-03  1320.01E-07  0000.00E+00  1924.00E-06  
470010.E-03  9000.09E-08  0000.00E+00  1238.01E-06  
475010.E-03  7800.08E-08  0000.00E+00  1080.01E-06  
480010.E-03  5000.05E-08  0000.00E+00  8840.07E-07  
485010.E-03  4000.04E-08  0000.00E+00  6100.08E-07  
490010.E-03  3200.03E-08  0000.00E+00  5200.07E-07  
495010.E-03  1000.01E-08  0000.00E+00  4080.05E-07  
500010.E-03  6000.06E-09  0000.00E+00  2260.02E-07  
