DEPTH_0,Ga,Sn,C,DEPTH
1.00E+02,9.12E+04,1.34E+08,1.29E+07,0.00E+00
1.03E+02,1.05E+05,5.15E+07,1.63E+08,3.00E-01
1.05E+02,1.49E+05,5.64E+07,2.31E+08,5.00E-01
1.08E+02,1.79E+05,5.71E+07,2.70E+08,8.00E-01
1.10E+02,2.18E+05,4.92E+07,2.74E+08,1.00E+00
1.13E+02,2.30E+05,3.63E+07,2.64E+08,1.30E+00
1.15E+02,2.54E+05,2.40E+07,2.52E+08,1.50E+00
1.18E+02,2.68E+05,1.56E+07,2.41E+08,1.80E+00
1.20E+02,2.98E+05,1.05E+07,2.30E+08,2.00E+00
1.23E+02,2.76E+05,7.41E+06,2.21E+08,2.30E+00
1.25E+02,2.97E+05,5.31E+06,2.13E+08,2.50E+00
1.28E+02,3.10E+05,3.97E+06,2.07E+08,2.80E+00
1.30E+02,3.56E+05,3.06E+06,2.01E+08,3.00E+00
1.33E+02,3.38E+05,2.35E+06,1.96E+08,3.30E+00
1.35E+02,3.51E+05,1.91E+06,1.93E+08,3.50E+00
1.38E+02,3.53E+05,1.51E+06,1.89E+08,3.80E+00
1.40E+02,3.56E+05,1.27E+06,1.85E+08,4.00E+00
1.43E+02,3.70E+05,1.02E+06,1.81E+08,4.30E+00
1.45E+02,3.88E+05,8.51E+05,1.78E+08,4.50E+00
1.48E+02,3.86E+05,6.92E+05,1.75E+08,4.80E+00
1.50E+02,4.07E+05,6.17E+05,1.73E+08,5.00E+00
1.53E+02,4.21E+05,5.01E+05,1.69E+08,5.30E+00
1.55E+02,4.25E+05,4.31E+05,1.67E+08,5.50E+00
1.58E+02,4.45E+05,3.37E+05,1.64E+08,5.80E+00
1.60E+02,4.39E+05,3.16E+05,1.61E+08,6.00E+00
1.63E+02,4.48E+05,2.52E+05,1.58E+08,6.30E+00
1.65E+02,4.63E+05,2.03E+05,1.56E+08,6.50E+00
1.68E+02,4.70E+05,1.93E+05,1.53E+08,6.80E+00
1.70E+02,4.94E+05,1.43E+05,1.51E+08,7.00E+00
1.73E+02,5.08E+05,1.21E+05,1.47E+08,7.30E+00
1.75E+02,5.33E+05,9.88E+04,1.45E+08,7.50E+00
1.78E+02,5.17E+05,8.44E+04,1.42E+08,7.80E+00
1.80E+02,5.40E+05,6.48E+04,1.39E+08,8.00E+00
1.83E+02,5.67E+05,4.80E+04,1.35E+08,8.30E+00
1.85E+02,5.62E+05,4.48E+04,1.32E+08,8.50E+00
1.88E+02,5.96E+05,2.88E+04,1.28E+08,8.80E+00
1.90E+02,6.00E+05,2.24E+04,1.24E+08,9.00E+00
1.93E+02,5.91E+05,1.76E+04,1.20E+08,9.30E+00
1.95E+02,6.10E+05,1.32E+04,1.17E+08,9.50E+00
1.98E+02,6.26E+05,1.16E+04,1.13E+08,9.80E+00
2.00E+02,6.14E+05,5.60E+03,1.09E+08,1.00E+01
2.03E+02,6.24E+05,4.00E+03,1.05E+08,1.03E+01
2.05E+02,6.10E+05,3.60E+03,1.00E+08,1.05E+01
2.08E+02,6.32E+05,2.80E+03,9.58E+07,1.08E+01
2.10E+02,6.43E+05,3.20E+03,9.19E+07,1.10E+01
2.13E+02,6.10E+05,1.60E+03,8.69E+07,1.13E+01
2.15E+02,6.24E+05,1.60E+03,8.31E+07,1.15E+01
2.18E+02,5.76E+05,1.60E+03,7.92E+07,1.18E+01
2.20E+02,5.60E+05,8.00E+02,7.55E+07,1.20E+01
2.23E+02,5.64E+05,4.00E+02,7.10E+07,1.23E+01
2.25E+02,5.46E+05,4.00E+02,6.76E+07,1.25E+01
2.28E+02,5.26E+05,0.00E+00,6.38E+07,1.28E+01
2.30E+02,5.04E+05,0.00E+00,6.05E+07,1.30E+01
2.33E+02,4.82E+05,0.00E+00,5.63E+07,1.33E+01
2.35E+02,5.08E+05,0.00E+00,5.31E+07,1.35E+01
2.38E+02,4.56E+05,0.00E+00,4.94E+07,1.38E+01
2.40E+02,4.48E+05,0.00E+00,4.60E+07,1.40E+01
2.43E+02,4.23E+05,0.00E+00,4.27E+07,1.43E+01
2.45E+02,4.07E+05,0.00E+00,3.90E+07,1.45E+01
2.48E+02,3.75E+05,0.00E+00,3.49E+07,1.48E+01
2.50E+02,3.39E+05,0.00E+00,2.69E+07,1.50E+01
