DEPTH_0,Ga,Sn,C,DEPTH
2.04E+02,1.61E-01,3.29E-01,1.01E+00,4.00E-01
2.10E+02,1.90E-01,0.00E+00,1.38E+00,1.00E+00
2.16E+02,1.79E-01,0.00E+00,1.14E+00,1.60E+00
2.22E+02,1.69E-01,0.00E+00,9.81E-01,2.20E+00
2.28E+02,1.59E-01,0.00E+00,8.76E-01,2.80E+00
2.34E+02,1.50E-01,0.00E+00,8.00E-01,3.40E+00
2.40E+02,1.39E-01,0.00E+00,7.34E-01,4.00E+00
2.46E+02,1.29E-01,0.00E+00,6.78E-01,4.60E+00
2.52E+02,1.19E-01,0.00E+00,6.24E-01,5.20E+00
2.58E+02,1.08E-01,0.00E+00,5.72E-01,5.80E+00
2.64E+02,9.74E-02,0.00E+00,5.19E-01,6.40E+00
2.70E+02,8.69E-02,0.00E+00,4.69E-01,7.00E+00
2.76E+02,7.64E-02,0.00E+00,4.19E-01,7.60E+00
2.82E+02,6.65E-02,0.00E+00,3.68E-01,8.20E+00
2.88E+02,5.73E-02,0.00E+00,3.23E-01,8.80E+00
2.94E+02,4.80E-02,0.00E+00,2.78E-01,9.40E+00
3.00E+02,4.04E-02,0.00E+00,2.38E-01,1.00E+01
3.06E+02,3.34E-02,0.00E+00,2.03E-01,1.06E+01
3.12E+02,2.71E-02,0.00E+00,1.69E-01,1.12E+01
3.18E+02,2.19E-02,0.00E+00,1.40E-01,1.18E+01
3.24E+02,1.73E-02,0.00E+00,1.18E-01,1.24E+01
3.30E+02,1.34E-02,0.00E+00,9.48E-02,1.30E+01
3.36E+02,1.01E-02,0.00E+00,7.52E-02,1.36E+01
3.42E+02,7.67E-03,0.00E+00,5.93E-02,1.42E+01
3.48E+02,5.88E-03,0.00E+00,4.75E-02,1.48E+01
