DEPTH,Ga,Sn,C
601000.E-05,6494.69E-05,9455.55E-04,0000.00E+00
120100.E-04,8860.85E-05,1345.92E-03,0000.00E+00
180100.E-04,1014.17E-04,1671.71E-03,0000.00E+00
240100.E-04,1072.47E-04,1926.82E-03,0000.00E+00
300100.E-04,1128.78E-04,2148.48E-03,0000.00E+00
360100.E-04,1155.03E-04,2315.70E-03,0000.00E+00
420100.E-04,1189.28E-04,2468.53E-03,0000.00E+00
480100.E-04,1218.67E-04,2584.39E-03,0000.00E+00
540100.E-04,1231.90E-04,2658.98E-03,0000.00E+00
600100.E-04,1249.03E-04,2704.99E-03,0000.00E+00
660100.E-04,1248.13E-04,2727.20E-03,0000.00E+00
720100.E-04,1231.85E-04,2715.65E-03,0000.00E+00
780100.E-04,1217.94E-04,2669.25E-03,0000.00E+00
840100.E-04,1193.00E-04,2599.23E-03,0000.00E+00
900100.E-04,1158.27E-04,2458.25E-03,0000.00E+00
960100.E-04,1100.51E-04,2224.44E-03,0000.00E+00
102010.E-03,1947.25E-04,1238.93E-03,9030.94E-04
108010.E-03,3367.79E-04,0000.00E+00,2866.47E-03
114010.E-03,3224.16E-04,0000.00E+00,2461.68E-03
120010.E-03,3145.07E-04,0000.00E+00,2172.95E-03
126010.E-03,3067.88E-04,0000.00E+00,1982.36E-03
132010.E-03,3003.74E-04,0000.00E+00,1854.54E-03
138010.E-03,2944.48E-04,0000.00E+00,1762.96E-03
144010.E-03,2884.78E-04,0000.00E+00,1693.94E-03
150010.E-03,2808.35E-04,0000.00E+00,1629.72E-03
156010.E-03,2708.76E-04,0000.00E+00,1572.93E-03
162010.E-03,2634.65E-04,0000.00E+00,1515.70E-03
168010.E-03,2536.86E-04,0000.00E+00,1453.49E-03
174010.E-03,2412.70E-04,0000.00E+00,1382.06E-03
180010.E-03,2283.30E-04,0000.00E+00,1304.38E-03
186010.E-03,2139.27E-04,0000.00E+00,1224.56E-03
192010.E-03,1973.76E-04,0000.00E+00,1138.07E-03
198010.E-03,1799.99E-04,0000.00E+00,1048.18E-03
204010.E-03,1624.97E-04,0000.00E+00,9512.52E-04
210010.E-03,1444.80E-04,0000.00E+00,8594.97E-04
216010.E-03,1275.92E-04,0000.00E+00,7693.95E-04
222010.E-03,1102.46E-04,0000.00E+00,6767.21E-04
228010.E-03,9439.49E-05,0000.00E+00,5924.38E-04
234010.E-03,7878.35E-05,0000.00E+00,5054.58E-04
240010.E-03,6494.69E-05,0000.00E+00,4274.24E-04
246010.E-03,5275.03E-05,0000.00E+00,3586.92E-04
252010.E-03,4265.01E-05,0000.00E+00,2990.87E-04
258010.E-03,3323.79E-05,0000.00E+00,2476.58E-04
264010.E-03,2595.09E-05,0000.00E+00,2042.71E-04
270010.E-03,1977.50E-05,0000.00E+00,1662.96E-04
276010.E-03,1490.62E-05,0000.00E+00,1352.75E-04
282010.E-03,1099.04E-05,0000.00E+00,1082.57E-04
288010.E-03,7965.30E-06,0000.00E+00,8669.31E-05
294010.E-03,5678.33E-06,0000.00E+00,6819.54E-05
300010.E-03,3909.99E-06,0000.00E+00,5481.50E-05
306010.E-03,2785.04E-06,0000.00E+00,4427.35E-05
312010.E-03,1743.36E-06,0000.00E+00,3463.19E-05
318010.E-03,1141.67E-06,0000.00E+00,2748.34E-05
324010.E-03,7416.74E-07,0000.00E+00,2173.72E-05
330010.E-03,4433.38E-07,0000.00E+00,1801.05E-05
336010.E-03,2516.69E-07,0000.00E+00,1451.63E-05
342010.E-03,1616.68E-07,0000.00E+00,1179.19E-05
348010.E-03,1250.01E-07,0000.00E+00,9710.53E-06
354010.E-03,8833.42E-08,0000.00E+00,7850.29E-06
360010.E-03,5000.05E-08,0000.00E+00,5993.37E-06
366010.E-03,2833.36E-08,0000.00E+00,5011.60E-06
372010.E-03,1500.02E-08,0000.00E+00,4181.64E-06
378010.E-03,1000.01E-08,0000.00E+00,3183.36E-06
384010.E-03,1333.35E-08,0000.00E+00,2416.72E-06
390010.E-03,8333.42E-09,0000.00E+00,1930.03E-06
396010.E-03,3333.37E-09,0000.00E+00,1593.35E-06
402010.E-03,0000.00E+00,0000.00E+00,1283.34E-06
408010.E-03,0000.00E+00,0000.00E+00,1043.34E-06
414010.E-03,0000.00E+00,0000.00E+00,6766.75E-07
420010.E-03,0000.00E+00,0000.00E+00,6516.75E-07
426010.E-03,0000.00E+00,0000.00E+00,4483.38E-07
432010.E-03,0000.00E+00,0000.00E+00,4016.71E-07
438010.E-03,0000.00E+00,0000.00E+00,2600.02E-07
444010.E-03,0000.00E+00,0000.00E+00,2333.36E-07
450010.E-03,0000.00E+00,0000.00E+00,2050.02E-07
456010.E-03,0000.00E+00,0000.00E+00,1466.68E-07
462010.E-03,0000.00E+00,0000.00E+00,1033.34E-07
468010.E-03,0000.00E+00,0000.00E+00,8333.41E-08
474010.E-03,0000.00E+00,0000.00E+00,5166.72E-08
480010.E-03,0000.00E+00,0000.00E+00,4333.38E-08
486010.E-03,0000.00E+00,0000.00E+00,2833.36E-08
492010.E-03,0000.00E+00,0000.00E+00,2666.69E-08
498010.E-03,0000.00E+00,0000.00E+00,2166.69E-08
504010.E-03,0000.00E+00,0000.00E+00,1666.68E-08
510010.E-03,0000.00E+00,0000.00E+00,3333.37E-09
516010.E-03,0000.00E+00,0000.00E+00,6666.73E-09
522010.E-03,0000.00E+00,0000.00E+00,1666.68E-09
528010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
534010.E-03,0000.00E+00,0000.00E+00,3333.37E-09
540010.E-03,0000.00E+00,0000.00E+00,3333.37E-09
546010.E-03,0000.00E+00,0000.00E+00,1500.02E-08
552010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
558010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
564010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
570010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
576010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
582010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
588010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
594010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
600010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
