DEPTH,Ga,Sn,C
601000.E-05,6.3668E+04,1.0276E+08,3.3334E+03
120100.E-04,1.1500E+05,1.3433E+08,2.8334E+03
180100.E-04,1.5283E+05,1.6946E+08,3.8334E+03
240100.E-04,1.7634E+05,1.9908E+08,3.0000E+03
300100.E-04,1.9634E+05,2.2374E+08,4.5000E+03
360100.E-04,2.2150E+05,2.4494E+08,5.6667E+03
420100.E-04,2.4717E+05,2.6261E+08,6.1667E+03
480100.E-04,2.4534E+05,2.7520E+08,6.6667E+03
540100.E-04,2.6417E+05,2.8536E+08,1.0333E+04
600100.E-04,2.9784E+05,2.9428E+08,1.3500E+04
660100.E-04,2.9350E+05,3.0030E+08,1.9500E+04
720100.E-04,3.1050E+05,3.0485E+08,2.1667E+04
780100.E-04,3.1534E+05,3.0712E+08,2.3500E+04
840100.E-04,3.2667E+05,3.0814E+08,3.5500E+04
900100.E-04,3.3717E+05,3.0718E+08,4.7334E+04
960100.E-04,3.3667E+05,3.0410E+08,6.1001E+04
102010.E-03,3.3634E+05,2.9949E+08,8.3334E+04
108010.E-03,3.4350E+05,2.9309E+08,1.1800E+05
114010.E-03,3.2584E+05,2.8522E+08,1.7084E+05
120010.E-03,3.0834E+05,2.7496E+08,2.5451E+05
126010.E-03,2.9150E+05,2.6286E+08,4.1483E+05
132010.E-03,2.8517E+05,2.4632E+08,7.6169E+05
138010.E-03,2.4717E+05,2.2565E+08,1.5691E+06
144010.E-03,1.9634E+05,1.9603E+08,3.5251E+06
150010.E-03,1.3200E+05,1.4021E+08,7.8534E+06
156010.E-03,1.4383E+05,4.6755E+07,1.6062E+08
162010.E-03,2.3400E+05,4.0436E+07,2.1120E+08
168010.E-03,2.9500E+05,1.7330E+07,1.8708E+08
174010.E-03,3.3517E+05,6.7411E+06,1.6438E+08
180010.E-03,3.4450E+05,3.2164E+06,1.4851E+08
186010.E-03,3.7950E+05,1.6914E+06,1.3617E+08
192010.E-03,3.8467E+05,9.8622E+05,1.2676E+08
198010.E-03,3.9367E+05,6.2751E+05,1.1914E+08
204010.E-03,4.2850E+05,3.8250E+05,1.1176E+08
210010.E-03,4.3033E+05,2.4201E+05,1.0530E+08
216010.E-03,4.3950E+05,1.3850E+05,9.8736E+07
222010.E-03,4.5400E+05,9.0001E+04,9.2099E+07
228010.E-03,4.6166E+05,4.4667E+04,8.4996E+07
234010.E-03,4.5083E+05,2.1667E+04,7.8087E+07
240010.E-03,4.6566E+05,1.1833E+04,7.1153E+07
246010.E-03,4.5500E+05,4.0000E+03,6.3867E+07
252010.E-03,4.3850E+05,3.0000E+03,5.6669E+07
258010.E-03,4.0883E+05,6.6667E+02,4.9604E+07
264010.E-03,3.7533E+05,3.3334E+02,4.3029E+07
270010.E-03,3.4250E+05,0.0000E+00,3.6639E+07
276010.E-03,3.0000E+05,1.6667E+02,3.1125E+07
282010.E-03,2.7867E+05,0.0000E+00,2.6258E+07
288010.E-03,2.3467E+05,1.6667E+02,2.1916E+07
294010.E-03,1.9184E+05,0.0000E+00,1.8122E+07
300010.E-03,1.6284E+05,0.0000E+00,1.4799E+07
306010.E-03,1.3867E+05,0.0000E+00,1.1939E+07
312010.E-03,1.0967E+05,0.0000E+00,9.6476E+06
318010.E-03,8.7334E+04,0.0000E+00,7.6740E+06
324010.E-03,6.7668E+04,0.0000E+00,6.1465E+06
330010.E-03,5.7834E+04,0.0000E+00,4.9385E+06
336010.E-03,3.9500E+04,0.0000E+00,3.8899E+06
342010.E-03,2.7334E+04,0.0000E+00,3.0923E+06
348010.E-03,2.0667E+04,0.0000E+00,2.4133E+06
354010.E-03,1.3500E+04,0.0000E+00,1.9528E+06
360010.E-03,1.1167E+04,0.0000E+00,1.4955E+06
366010.E-03,7.6667E+03,0.0000E+00,1.1762E+06
372010.E-03,4.8334E+03,0.0000E+00,9.2305E+05
378010.E-03,3.3334E+03,0.0000E+00,7.2552E+05
384010.E-03,1.6667E+03,0.0000E+00,5.9134E+05
390010.E-03,1.0000E+03,0.0000E+00,4.7599E+05
396010.E-03,6.6667E+02,0.0000E+00,3.7267E+05
402010.E-03,8.3334E+02,0.0000E+00,2.7684E+05
408010.E-03,1.6667E+02,0.0000E+00,2.2100E+05
414010.E-03,3.3334E+02,0.0000E+00,1.7967E+05
420010.E-03,1.6667E+02,0.0000E+00,1.4483E+05
426010.E-03,0.0000E+00,0.0000E+00,1.0833E+05
432010.E-03,0.0000E+00,0.0000E+00,8.9001E+04
438010.E-03,0.0000E+00,0.0000E+00,7.2334E+04
444010.E-03,0.0000E+00,0.0000E+00,5.6501E+04
450010.E-03,0.0000E+00,0.0000E+00,4.4834E+04
456010.E-03,0.0000E+00,0.0000E+00,3.4834E+04
462010.E-03,0.0000E+00,0.0000E+00,2.4000E+04
468010.E-03,0.0000E+00,0.0000E+00,2.4667E+04
474010.E-03,0.0000E+00,0.0000E+00,1.8167E+04
480010.E-03,0.0000E+00,0.0000E+00,1.3500E+04
486010.E-03,0.0000E+00,0.0000E+00,8.8334E+03
492010.E-03,0.0000E+00,0.0000E+00,5.5001E+03
498010.E-03,0.0000E+00,0.0000E+00,5.5001E+03
504010.E-03,0.0000E+00,0.0000E+00,2.5000E+03
510010.E-03,0.0000E+00,0.0000E+00,3.1667E+03
516010.E-03,0.0000E+00,0.0000E+00,1.5000E+03
522010.E-03,0.0000E+00,0.0000E+00,1.5000E+03
528010.E-03,0.0000E+00,0.0000E+00,5.0001E+02
534010.E-03,0.0000E+00,0.0000E+00,1.3333E+03
540010.E-03,0.0000E+00,0.0000E+00,1.6667E+02
546010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
552010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
558010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
564010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
570010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
576010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
582010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
588010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
594010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
600010.E-03,0.0000E+00,0.0000E+00,0.0000E+00
