   DEPTH         Ga         Sn          C    
611000.E-05  3.4427E+03  2.5744E+07  4.0970E+06
122100.E-04  9.1804E+03  1.7257E+07  3.7464E+07
183100.E-04  2.1312E+04  1.0045E+07  1.2696E+08
244100.E-04  2.2131E+04  5.3918E+06  1.4597E+08
305100.E-04  2.8853E+04  1.8091E+06  1.5609E+08
366100.E-04  2.9017E+04  7.3101E+05  1.6510E+08
427100.E-04  3.5902E+04  3.5657E+05  1.7385E+08
488100.E-04  3.9509E+04  2.0345E+05  1.8223E+08
549100.E-04  4.0000E+04  1.3016E+05  1.9117E+08
610100.E-04  4.7869E+04  1.0246E+05  1.9856E+08
671100.E-04  5.9181E+04  7.9672E+04  2.0623E+08
732100.E-04  6.6394E+04  5.8689E+04  2.1384E+08
793100.E-04  9.0328E+04  4.5410E+04  2.2040E+08
854100.E-04  1.3312E+05  3.5246E+04  2.2563E+08
915100.E-04  1.9000E+05  2.8033E+04  2.3054E+08
976100.E-04  2.5640E+05  2.1476E+04  2.3333E+08
103710.E-03  3.4591E+05  1.2787E+04  2.3427E+08
109810.E-03  4.5067E+05  9.5083E+03  2.3274E+08
115910.E-03  5.6986E+05  5.0820E+03  2.2945E+08
122010.E-03  6.7527E+05  2.9508E+03  2.2338E+08
128110.E-03  7.9905E+05  1.3115E+03  2.1501E+08
134210.E-03  8.8610E+05  4.9181E+02  2.0435E+08
140310.E-03  9.3709E+05  6.5574E+02  1.9198E+08
146410.E-03  9.9939E+05  0.0000E+00  1.7824E+08
152510.E-03  1.0269E+06  0.0000E+00  1.6347E+08
158610.E-03  1.0112E+06  0.0000E+00  1.4796E+08
164710.E-03  9.8020E+05  0.0000E+00  1.3287E+08
170810.E-03  9.4037E+05  0.0000E+00  1.1686E+08
176910.E-03  8.8872E+05  0.0000E+00  1.0155E+08
183010.E-03  7.9757E+05  0.0000E+00  8.7949E+07
189110.E-03  7.0642E+05  0.0000E+00  7.5298E+07
195210.E-03  6.1674E+05  0.0000E+00  6.3876E+07
201310.E-03  5.2854E+05  0.0000E+00  5.3553E+07
207410.E-03  4.5002E+05  0.0000E+00  4.4523E+07
213510.E-03  3.5968E+05  0.0000E+00  3.6778E+07
219610.E-03  3.0083E+05  0.0000E+00  3.0475E+07
225710.E-03  2.3558E+05  0.0000E+00  2.4801E+07
231810.E-03  1.8853E+05  0.0000E+00  2.0110E+07
237910.E-03  1.4967E+05  0.0000E+00  1.6273E+07
244010.E-03  1.0754E+05  0.0000E+00  1.3176E+07
250110.E-03  8.5738E+04  0.0000E+00  1.0697E+07
256210.E-03  5.1640E+04  0.0000E+00  8.7080E+06
262310.E-03  3.6886E+04  0.0000E+00  7.1030E+06
268410.E-03  2.9017E+04  0.0000E+00  5.8546E+06
274510.E-03  1.8361E+04  0.0000E+00  4.8675E+06
280610.E-03  1.2623E+04  0.0000E+00  3.9193E+06
286710.E-03  8.8525E+03  0.0000E+00  3.1921E+06
292810.E-03  6.8853E+03  0.0000E+00  2.6159E+06
298910.E-03  2.1312E+03  0.0000E+00  2.2198E+06
305010.E-03  2.7869E+03  0.0000E+00  1.8491E+06
311110.E-03  1.6394E+03  0.0000E+00  1.5306E+06
317210.E-03  9.8362E+02  0.0000E+00  1.1825E+06
323310.E-03  6.5574E+02  0.0000E+00  9.6676E+05
329410.E-03  4.9181E+02  0.0000E+00  7.5577E+05
335510.E-03  0.0000E+00  0.0000E+00  6.4363E+05
341610.E-03  0.0000E+00  0.0000E+00  5.0428E+05
347710.E-03  0.0000E+00  0.0000E+00  4.1313E+05
353810.E-03  0.0000E+00  0.0000E+00  3.3788E+05
359910.E-03  0.0000E+00  0.0000E+00  2.7493E+05
366010.E-03  0.0000E+00  0.0000E+00  2.1164E+05
372110.E-03  0.0000E+00  0.0000E+00  1.7443E+05
378210.E-03  0.0000E+00  0.0000E+00  1.3967E+05
384310.E-03  0.0000E+00  0.0000E+00  1.0590E+05
390410.E-03  0.0000E+00  0.0000E+00  8.8033E+04
396510.E-03  0.0000E+00  0.0000E+00  6.1148E+04
402610.E-03  0.0000E+00  0.0000E+00  4.9509E+04
408710.E-03  0.0000E+00  0.0000E+00  3.4427E+04
414810.E-03  0.0000E+00  0.0000E+00  2.6230E+04
420910.E-03  0.0000E+00  0.0000E+00  1.8853E+04
427010.E-03  0.0000E+00  0.0000E+00  1.4918E+04
433110.E-03  0.0000E+00  0.0000E+00  7.5411E+03
439210.E-03  0.0000E+00  0.0000E+00  3.7705E+03
445310.E-03  0.0000E+00  0.0000E+00  3.9345E+03
451410.E-03  0.0000E+00  0.0000E+00  2.2951E+03
457510.E-03  0.0000E+00  0.0000E+00  1.1476E+03
463610.E-03  0.0000E+00  0.0000E+00  1.6394E+03
469710.E-03  0.0000E+00  0.0000E+00  1.3115E+03
475810.E-03  0.0000E+00  0.0000E+00  8.1968E+02
481910.E-03  0.0000E+00  0.0000E+00  1.6394E+02
488010.E-03  0.0000E+00  0.0000E+00  6.5574E+02
494110.E-03  0.0000E+00  0.0000E+00  3.2787E+02
500210.E-03  0.0000E+00  0.0000E+00  0.0000E+00
506310.E-03  0.0000E+00  0.0000E+00  0.0000E+00
512410.E-03  0.0000E+00  0.0000E+00  0.0000E+00
518510.E-03  0.0000E+00  0.0000E+00  0.0000E+00
524610.E-03  0.0000E+00  0.0000E+00  0.0000E+00
530710.E-03  0.0000E+00  0.0000E+00  0.0000E+00
536810.E-03  0.0000E+00  0.0000E+00  0.0000E+00
542910.E-03  0.0000E+00  0.0000E+00  0.0000E+00
549010.E-03  0.0000E+00  0.0000E+00  0.0000E+00
555110.E-03  0.0000E+00  0.0000E+00  0.0000E+00
561210.E-03  0.0000E+00  0.0000E+00  0.0000E+00
567310.E-03  0.0000E+00  0.0000E+00  0.0000E+00
573410.E-03  0.0000E+00  0.0000E+00  0.0000E+00
579510.E-03  0.0000E+00  0.0000E+00  0.0000E+00
585610.E-03  0.0000E+00  0.0000E+00  0.0000E+00
591710.E-03  0.0000E+00  0.0000E+00  0.0000E+00
597810.E-03  0.0000E+00  0.0000E+00  0.0000E+00
603910.E-03  0.0000E+00  0.0000E+00  0.0000E+00
610010.E-03  0.0000E+00  0.0000E+00  0.0000E+00
