   DEPTH         Ga           Sn            C       
611000.E-05  6696.29E-05  4141.32E-04  0000.00E+00  
122100.E-04  1619.28E-04  3111.38E-04  4368.80E-04  
183100.E-04  2529.92E-04  0000.00E+00  1363.58E-03  
244100.E-04  2750.29E-04  0000.00E+00  1444.52E-03  
305100.E-04  2747.27E-04  0000.00E+00  1526.66E-03  
366100.E-04  2715.51E-04  0000.00E+00  1594.15E-03  
427100.E-04  2959.28E-04  0000.00E+00  1695.27E-03  
488100.E-04  2842.89E-04  0000.00E+00  1756.40E-03  
549100.E-04  3069.90E-04  0000.00E+00  1850.01E-03  
610100.E-04  3067.46E-04  0000.00E+00  1910.95E-03  
671100.E-04  3221.12E-04  0000.00E+00  1989.42E-03  
732100.E-04  3312.08E-04  0000.00E+00  2058.46E-03  
793100.E-04  3428.84E-04  0000.00E+00  2124.26E-03  
854100.E-04  3541.95E-04  0000.00E+00  2167.52E-03  
915100.E-04  3621.77E-04  0000.00E+00  2209.25E-03  
976100.E-04  3696.99E-04  0000.00E+00  2230.82E-03  
103710.E-03  3719.40E-04  0000.00E+00  2227.98E-03  
109810.E-03  3714.38E-04  0000.00E+00  2211.14E-03  
115910.E-03  3651.56E-04  0000.00E+00  2161.66E-03  
122010.E-03  3545.03E-04  0000.00E+00  2093.51E-03  
128110.E-03  3380.10E-04  0000.00E+00  2002.46E-03  
134210.E-03  3176.41E-04  0000.00E+00  1891.31E-03  
140310.E-03  2948.92E-04  0000.00E+00  1763.63E-03  
146410.E-03  2689.26E-04  0000.00E+00  1626.71E-03  
152510.E-03  2417.67E-04  0000.00E+00  1483.34E-03  
158610.E-03  2138.08E-04  0000.00E+00  1335.09E-03  
164710.E-03  1870.55E-04  0000.00E+00  1184.62E-03  
170810.E-03  1582.09E-04  0000.00E+00  1030.26E-03  
176910.E-03  1332.86E-04  0000.00E+00  8918.49E-04  
183010.E-03  1103.33E-04  0000.00E+00  7677.40E-04  
189110.E-03  8977.60E-05  0000.00E+00  6544.04E-04  
195210.E-03  7215.55E-05  0000.00E+00  5496.72E-04  
201310.E-03  5660.06E-05  0000.00E+00  4574.04E-04  
207410.E-03  4406.12E-05  0000.00E+00  3794.16E-04  
213510.E-03  3374.25E-05  0000.00E+00  3112.69E-04  
219610.E-03  2542.37E-05  0000.00E+00  2565.87E-04  
225710.E-03  1872.54E-05  0000.00E+00  2084.55E-04  
231810.E-03  1329.24E-05  0000.00E+00  1681.18E-04  
237910.E-03  9452.84E-06  0000.00E+00  1354.70E-04  
244010.E-03  6557.63E-06  0000.00E+00  1091.83E-04  
250110.E-03  4483.76E-06  0000.00E+00  8942.98E-05  
256210.E-03  3106.65E-06  0000.00E+00  7282.16E-05  
262310.E-03  2065.61E-06  0000.00E+00  5890.73E-05  
268410.E-03  1373.78E-06  0000.00E+00  4889.45E-05  
274510.E-03  9098.40E-07  0000.00E+00  4090.47E-05  
280610.E-03  5655.77E-07  0000.00E+00  3261.70E-05  
286710.E-03  3245.94E-07  0000.00E+00  2664.74E-05  
292810.E-03  2393.47E-07  0000.00E+00  2215.06E-05  
298910.E-03  1344.28E-07  0000.00E+00  1868.44E-05  
305010.E-03  9016.48E-08  0000.00E+00  1566.79E-05  
311110.E-03  4754.15E-08  0000.00E+00  1236.28E-05  
317210.E-03  1803.30E-08  0000.00E+00  9803.68E-06  
323310.E-03  0000.00E+00  0000.00E+00  7900.31E-06  
329410.E-03  0000.00E+00  0000.00E+00  6357.62E-06  
335510.E-03  0000.00E+00  0000.00E+00  5334.62E-06  
341610.E-03  0000.00E+00  0000.00E+00  4075.54E-06  
347710.E-03  0000.00E+00  0000.00E+00  3457.48E-06  
353810.E-03  0000.00E+00  0000.00E+00  2819.75E-06  
359910.E-03  0000.00E+00  0000.00E+00  2180.37E-06  
366010.E-03  0000.00E+00  0000.00E+00  1763.96E-06  
372110.E-03  0000.00E+00  0000.00E+00  1322.96E-06  
378210.E-03  0000.00E+00  0000.00E+00  1231.15E-06  
384310.E-03  0000.00E+00  0000.00E+00  8639.38E-07  
390410.E-03  0000.00E+00  0000.00E+00  6901.68E-07  
396510.E-03  0000.00E+00  0000.00E+00  5229.54E-07  
402610.E-03  0000.00E+00  0000.00E+00  3803.31E-07  
408710.E-03  0000.00E+00  0000.00E+00  2311.50E-07  
414810.E-03  0000.00E+00  0000.00E+00  2098.38E-07  
420910.E-03  0000.00E+00  0000.00E+00  1475.43E-07  
427010.E-03  0000.00E+00  0000.00E+00  1032.80E-07  
433110.E-03  0000.00E+00  0000.00E+00  4754.15E-08  
439210.E-03  0000.00E+00  0000.00E+00  3606.59E-08  
445310.E-03  0000.00E+00  0000.00E+00  2622.98E-08  
451410.E-03  0000.00E+00  0000.00E+00  1147.55E-08  
457510.E-03  0000.00E+00  0000.00E+00  9836.16E-09  
463610.E-03  0000.00E+00  0000.00E+00  1311.49E-08  
469710.E-03  0000.00E+00  0000.00E+00  9836.16E-09  
475810.E-03  0000.00E+00  0000.00E+00  3278.72E-09  
481910.E-03  0000.00E+00  0000.00E+00  1639.36E-09  
488010.E-03  0000.00E+00  0000.00E+00  6557.44E-09  
494110.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
500210.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
506310.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
512410.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
518510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
524610.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
530710.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
536810.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
542910.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
549010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
555110.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
561210.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
567310.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
573410.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
579510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
585610.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
591710.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
597810.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
603910.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
610010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
