   DEPTH         Ga         Sn          C    
601000.E-05  3.7167E+04  8.4070E+07  1.9834E+05
120100.E-04  6.9501E+04  1.1055E+08  2.5201E+05
180100.E-04  8.3834E+04  1.3690E+08  3.0600E+05
240100.E-04  9.3167E+04  1.5758E+08  4.6899E+05
300100.E-04  8.7334E+04  1.7130E+08  8.1470E+05
360100.E-04  8.0501E+04  1.7688E+08  1.5771E+06
420100.E-04  8.1667E+04  1.7164E+08  3.5075E+06
480100.E-04  6.4334E+04  1.4510E+08  7.8575E+06
540100.E-04  6.3501E+04  6.1080E+07  1.2272E+08
600100.E-04  1.0867E+05  4.1914E+07  2.5458E+08
660100.E-04  1.4333E+05  2.1364E+07  2.5085E+08
720100.E-04  1.6917E+05  7.9121E+06  2.3677E+08
780100.E-04  1.7550E+05  3.5706E+06  2.2702E+08
840100.E-04  1.9950E+05  1.8985E+06  2.2054E+08
900100.E-04  2.0267E+05  1.1320E+06  2.1731E+08
960100.E-04  2.2784E+05  7.1985E+05  2.1533E+08
102010.E-03  2.4484E+05  4.8666E+05  2.1414E+08
108010.E-03  2.7384E+05  3.3883E+05  2.1292E+08
114010.E-03  2.9817E+05  2.4117E+05  2.1160E+08
120010.E-03  3.4483E+05  1.7984E+05  2.1013E+08
126010.E-03  3.8900E+05  1.2733E+05  2.0792E+08
132010.E-03  4.5700E+05  8.2334E+04  2.0485E+08
138010.E-03  5.1116E+05  5.8501E+04  1.9938E+08
144010.E-03  5.9684E+05  3.1667E+04  1.9214E+08
150010.E-03  6.5935E+05  1.6167E+04  1.8369E+08
156010.E-03  7.1769E+05  1.1000E+04  1.7405E+08
162010.E-03  7.6269E+05  4.6667E+03  1.6363E+08
168010.E-03  7.9736E+05  2.5000E+03  1.5128E+08
174010.E-03  8.2737E+05  1.1667E+03  1.3849E+08
180010.E-03  8.0286E+05  5.0001E+02  1.2589E+08
186010.E-03  7.9636E+05  3.3334E+02  1.1271E+08
192010.E-03  7.5969E+05  1.6667E+02  1.0069E+08
198010.E-03  6.9618E+05  0.0000E+00  8.8541E+07
204010.E-03  6.9335E+05  0.0000E+00  7.6636E+07
210010.E-03  6.0667E+05  0.0000E+00  6.6059E+07
216010.E-03  5.4450E+05  0.0000E+00  5.5909E+07
222010.E-03  4.7216E+05  0.0000E+00  4.6683E+07
228010.E-03  4.0850E+05  0.0000E+00  3.8726E+07
234010.E-03  3.2617E+05  0.0000E+00  3.2065E+07
240010.E-03  2.8484E+05  0.0000E+00  2.6452E+07
246010.E-03  2.2100E+05  0.0000E+00  2.1562E+07
252010.E-03  1.7350E+05  0.0000E+00  1.7605E+07
258010.E-03  1.3417E+05  0.0000E+00  1.4185E+07
264010.E-03  1.0717E+05  0.0000E+00  1.1586E+07
270010.E-03  8.3667E+04  0.0000E+00  9.3500E+06
276010.E-03  6.2501E+04  0.0000E+00  7.6013E+06
282010.E-03  4.1834E+04  0.0000E+00  6.0698E+06
288010.E-03  3.0500E+04  0.0000E+00  4.9046E+06
294010.E-03  2.2334E+04  0.0000E+00  3.9986E+06
300010.E-03  1.4500E+04  0.0000E+00  3.3430E+06
306010.E-03  9.8334E+03  0.0000E+00  2.7145E+06
312010.E-03  6.3334E+03  0.0000E+00  2.2609E+06
318010.E-03  4.3334E+03  0.0000E+00  1.7949E+06
324010.E-03  3.0000E+03  0.0000E+00  1.4508E+06
330010.E-03  1.5000E+03  0.0000E+00  1.2262E+06
336010.E-03  8.3334E+02  0.0000E+00  1.0407E+06
342010.E-03  1.0000E+03  0.0000E+00  8.6471E+05
348010.E-03  3.3334E+02  0.0000E+00  6.9335E+05
354010.E-03  0.0000E+00  0.0000E+00  5.6817E+05
360010.E-03  3.3334E+02  0.0000E+00  4.5716E+05
366010.E-03  0.0000E+00  0.0000E+00  3.5433E+05
372010.E-03  0.0000E+00  0.0000E+00  2.9050E+05
378010.E-03  0.0000E+00  0.0000E+00  2.2350E+05
384010.E-03  0.0000E+00  0.0000E+00  1.8417E+05
390010.E-03  0.0000E+00  0.0000E+00  1.4933E+05
396010.E-03  0.0000E+00  0.0000E+00  1.1300E+05
402010.E-03  0.0000E+00  0.0000E+00  8.7001E+04
408010.E-03  0.0000E+00  0.0000E+00  7.5334E+04
414010.E-03  0.0000E+00  0.0000E+00  5.3501E+04
420010.E-03  0.0000E+00  0.0000E+00  4.1000E+04
426010.E-03  0.0000E+00  0.0000E+00  2.6334E+04
432010.E-03  0.0000E+00  0.0000E+00  1.9000E+04
438010.E-03  0.0000E+00  0.0000E+00  1.7667E+04
444010.E-03  0.0000E+00  0.0000E+00  1.2333E+04
450010.E-03  0.0000E+00  0.0000E+00  8.5001E+03
456010.E-03  0.0000E+00  0.0000E+00  3.5000E+03
462010.E-03  0.0000E+00  0.0000E+00  3.8334E+03
468010.E-03  0.0000E+00  0.0000E+00  2.0000E+03
474010.E-03  0.0000E+00  0.0000E+00  1.0000E+03
480010.E-03  0.0000E+00  0.0000E+00  1.5000E+03
486010.E-03  0.0000E+00  0.0000E+00  6.6667E+02
492010.E-03  0.0000E+00  0.0000E+00  1.0000E+03
498010.E-03  0.0000E+00  0.0000E+00  1.0000E+03
504010.E-03  0.0000E+00  0.0000E+00  0.0000E+00
510010.E-03  0.0000E+00  0.0000E+00  0.0000E+00
516010.E-03  0.0000E+00  0.0000E+00  0.0000E+00
