   DEPTH         Ga           Sn            C       
601000.E-05  6087.41E-05  8130.98E-04  0000.00E+00  
120100.E-04  8304.10E-05  1151.91E-03  0000.00E+00  
180100.E-04  9445.17E-05  1420.35E-03  0000.00E+00  
240100.E-04  9865.49E-05  1618.19E-03  0000.00E+00  
300100.E-04  1010.03E-04  1757.81E-03  0000.00E+00  
360100.E-04  1030.65E-04  1837.64E-03  0000.00E+00  
420100.E-04  1024.82E-04  1839.19E-03  0000.00E+00  
480100.E-04  1073.97E-04  1722.27E-03  0000.00E+00  
540100.E-04  2745.16E-04  4952.74E-04  1773.50E-03  
600100.E-04  3248.94E-04  0000.00E+00  2586.99E-03  
660100.E-04  3215.86E-04  0000.00E+00  2333.62E-03  
720100.E-04  3242.60E-04  0000.00E+00  2206.68E-03  
780100.E-04  3238.47E-04  0000.00E+00  2126.40E-03  
840100.E-04  3240.68E-04  0000.00E+00  2073.50E-03  
900100.E-04  3265.06E-04  0000.00E+00  2049.41E-03  
960100.E-04  3260.58E-04  0000.00E+00  2040.26E-03  
102010.E-03  3276.85E-04  0000.00E+00  2028.23E-03  
108010.E-03  3287.63E-04  0000.00E+00  2020.01E-03  
114010.E-03  3287.84E-04  0000.00E+00  2008.45E-03  
120010.E-03  3269.79E-04  0000.00E+00  1987.47E-03  
126010.E-03  3252.93E-04  0000.00E+00  1969.44E-03  
132010.E-03  3205.20E-04  0000.00E+00  1929.24E-03  
138010.E-03  3126.01E-04  0000.00E+00  1869.13E-03  
144010.E-03  3002.08E-04  0000.00E+00  1793.04E-03  
150010.E-03  2862.34E-04  0000.00E+00  1706.40E-03  
156010.E-03  2693.55E-04  0000.00E+00  1605.41E-03  
162010.E-03  2508.87E-04  0000.00E+00  1500.59E-03  
168010.E-03  2296.24E-04  0000.00E+00  1375.79E-03  
174010.E-03  2075.65E-04  0000.00E+00  1254.47E-03  
180010.E-03  1851.18E-04  0000.00E+00  1136.75E-03  
186010.E-03  1628.56E-04  0000.00E+00  1011.57E-03  
192010.E-03  1409.04E-04  0000.00E+00  8956.49E-04  
198010.E-03  1205.43E-04  0000.00E+00  7809.27E-04  
204010.E-03  1003.62E-04  0000.00E+00  6706.99E-04  
210010.E-03  8275.04E-05  0000.00E+00  5748.67E-04  
216010.E-03  6694.49E-05  0000.00E+00  4788.67E-04  
222010.E-03  5289.35E-05  0000.00E+00  3975.49E-04  
228010.E-03  4201.07E-05  0000.00E+00  3295.75E-04  
234010.E-03  3222.24E-05  0000.00E+00  2718.93E-04  
240010.E-03  2479.37E-05  0000.00E+00  2230.43E-04  
246010.E-03  1854.03E-05  0000.00E+00  1814.54E-04  
252010.E-03  1377.64E-05  0000.00E+00  1466.57E-04  
258010.E-03  1017.23E-05  0000.00E+00  1177.99E-04  
264010.E-03  7188.53E-06  0000.00E+00  9684.97E-05  
270010.E-03  4878.27E-06  0000.00E+00  7797.26E-05  
276010.E-03  3420.01E-06  0000.00E+00  6271.07E-05  
282010.E-03  2311.71E-06  0000.00E+00  5065.07E-05  
288010.E-03  1468.35E-06  0000.00E+00  4063.99E-05  
294010.E-03  9650.07E-07  0000.00E+00  3316.45E-05  
300010.E-03  6366.75E-07  0000.00E+00  2801.53E-05  
306010.E-03  4016.71E-07  0000.00E+00  2257.42E-05  
312010.E-03  2466.69E-07  0000.00E+00  1899.02E-05  
318010.E-03  1183.35E-07  0000.00E+00  1463.79E-05  
324010.E-03  8666.75E-08  0000.00E+00  1225.85E-05  
330010.E-03  5000.05E-08  0000.00E+00  1026.89E-05  
336010.E-03  2666.69E-08  0000.00E+00  8775.41E-06  
342010.E-03  1166.68E-08  0000.00E+00  7028.51E-06  
348010.E-03  1500.02E-08  0000.00E+00  5821.69E-06  
354010.E-03  6666.73E-09  0000.00E+00  4718.28E-06  
360010.E-03  0000.00E+00  0000.00E+00  3643.33E-06  
366010.E-03  0000.00E+00  0000.00E+00  2915.04E-06  
372010.E-03  0000.00E+00  0000.00E+00  2308.38E-06  
378010.E-03  0000.00E+00  0000.00E+00  1915.03E-06  
384010.E-03  0000.00E+00  0000.00E+00  1483.35E-06  
390010.E-03  0000.00E+00  0000.00E+00  1225.01E-06  
396010.E-03  0000.00E+00  0000.00E+00  8933.40E-07  
402010.E-03  0000.00E+00  0000.00E+00  7000.08E-07  
408010.E-03  0000.00E+00  0000.00E+00  5783.41E-07  
414010.E-03  0000.00E+00  0000.00E+00  4333.38E-07  
420010.E-03  0000.00E+00  0000.00E+00  2900.03E-07  
426010.E-03  0000.00E+00  0000.00E+00  2066.69E-07  
432010.E-03  0000.00E+00  0000.00E+00  1683.35E-07  
438010.E-03  0000.00E+00  0000.00E+00  9333.43E-08  
444010.E-03  0000.00E+00  0000.00E+00  1216.68E-07  
450010.E-03  0000.00E+00  0000.00E+00  5000.05E-08  
456010.E-03  0000.00E+00  0000.00E+00  3333.37E-08  
462010.E-03  0000.00E+00  0000.00E+00  2333.36E-08  
468010.E-03  0000.00E+00  0000.00E+00  1000.01E-08  
474010.E-03  0000.00E+00  0000.00E+00  1000.01E-08  
480010.E-03  0000.00E+00  0000.00E+00  8333.42E-09  
486010.E-03  0000.00E+00  0000.00E+00  1000.01E-08  
492010.E-03  0000.00E+00  0000.00E+00  1666.68E-08  
498010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
504010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
