DEPTH,Ga,Sn,C
601000.E-05,6555.13E-05,9654.45E-04,0000.00E+00
120100.E-04,8977.75E-05,1362.06E-03,0000.00E+00
180100.E-04,1027.25E-04,1697.18E-03,0000.00E+00
240100.E-04,1075.24E-04,1974.72E-03,0000.00E+00
300100.E-04,1131.95E-04,2192.36E-03,0000.00E+00
360100.E-04,1175.47E-04,2384.35E-03,0000.00E+00
420100.E-04,1214.15E-04,2552.40E-03,0000.00E+00
480100.E-04,1244.15E-04,2663.62E-03,0000.00E+00
540100.E-04,1278.35E-04,2759.54E-03,0000.00E+00
600100.E-04,1302.27E-04,2832.23E-03,0000.00E+00
660100.E-04,1307.19E-04,2880.78E-03,0000.00E+00
720100.E-04,1317.06E-04,2918.16E-03,0000.00E+00
780100.E-04,1323.79E-04,2946.08E-03,0000.00E+00
840100.E-04,1334.63E-04,2946.05E-03,0000.00E+00
900100.E-04,1314.31E-04,2937.55E-03,0000.00E+00
960100.E-04,1316.56E-04,2905.28E-03,0000.00E+00
102010.E-03,1293.48E-04,2853.71E-03,0000.00E+00
108010.E-03,1282.58E-04,2800.78E-03,0000.00E+00
114010.E-03,1248.23E-04,2724.17E-03,0000.00E+00
120010.E-03,1207.78E-04,2625.52E-03,0000.00E+00
126010.E-03,1162.44E-04,2506.22E-03,0000.00E+00
132010.E-03,1121.15E-04,2365.20E-03,0000.00E+00
138010.E-03,1049.51E-04,2195.22E-03,0000.00E+00
144010.E-03,9796.03E-05,1972.73E-03,0000.00E+00
150010.E-03,9410.44E-05,1629.09E-03,0000.00E+00
156010.E-03,2837.50E-04,0000.00E+00,2286.40E-03
162010.E-03,2634.76E-04,0000.00E+00,1983.28E-03
168010.E-03,2543.06E-04,0000.00E+00,1684.40E-03
174010.E-03,2440.32E-04,0000.00E+00,1493.34E-03
180010.E-03,2344.85E-04,0000.00E+00,1357.43E-03
186010.E-03,2247.20E-04,0000.00E+00,1256.03E-03
192010.E-03,2127.46E-04,0000.00E+00,1177.17E-03
198010.E-03,2026.18E-04,0000.00E+00,1108.99E-03
204010.E-03,1900.87E-04,0000.00E+00,1037.26E-03
210010.E-03,1785.58E-04,0000.00E+00,9767.87E-04
216010.E-03,1667.20E-04,0000.00E+00,9165.67E-04
222010.E-03,1531.43E-04,0000.00E+00,8491.96E-04
228010.E-03,1407.92E-04,0000.00E+00,7814.11E-04
234010.E-03,1267.20E-04,0000.00E+00,7130.19E-04
240010.E-03,1123.60E-04,0000.00E+00,6445.25E-04
246010.E-03,9824.58E-05,0000.00E+00,5738.88E-04
252010.E-03,8499.15E-05,0000.00E+00,5039.44E-04
258010.E-03,7198.84E-05,0000.00E+00,4378.59E-04
264010.E-03,6074.76E-05,0000.00E+00,3788.94E-04
270010.E-03,5071.90E-05,0000.00E+00,3179.62E-04
276010.E-03,4195.25E-05,0000.00E+00,2689.87E-04
282010.E-03,3376.82E-05,0000.00E+00,2265.18E-04
288010.E-03,2661.46E-05,0000.00E+00,1865.61E-04
294010.E-03,2103.52E-05,0000.00E+00,1538.77E-04
300010.E-03,1628.92E-05,0000.00E+00,1245.79E-04
306010.E-03,1217.35E-05,0000.00E+00,1002.50E-04
312010.E-03,9272.15E-06,0000.00E+00,7997.24E-05
318010.E-03,6803.49E-06,0000.00E+00,6360.15E-05
324010.E-03,4801.61E-06,0000.00E+00,5074.56E-05
330010.E-03,3386.68E-06,0000.00E+00,4079.50E-05
336010.E-03,2443.39E-06,0000.00E+00,3194.56E-05
342010.E-03,1640.02E-06,0000.00E+00,2524.56E-05
348010.E-03,1113.34E-06,0000.00E+00,1965.84E-05
354010.E-03,7683.41E-07,0000.00E+00,1572.10E-05
360010.E-03,4683.39E-07,0000.00E+00,1230.18E-05
366010.E-03,2716.69E-07,0000.00E+00,9615.53E-06
372010.E-03,1783.35E-07,0000.00E+00,7480.24E-06
378010.E-03,1133.35E-07,0000.00E+00,6153.40E-06
384010.E-03,8666.76E-08,0000.00E+00,4773.28E-06
390010.E-03,4666.72E-08,0000.00E+00,3775.00E-06
396010.E-03,4333.38E-08,0000.00E+00,2986.70E-06
402010.E-03,1833.35E-08,0000.00E+00,2181.71E-06
408010.E-03,8333.42E-09,0000.00E+00,1838.36E-06
414010.E-03,5000.05E-09,0000.00E+00,1485.01E-06
420010.E-03,0000.00E+00,0000.00E+00,1111.67E-06
426010.E-03,0000.00E+00,0000.00E+00,8666.74E-07
432010.E-03,0000.00E+00,0000.00E+00,7466.75E-07
438010.E-03,0000.00E+00,0000.00E+00,6050.08E-07
444010.E-03,0000.00E+00,0000.00E+00,4533.39E-07
450010.E-03,0000.00E+00,0000.00E+00,3633.37E-07
456010.E-03,0000.00E+00,0000.00E+00,2483.36E-07
462010.E-03,0000.00E+00,0000.00E+00,2333.36E-07
468010.E-03,0000.00E+00,0000.00E+00,1883.35E-07
474010.E-03,0000.00E+00,0000.00E+00,1366.68E-07
480010.E-03,0000.00E+00,0000.00E+00,9666.77E-08
486010.E-03,0000.00E+00,0000.00E+00,8000.08E-08
492010.E-03,0000.00E+00,0000.00E+00,4833.38E-08
498010.E-03,0000.00E+00,0000.00E+00,3500.04E-08
504010.E-03,0000.00E+00,0000.00E+00,2000.02E-08
510010.E-03,0000.00E+00,0000.00E+00,2166.69E-08
516010.E-03,0000.00E+00,0000.00E+00,1166.68E-08
522010.E-03,0000.00E+00,0000.00E+00,8333.42E-09
528010.E-03,0000.00E+00,0000.00E+00,6666.74E-09
534010.E-03,0000.00E+00,0000.00E+00,1000.01E-08
540010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
546010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
552010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
558010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
564010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
570010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
576010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
582010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
588010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
594010.E-03,0000.00E+00,0000.00E+00,0000.00E+00
600010.E-03,0000.00E+00,0000.00E+00,0000.00E+00

