DEPTH,Ga,Si,N,C
0.00E+00,4.50E+03,5.25E+07,4.28E+07,1.11E+08
2.00E-01,6.00E+03,2.36E+07,2.41E+07,1.50E+08
4.00E-01,8.50E+03,9.61E+06,1.14E+07,1.75E+08
6.00E-01,9.50E+03,4.67E+06,5.86E+06,1.86E+08
8.00E-01,1.05E+04,2.79E+06,3.65E+06,1.91E+08
1.00E+00,1.65E+04,2.00E+06,2.60E+06,1.94E+08
1.20E+00,2.10E+04,1.45E+06,2.00E+06,1.97E+08
1.40E+00,2.00E+04,1.17E+06,1.58E+06,2.01E+08
1.60E+00,2.95E+04,9.67E+05,1.27E+06,2.03E+08
1.80E+00,3.85E+04,8.27E+05,1.11E+06,2.05E+08
2.00E+00,4.35E+04,6.95E+05,9.46E+05,2.09E+08
2.20E+00,5.10E+04,6.16E+05,8.02E+05,2.11E+08
2.40E+00,5.55E+04,5.57E+05,7.19E+05,2.13E+08
2.60E+00,5.70E+04,5.06E+05,6.16E+05,2.16E+08
2.80E+00,7.10E+04,4.13E+05,6.10E+05,2.18E+08
3.00E+00,9.40E+04,3.91E+05,5.12E+05,2.20E+08
3.20E+00,9.40E+04,3.78E+05,4.74E+05,2.23E+08
3.40E+00,8.90E+04,3.30E+05,4.41E+05,2.24E+08
3.60E+00,1.19E+05,2.98E+05,4.03E+05,2.26E+08
3.80E+00,1.20E+05,2.92E+05,3.88E+05,2.27E+08
4.00E+00,1.49E+05,2.55E+05,3.47E+05,2.29E+08
4.20E+00,1.45E+05,2.39E+05,3.64E+05,2.31E+08
4.40E+00,1.62E+05,2.30E+05,2.93E+05,2.32E+08
4.60E+00,2.03E+05,2.11E+05,2.82E+05,2.33E+08
4.80E+00,1.94E+05,2.02E+05,2.85E+05,2.35E+08
5.00E+00,2.08E+05,2.12E+05,2.63E+05,2.36E+08
5.20E+00,2.29E+05,1.89E+05,2.34E+05,2.37E+08
5.40E+00,2.54E+05,1.81E+05,2.27E+05,2.39E+08
5.60E+00,2.52E+05,1.67E+05,2.28E+05,2.40E+08
5.80E+00,2.95E+05,1.58E+05,2.10E+05,2.41E+08
6.00E+00,3.06E+05,1.34E+05,2.12E+05,2.41E+08
6.20E+00,3.30E+05,1.40E+05,2.00E+05,2.40E+08
6.40E+00,3.32E+05,1.21E+05,1.88E+05,2.41E+08
6.60E+00,3.91E+05,1.25E+05,1.75E+05,2.41E+08
6.80E+00,4.08E+05,1.26E+05,1.73E+05,2.41E+08
7.00E+00,4.18E+05,1.07E+05,1.49E+05,2.40E+08
7.20E+00,4.35E+05,1.11E+05,1.62E+05,2.39E+08
7.40E+00,4.84E+05,1.03E+05,1.42E+05,2.38E+08
7.60E+00,5.19E+05,1.07E+05,1.38E+05,2.36E+08
7.80E+00,5.46E+05,8.70E+04,1.34E+05,2.36E+08
8.00E+00,5.91E+05,8.80E+04,1.34E+05,2.34E+08
8.20E+00,5.57E+05,8.20E+04,1.25E+05,2.32E+08
8.40E+00,6.26E+05,9.50E+04,1.20E+05,2.30E+08
8.60E+00,6.38E+05,7.90E+04,1.24E+05,2.28E+08
8.80E+00,7.03E+05,7.50E+04,1.29E+05,2.25E+08
9.00E+00,7.48E+05,7.80E+04,1.01E+05,2.22E+08
9.20E+00,7.31E+05,7.30E+04,9.55E+04,2.19E+08
9.40E+00,7.96E+05,6.75E+04,1.04E+05,2.16E+08
9.60E+00,8.09E+05,7.50E+04,9.85E+04,2.12E+08
9.80E+00,8.67E+05,6.50E+04,9.70E+04,2.08E+08
1.00E+01,8.41E+05,6.40E+04,8.65E+04,2.04E+08
1.02E+01,8.99E+05,6.10E+04,8.35E+04,2.00E+08
1.04E+01,9.16E+05,5.35E+04,8.55E+04,1.95E+08
1.06E+01,9.47E+05,5.20E+04,8.80E+04,1.92E+08
1.08E+01,9.53E+05,4.95E+04,7.15E+04,1.86E+08
1.10E+01,9.51E+05,4.90E+04,8.35E+04,1.82E+08
1.12E+01,9.56E+05,4.90E+04,9.20E+04,1.76E+08
1.14E+01,1.01E+06,4.35E+04,7.60E+04,1.72E+08
1.16E+01,9.26E+05,4.00E+04,6.25E+04,1.68E+08
1.18E+01,9.71E+05,3.45E+04,7.85E+04,1.62E+08
1.20E+01,1.01E+06,3.80E+04,6.50E+04,1.57E+08
1.22E+01,9.74E+05,3.80E+04,6.80E+04,1.52E+08
1.24E+01,9.74E+05,3.95E+04,5.80E+04,1.46E+08
1.26E+01,9.71E+05,3.50E+04,6.40E+04,1.41E+08
1.28E+01,9.82E+05,4.25E+04,5.70E+04,1.36E+08
1.30E+01,9.45E+05,3.35E+04,5.55E+04,1.31E+08
1.32E+01,9.38E+05,3.45E+04,4.70E+04,1.26E+08
1.34E+01,9.24E+05,2.60E+04,6.75E+04,1.21E+08
1.36E+01,9.14E+05,2.75E+04,4.50E+04,1.16E+08
1.38E+01,8.60E+05,2.80E+04,5.35E+04,1.10E+08
1.40E+01,8.64E+05,2.65E+04,5.20E+04,1.05E+08
1.42E+01,8.70E+05,2.10E+04,5.05E+04,9.90E+07
1.44E+01,8.53E+05,2.40E+04,4.00E+04,9.24E+07
1.46E+01,8.01E+05,2.15E+04,5.05E+04,8.30E+07
1.48E+01,7.87E+05,2.30E+04,2.85E+04,6.40E+07
