DEPTH,Ga,Si,O,C
0.00E+00,5.00E+03,4.45E+07,5.45E+07,1.15E+08
2.00E-01,9.00E+03,1.97E+07,3.08E+07,1.56E+08
4.00E-01,1.45E+04,8.03E+06,1.45E+07,1.82E+08
6.00E-01,1.30E+04,3.87E+06,7.43E+06,1.93E+08
8.00E-01,1.20E+04,2.32E+06,4.63E+06,1.97E+08
1.00E+00,2.45E+04,1.62E+06,3.26E+06,2.00E+08
1.20E+00,1.85E+04,1.26E+06,2.41E+06,2.02E+08
1.40E+00,3.00E+04,9.57E+05,1.95E+06,2.05E+08
1.60E+00,3.10E+04,7.90E+05,1.58E+06,2.07E+08
1.80E+00,3.70E+04,6.80E+05,1.32E+06,2.09E+08
2.00E+00,4.45E+04,5.60E+05,1.15E+06,2.12E+08
2.20E+00,4.35E+04,5.05E+05,9.88E+05,2.14E+08
2.40E+00,5.20E+04,4.68E+05,8.97E+05,2.16E+08
2.60E+00,7.00E+04,3.92E+05,7.80E+05,2.19E+08
2.80E+00,7.30E+04,3.68E+05,7.41E+05,2.21E+08
3.00E+00,9.05E+04,3.36E+05,6.29E+05,2.23E+08
3.20E+00,1.16E+05,3.06E+05,6.00E+05,2.24E+08
3.40E+00,1.16E+05,2.54E+05,5.37E+05,2.27E+08
3.60E+00,1.18E+05,2.26E+05,5.15E+05,2.29E+08
3.80E+00,1.46E+05,2.15E+05,4.83E+05,2.31E+08
4.00E+00,1.43E+05,2.13E+05,4.60E+05,2.31E+08
4.20E+00,1.73E+05,1.90E+05,3.97E+05,2.34E+08
4.40E+00,1.85E+05,1.83E+05,3.79E+05,2.34E+08
4.60E+00,2.00E+05,1.80E+05,3.68E+05,2.36E+08
4.80E+00,2.05E+05,1.59E+05,3.16E+05,2.38E+08
5.00E+00,2.12E+05,1.48E+05,3.16E+05,2.38E+08
5.20E+00,2.55E+05,1.43E+05,3.16E+05,2.39E+08
5.40E+00,2.56E+05,1.40E+05,2.91E+05,2.39E+08
5.60E+00,3.22E+05,1.38E+05,2.71E+05,2.41E+08
5.80E+00,2.88E+05,1.33E+05,2.59E+05,2.41E+08
6.00E+00,3.49E+05,1.38E+05,2.29E+05,2.42E+08
6.20E+00,3.50E+05,1.13E+05,2.42E+05,2.41E+08
6.40E+00,3.86E+05,1.07E+05,2.24E+05,2.41E+08
6.60E+00,4.21E+05,9.80E+04,2.04E+05,2.41E+08
6.80E+00,4.32E+05,9.85E+04,1.96E+05,2.40E+08
7.00E+00,4.80E+05,9.00E+04,1.83E+05,2.40E+08
7.20E+00,4.74E+05,8.70E+04,1.89E+05,2.38E+08
7.40E+00,5.05E+05,9.50E+04,1.89E+05,2.37E+08
7.60E+00,5.50E+05,8.00E+04,1.72E+05,2.35E+08
7.80E+00,5.50E+05,6.25E+04,1.69E+05,2.34E+08
8.00E+00,6.08E+05,8.10E+04,1.43E+05,2.32E+08
8.20E+00,6.10E+05,7.90E+04,1.39E+05,2.31E+08
8.40E+00,6.52E+05,6.80E+04,1.58E+05,2.28E+08
8.60E+00,7.00E+05,6.55E+04,1.35E+05,2.25E+08
8.80E+00,7.17E+05,5.55E+04,1.32E+05,2.23E+08
9.00E+00,7.13E+05,5.65E+04,1.32E+05,2.20E+08
9.20E+00,7.55E+05,5.90E+04,1.28E+05,2.16E+08
9.40E+00,8.12E+05,5.65E+04,1.26E+05,2.13E+08
9.60E+00,8.52E+05,5.65E+04,1.13E+05,2.09E+08
9.80E+00,8.54E+05,5.15E+04,1.17E+05,2.05E+08
1.00E+01,8.39E+05,5.20E+04,1.11E+05,2.01E+08
1.02E+01,8.95E+05,5.20E+04,1.04E+05,1.97E+08
1.04E+01,8.97E+05,3.70E+04,9.00E+04,1.92E+08
1.06E+01,9.26E+05,3.85E+04,9.40E+04,1.88E+08
1.08E+01,9.03E+05,4.15E+04,8.15E+04,1.83E+08
1.10E+01,9.55E+05,4.75E+04,1.06E+05,1.79E+08
1.12E+01,9.73E+05,4.00E+04,9.60E+04,1.74E+08
1.14E+01,9.50E+05,3.55E+04,9.90E+04,1.69E+08
1.16E+01,9.85E+05,3.45E+04,9.35E+04,1.63E+08
1.18E+01,9.64E+05,4.00E+04,8.25E+04,1.59E+08
1.20E+01,9.70E+05,2.80E+04,7.65E+04,1.53E+08
1.22E+01,9.76E+05,2.50E+04,7.60E+04,1.48E+08
1.24E+01,1.00E+06,2.70E+04,7.95E+04,1.43E+08
1.26E+01,9.76E+05,3.35E+04,7.35E+04,1.38E+08
1.28E+01,9.55E+05,2.00E+04,6.90E+04,1.33E+08
1.30E+01,9.63E+05,2.60E+04,6.45E+04,1.28E+08
1.32E+01,8.98E+05,2.70E+04,6.05E+04,1.23E+08
1.34E+01,9.18E+05,2.85E+04,5.75E+04,1.18E+08
1.36E+01,8.81E+05,1.95E+04,6.75E+04,1.13E+08
1.38E+01,8.95E+05,2.00E+04,6.50E+04,1.07E+08
1.40E+01,8.61E+05,2.50E+04,6.00E+04,1.02E+08
1.42E+01,8.42E+05,1.95E+04,6.50E+04,9.66E+07
1.44E+01,8.29E+05,1.60E+04,5.75E+04,9.02E+07
1.46E+01,7.67E+05,1.75E+04,3.95E+04,8.17E+07
1.48E+01,7.41E+05,1.50E+04,3.95E+04,6.32E+07
