DEPTH,N,Recoil
120100.E-04,7.5001E+02,0.0000E+00
240100.E-04,2.2500E+03,0.0000E+00
360100.E-04,4.9167E+03,0.0000E+00
480100.E-04,5.6667E+03,0.0000E+00
600100.E-04,8.7501E+03,0.0000E+00
720100.E-04,1.2083E+04,0.0000E+00
840100.E-04,1.3333E+04,0.0000E+00
960100.E-04,1.5917E+04,0.0000E+00
108010.E-03,2.4334E+04,0.0000E+00
120010.E-03,2.4750E+04,0.0000E+00
132010.E-03,2.8750E+04,0.0000E+00
144010.E-03,3.5250E+04,0.0000E+00
156010.E-03,4.3167E+04,0.0000E+00
168010.E-03,5.0667E+04,0.0000E+00
180010.E-03,5.4000E+04,0.0000E+00
192010.E-03,6.4167E+04,0.0000E+00
204010.E-03,7.1084E+04,0.0000E+00
216010.E-03,8.5751E+04,0.0000E+00
228010.E-03,1.0159E+05,0.0000E+00
240010.E-03,1.0842E+05,0.0000E+00
252010.E-03,1.2800E+05,0.0000E+00
264010.E-03,1.4150E+05,0.0000E+00
276010.E-03,1.6533E+05,0.0000E+00
288010.E-03,1.8400E+05,0.0000E+00
300010.E-03,2.0308E+05,0.0000E+00
312010.E-03,2.1458E+05,0.0000E+00
324010.E-03,2.3608E+05,0.0000E+00
336010.E-03,2.5233E+05,0.0000E+00
348010.E-03,2.8283E+05,0.0000E+00
360010.E-03,3.0575E+05,0.0000E+00
372010.E-03,3.2084E+05,0.0000E+00
384010.E-03,3.3551E+05,0.0000E+00
396010.E-03,3.4718E+05,0.0000E+00
408010.E-03,3.5918E+05,0.0000E+00
420010.E-03,3.7693E+05,0.0000E+00
432010.E-03,3.7151E+05,0.0000E+00
444010.E-03,3.5759E+05,0.0000E+00
456010.E-03,3.5959E+05,0.0000E+00
468010.E-03,3.4151E+05,0.0000E+00
480010.E-03,3.2359E+05,0.0000E+00
492010.E-03,3.0742E+05,0.0000E+00
504010.E-03,2.8375E+05,0.0000E+00
516010.E-03,2.5716E+05,0.0000E+00
528010.E-03,2.1283E+05,0.0000E+00
540010.E-03,1.8992E+05,0.0000E+00
552010.E-03,1.6125E+05,0.0000E+00
564010.E-03,1.3034E+05,0.0000E+00
576010.E-03,1.1075E+05,0.0000E+00
588010.E-03,8.1751E+04,0.0000E+00
600010.E-03,6.6750E+04,0.0000E+00
612010.E-03,4.9667E+04,0.0000E+00
624010.E-03,3.9500E+04,0.0000E+00
636010.E-03,2.4834E+04,0.0000E+00
648010.E-03,1.8917E+04,0.0000E+00
660010.E-03,1.3500E+04,0.0000E+00
672010.E-03,8.5001E+03,0.0000E+00
684010.E-03,4.7500E+03,0.0000E+00
696010.E-03,3.1667E+03,0.0000E+00
708010.E-03,2.0834E+03,0.0000E+00
720010.E-03,1.4167E+03,0.0000E+00
732010.E-03,9.1668E+02,0.0000E+00
744010.E-03,5.0001E+02,0.0000E+00
756010.E-03,4.1667E+02,0.0000E+00
768010.E-03,1.6667E+02,0.0000E+00
780010.E-03,0.0000E+00,0.0000E+00
792010.E-03,8.3334E+01,0.0000E+00
804010.E-03,0.0000E+00,0.0000E+00
816010.E-03,0.0000E+00,0.0000E+00
828010.E-03,0.0000E+00,0.0000E+00
840010.E-03,0.0000E+00,0.0000E+00
852010.E-03,0.0000E+00,0.0000E+00
864010.E-03,0.0000E+00,0.0000E+00
876010.E-03,0.0000E+00,0.0000E+00
888010.E-03,0.0000E+00,0.0000E+00
900010.E-03,0.0000E+00,0.0000E+00
912010.E-03,0.0000E+00,0.0000E+00
924010.E-03,0.0000E+00,0.0000E+00
936010.E-03,0.0000E+00,0.0000E+00
948010.E-03,0.0000E+00,0.0000E+00
960010.E-03,0.0000E+00,0.0000E+00
972010.E-03,0.0000E+00,0.0000E+00
984010.E-03,0.0000E+00,0.0000E+00
996010.E-03,0.0000E+00,0.0000E+00
100801.E-02,0.0000E+00,0.0000E+00
102001.E-02,0.0000E+00,0.0000E+00
103201.E-02,0.0000E+00,0.0000E+00
104401.E-02,0.0000E+00,0.0000E+00
105601.E-02,0.0000E+00,0.0000E+00
106801.E-02,0.0000E+00,0.0000E+00
108001.E-02,0.0000E+00,0.0000E+00
109201.E-02,0.0000E+00,0.0000E+00
110401.E-02,0.0000E+00,0.0000E+00
111601.E-02,0.0000E+00,0.0000E+00
112801.E-02,0.0000E+00,0.0000E+00
114001.E-02,0.0000E+00,0.0000E+00
115201.E-02,0.0000E+00,0.0000E+00
116401.E-02,0.0000E+00,0.0000E+00
117601.E-02,0.0000E+00,0.0000E+00
118801.E-02,0.0000E+00,0.0000E+00
120001.E-02,0.0000E+00,0.0000E+00
