DEPTH         Ga         Si          N          C    
451000.E-05  0.0000E+00  4.4450E+07  3.4376E+07  2.6222E+04
901000.E-05  0.0000E+00  4.9996E+07  3.0482E+07  2.8445E+04
135100.E-04  0.0000E+00  6.3885E+07  3.8567E+07  3.7334E+04
180100.E-04  0.0000E+00  7.3495E+07  4.5097E+07  5.5556E+04
225100.E-04  8.8890E+02  8.2365E+07  5.0852E+07  8.9556E+04
270100.E-04  1.5556E+03  9.0156E+07  5.6119E+07  1.5934E+05
315100.E-04  2.0000E+03  9.6826E+07  6.0337E+07  2.8845E+05
360100.E-04  2.4445E+03  1.0283E+08  6.4089E+07  5.9691E+05
405100.E-04  7.7779E+03  1.0750E+08  6.6433E+07  1.4797E+06
450100.E-04  8.4445E+03  1.0869E+08  6.5920E+07  5.3704E+06
495100.E-04  1.4445E+04  9.4138E+07  5.3415E+07  2.3308E+07
540100.E-04  2.1111E+04  5.0021E+07  4.0170E+07  1.3096E+08
585100.E-04  2.5111E+04  8.0715E+06  9.6603E+06  1.9628E+08
630100.E-04  3.8223E+04  2.4755E+06  3.3377E+06  2.0775E+08
675100.E-04  5.9778E+04  1.4151E+06  1.8807E+06  2.1311E+08
720100.E-04  7.6889E+04  9.1670E+05  1.2733E+06  2.1746E+08
765100.E-04  1.0111E+05  6.9669E+05  9.0292E+05  2.2296E+08
810100.E-04  1.2933E+05  5.3602E+05  7.2202E+05  2.2598E+08
855100.E-04  1.5111E+05  4.3401E+05  5.8113E+05  2.2852E+08
900100.E-04  1.8267E+05  3.6023E+05  4.8157E+05  2.3166E+08
945100.E-04  2.2978E+05  3.0245E+05  4.1623E+05  2.3369E+08
990100.E-04  2.5801E+05  2.6801E+05  3.5312E+05  2.3577E+08
103510.E-03  2.8779E+05  2.2556E+05  3.0512E+05  2.3684E+08
108010.E-03  3.3156E+05  1.9200E+05  2.8356E+05  2.3751E+08
112510.E-03  3.9601E+05  1.7800E+05  2.3956E+05  2.3715E+08
117010.E-03  4.4312E+05  1.6934E+05  2.2400E+05  2.3547E+08
121510.E-03  4.9890E+05  1.4489E+05  1.8956E+05  2.3312E+08
126010.E-03  5.8069E+05  1.3467E+05  1.9356E+05  2.3008E+08
130510.E-03  6.1358E+05  1.1556E+05  1.7422E+05  2.2520E+08
135010.E-03  6.9025E+05  1.1933E+05  1.5111E+05  2.1865E+08
139510.E-03  7.6025E+05  9.7112E+04  1.3845E+05  2.1174E+08
144010.E-03  8.1247E+05  8.7112E+04  1.3800E+05  2.0350E+08
148510.E-03  8.8670E+05  8.9778E+04  1.2933E+05  1.9525E+08
153010.E-03  8.9114E+05  7.4001E+04  1.0800E+05  1.8607E+08
157510.E-03  9.4314E+05  6.6667E+04  1.0822E+05  1.7600E+08
162010.E-03  9.7159E+05  5.6000E+04  9.5334E+04  1.6497E+08
166510.E-03  9.4559E+05  5.2889E+04  8.7556E+04  1.5406E+08
171010.E-03  9.3848E+05  5.5334E+04  8.3112E+04  1.4307E+08
175510.E-03  9.3603E+05  3.8223E+04  7.4445E+04  1.3167E+08
180010.E-03  9.2759E+05  4.2223E+04  7.2001E+04  1.2091E+08
184510.E-03  8.7403E+05  3.4667E+04  6.4000E+04  1.1008E+08
189010.E-03  8.3470E+05  3.7111E+04  5.8223E+04  9.9618E+07
193510.E-03  7.7536E+05  2.8445E+04  6.4000E+04  8.9883E+07
198010.E-03  7.1669E+05  3.1556E+04  5.6889E+04  8.0898E+07
202510.E-03  6.5291E+05  2.5334E+04  4.6000E+04  7.1924E+07
207010.E-03  6.0846E+05  2.3111E+04  4.6667E+04  6.3755E+07
211510.E-03  5.4846E+05  1.9556E+04  4.9556E+04  5.6047E+07
