DEPTH,Ga,Si,N,C
4.51E+00,0.00E+00,4.45E+07,3.44E+07,2.62E+04
9.01E+00,0.00E+00,5.00E+07,3.05E+07,2.84E+04
1.35E+01,0.00E+00,6.39E+07,3.86E+07,3.73E+04
1.80E+01,0.00E+00,7.35E+07,4.51E+07,5.56E+04
2.25E+01,8.89E+02,8.24E+07,5.09E+07,8.96E+04
2.70E+01,1.56E+03,9.02E+07,5.61E+07,1.59E+05
3.15E+01,2.00E+03,9.68E+07,6.03E+07,2.88E+05
3.60E+01,2.44E+03,1.03E+08,6.41E+07,5.97E+05
4.05E+01,7.78E+03,1.08E+08,6.64E+07,1.48E+06
4.50E+01,8.44E+03,1.09E+08,6.59E+07,5.37E+06
4.95E+01,1.44E+04,9.41E+07,5.34E+07,2.33E+07
5.40E+01,2.11E+04,5.00E+07,4.02E+07,1.31E+08
5.85E+01,2.51E+04,8.07E+06,9.66E+06,1.96E+08
6.30E+01,3.82E+04,2.48E+06,3.34E+06,2.08E+08
6.75E+01,5.98E+04,1.42E+06,1.88E+06,2.13E+08
7.20E+01,7.69E+04,9.17E+05,1.27E+06,2.17E+08
7.65E+01,1.01E+05,6.97E+05,9.03E+05,2.23E+08
8.10E+01,1.29E+05,5.36E+05,7.22E+05,2.26E+08
8.55E+01,1.51E+05,4.34E+05,5.81E+05,2.29E+08
9.00E+01,1.83E+05,3.60E+05,4.82E+05,2.32E+08
9.45E+01,2.30E+05,3.02E+05,4.16E+05,2.34E+08
9.90E+01,2.58E+05,2.68E+05,3.53E+05,2.36E+08
1.04E+02,2.88E+05,2.26E+05,3.05E+05,2.37E+08
1.08E+02,3.32E+05,1.92E+05,2.84E+05,2.38E+08
1.13E+02,3.96E+05,1.78E+05,2.40E+05,2.37E+08
1.17E+02,4.43E+05,1.69E+05,2.24E+05,2.35E+08
1.22E+02,4.99E+05,1.45E+05,1.90E+05,2.33E+08
1.26E+02,5.81E+05,1.35E+05,1.94E+05,2.30E+08
1.31E+02,6.14E+05,1.16E+05,1.74E+05,2.25E+08
1.35E+02,6.90E+05,1.19E+05,1.51E+05,2.19E+08
1.40E+02,7.60E+05,9.71E+04,1.38E+05,2.12E+08
1.44E+02,8.12E+05,8.71E+04,1.38E+05,2.04E+08
1.49E+02,8.87E+05,8.98E+04,1.29E+05,1.95E+08
1.53E+02,8.91E+05,7.40E+04,1.08E+05,1.86E+08
1.58E+02,9.43E+05,6.67E+04,1.08E+05,1.76E+08
1.62E+02,9.72E+05,5.60E+04,9.53E+04,1.65E+08
1.67E+02,9.46E+05,5.29E+04,8.76E+04,1.54E+08
1.71E+02,9.38E+05,5.53E+04,8.31E+04,1.43E+08
1.76E+02,9.36E+05,3.82E+04,7.44E+04,1.32E+08
1.80E+02,9.28E+05,4.22E+04,7.20E+04,1.21E+08
1.85E+02,8.74E+05,3.47E+04,6.40E+04,1.10E+08
1.89E+02,8.35E+05,3.71E+04,5.82E+04,9.96E+07
1.94E+02,7.75E+05,2.84E+04,6.40E+04,8.99E+07
1.98E+02,7.17E+05,3.16E+04,5.69E+04,8.09E+07
2.03E+02,6.53E+05,2.53E+04,4.60E+04,7.19E+07
2.07E+02,6.08E+05,2.31E+04,4.67E+04,6.38E+07
2.12E+02,5.48E+05,1.96E+04,4.96E+04,5.60E+07
2.16E+02,4.90E+05,1.93E+04,4.40E+04,4.88E+07
2.21E+02,4.34E+05,1.96E+04,3.87E+04,4.24E+07
2.25E+02,3.54E+05,1.47E+04,3.44E+04,3.66E+07
2.30E+02,3.18E+05,1.62E+04,3.40E+04,3.17E+07
2.34E+02,2.71E+05,1.38E+04,3.33E+04,2.73E+07
2.39E+02,2.16E+05,1.31E+04,3.49E+04,2.35E+07
2.43E+02,1.93E+05,8.44E+03,2.33E+04,2.00E+07
2.48E+02,1.61E+05,8.67E+03,2.56E+04,1.71E+07
2.52E+02,1.27E+05,8.67E+03,2.78E+04,1.46E+07
2.57E+02,1.06E+05,8.67E+03,1.76E+04,1.26E+07
2.61E+02,8.44E+04,5.78E+03,2.31E+04,1.07E+07
2.66E+02,7.47E+04,4.89E+03,1.76E+04,9.17E+06
2.70E+02,5.24E+04,5.33E+03,1.82E+04,7.83E+06
2.75E+02,3.89E+04,4.44E+03,1.82E+04,6.72E+06
2.79E+02,2.96E+04,2.44E+03,1.60E+04,5.74E+06
2.84E+02,2.29E+04,3.11E+03,1.24E+04,4.90E+06
2.88E+02,1.89E+04,2.67E+03,1.00E+04,4.21E+06
2.93E+02,1.58E+04,1.33E+03,1.20E+04,3.63E+06
2.97E+02,1.18E+04,1.11E+03,1.09E+04,3.11E+06
3.02E+02,6.89E+03,8.89E+02,7.33E+03,2.67E+06
3.06E+02,5.56E+03,1.78E+03,1.09E+04,2.29E+06
3.11E+02,6.00E+03,1.78E+03,8.44E+03,1.98E+06
3.15E+02,1.11E+03,1.56E+03,8.00E+03,1.71E+06
3.20E+02,1.33E+03,4.44E+02,6.00E+03,1.50E+06
3.24E+02,2.22E+03,2.22E+02,5.56E+03,1.31E+06
3.29E+02,8.89E+02,4.44E+02,5.33E+03,1.09E+06
3.33E+02,6.67E+02,4.44E+02,4.89E+03,9.41E+05
3.38E+02,6.67E+02,4.44E+02,4.22E+03,7.90E+05
3.42E+02,6.67E+02,4.44E+02,3.78E+03,6.78E+05
3.47E+02,2.22E+02,0.00E+00,2.44E+03,5.71E+05
3.51E+02,2.22E+02,0.00E+00,2.22E+03,4.99E+05
3.56E+02,2.22E+02,0.00E+00,2.67E+03,4.46E+05
3.60E+02,0.00E+00,2.22E+02,2.44E+03,3.44E+05
3.65E+02,0.00E+00,0.00E+00,2.00E+03,2.76E+05
3.69E+02,2.22E+02,2.22E+02,6.67E+02,2.45E+05
3.74E+02,0.00E+00,0.00E+00,2.00E+03,2.14E+05
3.78E+02,0.00E+00,0.00E+00,1.33E+03,1.85E+05
3.83E+02,0.00E+00,0.00E+00,8.89E+02,1.49E+05
3.87E+02,0.00E+00,0.00E+00,6.67E+02,1.29E+05
3.92E+02,0.00E+00,0.00E+00,1.11E+03,1.03E+05
3.96E+02,0.00E+00,0.00E+00,6.67E+02,9.33E+04
4.01E+02,0.00E+00,0.00E+00,4.44E+02,6.87E+04
4.05E+02,0.00E+00,0.00E+00,6.67E+02,5.67E+04
4.10E+02,0.00E+00,0.00E+00,4.44E+02,4.22E+04
4.14E+02,0.00E+00,0.00E+00,0.00E+00,3.69E+04
4.19E+02,0.00E+00,0.00E+00,0.00E+00,3.38E+04
4.23E+02,0.00E+00,0.00E+00,6.67E+02,3.09E+04
4.28E+02,0.00E+00,0.00E+00,0.00E+00,2.02E+04
4.32E+02,0.00E+00,0.00E+00,0.00E+00,2.02E+04
4.37E+02,0.00E+00,0.00E+00,0.00E+00,1.36E+04
4.41E+02,0.00E+00,0.00E+00,0.00E+00,1.09E+04
4.46E+02,0.00E+00,0.00E+00,4.44E+02,5.33E+03
4.50E+02,0.00E+00,0.00E+00,0.00E+00,3.11E+03
