DEPTH,Ga,Si,C
0.50,9.45E+03,2.87E+07,1.81E+00
1.05,1.42E+04,3.58E+06,1.94E+00
1.60,2.29E+04,1.20E+06,1.98E+00
2.15,4.09E+04,6.86E+05,1.96E+00
2.70,5.80E+04,4.71E+05,2.11E+00
3.25,8.55E+04,3.55E+05,2.12E+00
3.80,1.11E+05,2.72E+05,2.26E+00
4.35,1.42E+05,2.19E+05,2.23E+00
4.90,1.93E+05,1.79E+05,2.28E+00
5.45,2.33E+05,1.59E+05,2.22E+00
6.00,3.00E+05,1.29E+05,2.31E+00
6.55,3.45E+05,1.15E+05,2.29E+00
7.10,4.09E+05,1.05E+05,2.29E+00
7.65,4.97E+05,8.56E+04,2.32E+00
8.20,5.68E+05,7.38E+04,2.26E+00
8.75,6.50E+05,6.51E+04,2.14E+00
9.30,7.40E+05,5.69E+04,2.04E+00
9.85,8.04E+05,5.62E+04,1.97E+00
10.40,8.82E+05,4.75E+04,1.80E+00
10.95,9.18E+05,4.36E+04,1.74E+00
11.50,9.56E+05,3.91E+04,1.53E+00
12.05,9.60E+05,3.56E+04,1.45E+00
12.60,9.50E+05,3.27E+04,1.32E+00
13.15,9.39E+05,3.44E+04,1.24E+00
13.70,9.30E+05,3.02E+04,1.05E+00
14.25,8.91E+05,2.24E+04,8.90E-01
14.80,8.02E+05,2.04E+04,7.87E-01
15.35,7.43E+05,1.91E+04,7.26E-01
15.90,6.58E+05,1.45E+04,6.23E-01
16.45,5.98E+05,1.51E+04,5.02E-01
17.00,5.01E+05,1.20E+04,4.31E-01
17.55,4.46E+05,1.36E+04,3.90E-01
18.10,3.69E+05,9.64E+03,3.80E-01
18.65,3.05E+05,1.11E+04,3.01E-01
19.20,2.48E+05,7.45E+03,2.49E-01
19.75,1.99E+05,6.36E+03,1.73E-01
20.30,1.60E+05,6.91E+03,1.51E-01
20.85,1.27E+05,6.73E+03,1.20E-01
21.40,9.64E+04,2.91E+03,9.24E-02
21.95,7.51E+04,4.55E+03,8.17E-02
22.50,5.27E+04,3.45E+03,5.57E-02
23.05,3.75E+04,2.73E+03,5.42E-02
23.60,3.27E+04,3.09E+03,4.64E-02
24.15,2.27E+04,2.00E+03,3.46E-02
24.70,1.56E+04,1.45E+03,3.21E-02
25.25,1.04E+04,1.82E+03,2.93E-02
25.80,7.09E+03,9.09E+02,1.68E-02
26.35,4.55E+03,3.64E+02,1.53E-02
26.90,3.82E+03,0.00E+00,1.50E-02
27.45,2.18E+03,3.64E+02,1.21E-02
28.00,3.64E+02,1.82E+02,1.11E-02
28.55,1.09E+03,5.45E+02,1.07E-02
29.10,3.64E+02,1.82E+02,8.56E-03
29.65,1.82E+02,3.64E+02,3.21E-03
30.20,7.27E+02,3.64E+02,4.64E-03
30.75,1.82E+02,0.00E+00,2.50E-03
31.30,0.00E+00,0.00E+00,3.57E-04
31.85,1.82E+02,0.00E+00,1.07E-03
32.40,0.00E+00,0.00E+00,1.07E-03
32.95,0.00E+00,0.00E+00,1.78E-03
33.50,1.82E+02,0.00E+00,1.78E-03
34.05,0.00E+00,0.00E+00,0.00E+00
34.60,0.00E+00,0.00E+00,0.00E+00
35.15,0.00E+00,0.00E+00,0.00E+00
35.70,0.00E+00,0.00E+00,0.00E+00
36.25,0.00E+00,0.00E+00,0.00E+00
36.80,0.00E+00,0.00E+00,0.00E+00
37.35,0.00E+00,0.00E+00,0.00E+00
37.90,0.00E+00,0.00E+00,0.00E+00
38.45,0.00E+00,0.00E+00,0.00E+00
39.00,0.00E+00,0.00E+00,0.00E+00
39.55,0.00E+00,0.00E+00,0.00E+00
40.10,0.00E+00,0.00E+00,0.00E+00
40.65,0.00E+00,0.00E+00,0.00E+00
41.20,0.00E+00,0.00E+00,0.00E+00
41.75,0.00E+00,0.00E+00,0.00E+00
42.30,0.00E+00,0.00E+00,0.00E+00
42.85,0.00E+00,0.00E+00,0.00E+00
43.40,0.00E+00,0.00E+00,0.00E+00
43.95,0.00E+00,0.00E+00,0.00E+00
44.50,0.00E+00,0.00E+00,0.00E+00
45.05,0.00E+00,0.00E+00,0.00E+00
45.60,0.00E+00,0.00E+00,0.00E+00
46.15,0.00E+00,0.00E+00,0.00E+00
46.70,0.00E+00,0.00E+00,0.00E+00
47.25,0.00E+00,0.00E+00,0.00E+00
47.80,0.00E+00,0.00E+00,0.00E+00
48.35,0.00E+00,0.00E+00,0.00E+00
48.90,0.00E+00,0.00E+00,0.00E+00
49.45,0.00E+00,0.00E+00,0.00E+00
50.00,0.00E+00,0.00E+00,0.00E+00
