DEPTH         Ga           Si            N            C       
451000.E-05  1263.40E-04  5091.30E-04  3462.68E-04  0000.00E+00  
901000.E-05  1495.69E-04  5178.38E-04  3333.65E-04  0000.00E+00  
135100.E-04  1610.63E-04  6412.84E-04  4145.38E-04  0000.00E+00  
180100.E-04  1647.35E-04  7404.11E-04  4784.07E-04  0000.00E+00  
225100.E-04  1673.80E-04  8187.92E-04  5330.03E-04  0000.00E+00  
270100.E-04  1714.26E-04  8956.10E-04  5830.94E-04  0000.00E+00  
315100.E-04  1747.61E-04  9577.92E-04  6259.32E-04  0000.00E+00  
360100.E-04  1775.93E-04  1016.27E-03  6621.40E-04  0000.00E+00  
405100.E-04  1812.92E-04  1067.54E-03  6952.50E-04  0000.00E+00  
450100.E-04  1858.20E-04  1105.69E-03  7213.67E-04  0000.00E+00  
495100.E-04  1943.17E-04  1116.02E-03  7343.72E-04  0000.00E+00  
540100.E-04  2985.46E-04  1249.28E-04  8317.72E-05  1855.21E-03  
585100.E-04  2958.65E-04  0000.00E+00  0000.00E+00  2033.27E-03  
630100.E-04  3120.52E-04  0000.00E+00  0000.00E+00  2051.94E-03  
675100.E-04  3124.60E-04  0000.00E+00  0000.00E+00  2074.77E-03  
720100.E-04  3223.93E-04  0000.00E+00  0000.00E+00  2114.76E-03  
765100.E-04  3281.33E-04  0000.00E+00  0000.00E+00  2153.45E-03  
810100.E-04  3328.89E-04  0000.00E+00  0000.00E+00  2174.06E-03  
855100.E-04  3392.05E-04  0000.00E+00  0000.00E+00  2201.46E-03  
900100.E-04  3433.56E-04  0000.00E+00  0000.00E+00  2216.38E-03  
945100.E-04  3500.56E-04  0000.00E+00  0000.00E+00  2245.27E-03  
990100.E-04  3532.95E-04  0000.00E+00  0000.00E+00  2250.92E-03  
103510.E-03  3578.93E-04  0000.00E+00  0000.00E+00  2263.90E-03  
108010.E-03  3576.28E-04  0000.00E+00  0000.00E+00  2265.98E-03  
112510.E-03  3604.11E-04  0000.00E+00  0000.00E+00  2250.16E-03  
117010.E-03  3579.53E-04  0000.00E+00  0000.00E+00  2226.37E-03  
121510.E-03  3568.96E-04  0000.00E+00  0000.00E+00  2205.42E-03  
126010.E-03  3514.25E-04  0000.00E+00  0000.00E+00  2164.28E-03  
130510.E-03  3449.32E-04  0000.00E+00  0000.00E+00  2116.51E-03  
135010.E-03  3355.85E-04  0000.00E+00  0000.00E+00  2043.65E-03  
139510.E-03  3238.20E-04  0000.00E+00  0000.00E+00  1964.94E-03  
144010.E-03  3101.93E-04  0000.00E+00  0000.00E+00  1886.45E-03  
148510.E-03  2949.85E-04  0000.00E+00  0000.00E+00  1797.48E-03  
153010.E-03  2786.45E-04  0000.00E+00  0000.00E+00  1708.42E-03  
157510.E-03  2611.50E-04  0000.00E+00  0000.00E+00  1607.62E-03  
162010.E-03  2440.15E-04  0000.00E+00  0000.00E+00  1499.04E-03  
166510.E-03  2235.50E-04  0000.00E+00  0000.00E+00  1391.98E-03  
171010.E-03  2047.29E-04  0000.00E+00  0000.00E+00  1287.08E-03  
175510.E-03  1845.27E-04  0000.00E+00  0000.00E+00  1179.03E-03  
180010.E-03  1654.74E-04  0000.00E+00  0000.00E+00  1076.21E-03  
184510.E-03  1476.84E-04  0000.00E+00  0000.00E+00  9768.48E-04  
189010.E-03  1298.80E-04  0000.00E+00  0000.00E+00  8772.80E-04  
193510.E-03  1145.90E-04  0000.00E+00  0000.00E+00  7928.20E-04  
198010.E-03  9920.41E-05  0000.00E+00  0000.00E+00  7080.21E-04  
202510.E-03  8481.37E-05  0000.00E+00  0000.00E+00  6255.53E-04  
207010.E-03  7183.04E-05  0000.00E+00  0000.00E+00  5478.50E-04  
211510.E-03  6002.65E-05  0000.00E+00  0000.00E+00  4791.42E-04  
216010.E-03  5023.54E-05  0000.00E+00  0000.00E+00  4169.24E-04  
220510.E-03  4170.41E-05  0000.00E+00  0000.00E+00  3597.32E-04  
225010.E-03  3460.13E-05  0000.00E+00  0000.00E+00  3104.51E-04  
229510.E-03  2792.51E-05  0000.00E+00  0000.00E+00  2679.35E-04  
234010.E-03  2270.41E-05  0000.00E+00  0000.00E+00  2306.17E-04  
238510.E-03  1818.52E-05  0000.00E+00  0000.00E+00  1971.98E-04  
243010.E-03  1413.28E-05  0000.00E+00  0000.00E+00  1673.42E-04  
247510.E-03  1117.13E-05  0000.00E+00  0000.00E+00  1427.72E-04  
252010.E-03  8673.64E-06  0000.00E+00  0000.00E+00  1221.09E-04  
256510.E-03  6831.34E-06  0000.00E+00  0000.00E+00  1043.99E-04  
261010.E-03  5191.28E-06  0000.00E+00  0000.00E+00  9003.06E-05  
265510.E-03  3817.89E-06  0000.00E+00  0000.00E+00  7622.71E-05  
270010.E-03  2964.52E-06  0000.00E+00  0000.00E+00  6537.19E-05  
274510.E-03  2206.71E-06  0000.00E+00  0000.00E+00  5615.63E-05  
279010.E-03  1682.25E-06  0000.00E+00  0000.00E+00  4817.82E-05  
283510.E-03  1268.90E-06  0000.00E+00  0000.00E+00  4076.66E-05  
288010.E-03  8622.28E-07  0000.00E+00  0000.00E+00  3503.23E-05  
292510.E-03  5844.49E-07  0000.00E+00  0000.00E+00  3035.79E-05  
297010.E-03  4200.03E-07  0000.00E+00  0000.00E+00  2616.33E-05  
301510.E-03  2755.58E-07  0000.00E+00  0000.00E+00  2210.43E-05  
306010.E-03  1933.35E-07  0000.00E+00  0000.00E+00  1919.38E-05  
310510.E-03  1777.80E-07  0000.00E+00  0000.00E+00  1650.33E-05  
315010.E-03  1311.12E-07  0000.00E+00  0000.00E+00  1471.04E-05  
319510.E-03  9111.21E-08  0000.00E+00  0000.00E+00  1246.65E-05  
324010.E-03  7777.86E-08  0000.00E+00  0000.00E+00  1040.48E-05  
328510.E-03  5555.61E-08  0000.00E+00  0000.00E+00  9187.00E-06  
333010.E-03  3555.59E-08  0000.00E+00  0000.00E+00  8069.17E-06  
337510.E-03  2000.02E-08  0000.00E+00  0000.00E+00  6622.45E-06  
342010.E-03  1777.80E-08  0000.00E+00  0000.00E+00  5420.18E-06  
346510.E-03  6666.73E-09  0000.00E+00  0000.00E+00  4833.49E-06  
351010.E-03  4444.49E-09  0000.00E+00  0000.00E+00  4093.46E-06  
355510.E-03  4444.49E-09  0000.00E+00  0000.00E+00  3508.99E-06  
360010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2800.07E-06  
364510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2395.61E-06  
369010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2028.93E-06  
373510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1804.47E-06  
378010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1497.80E-06  
382510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1228.90E-06  
387010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1046.67E-06  
391510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  8400.06E-07  
396010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  6800.05E-07  
400510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  5266.71E-07  
405010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  4466.70E-07  
409510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  3222.25E-07  
414010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  3311.14E-07  
418510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2533.36E-07  
423010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2466.69E-07  
427510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1511.13E-07  
432010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1622.24E-07  
436510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1311.12E-07  
441010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  6222.29E-08  
445510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  3777.82E-08  
450010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2222.24E-08  

 To convert to Energy Lost - multiply by Average Binding Energy =  2.666667  eV/Vacancy
