DEPTH,Ga,Si,N,C,,,,,,,,,,
4.51E+00,1.26E-01,5.09E-01,3.46E-01,0.00E+00,,,,,,,,,,
9.01E+00,1.50E-01,5.18E-01,3.33E-01,0.00E+00,,,,,,,,,,
1.35E+01,1.61E-01,6.41E-01,4.15E-01,0.00E+00,,,,,,,,,,
1.80E+01,1.65E-01,7.40E-01,4.78E-01,0.00E+00,,,,,,,,,,
2.25E+01,1.67E-01,8.19E-01,5.33E-01,0.00E+00,,,,,,,,,,
2.70E+01,1.71E-01,8.96E-01,5.83E-01,0.00E+00,,,,,,,,,,
3.15E+01,1.75E-01,9.58E-01,6.26E-01,0.00E+00,,,,,,,,,,
3.60E+01,1.78E-01,1.02E+00,6.62E-01,0.00E+00,,,,,,,,,,
4.05E+01,1.81E-01,1.07E+00,6.95E-01,0.00E+00,,,,,,,,,,
4.50E+01,1.86E-01,1.11E+00,7.21E-01,0.00E+00,,,,,,,,,,
4.95E+01,1.94E-01,1.12E+00,7.34E-01,0.00E+00,,,,,,,,,,
5.40E+01,2.99E-01,1.25E-01,8.32E-02,1.86E+00,,,,,,,,,,
5.85E+01,2.96E-01,0.00E+00,0.00E+00,2.03E+00,,,,,,,,,,
6.30E+01,3.12E-01,0.00E+00,0.00E+00,2.05E+00,,,,,,,,,,
6.75E+01,3.12E-01,0.00E+00,0.00E+00,2.07E+00,,,,,,,,,,
7.20E+01,3.22E-01,0.00E+00,0.00E+00,2.11E+00,,,,,,,,,,
7.65E+01,3.28E-01,0.00E+00,0.00E+00,2.15E+00,,,,,,,,,,
8.10E+01,3.33E-01,0.00E+00,0.00E+00,2.17E+00,,,,,,,,,,
8.55E+01,3.39E-01,0.00E+00,0.00E+00,2.20E+00,,,,,,,,,,
9.00E+01,3.43E-01,0.00E+00,0.00E+00,2.22E+00,,,,,,,,,,
9.45E+01,3.50E-01,0.00E+00,0.00E+00,2.25E+00,,,,,,,,,,
9.90E+01,3.53E-01,0.00E+00,0.00E+00,2.25E+00,,,,,,,,,,
1.04E+02,3.58E-01,0.00E+00,0.00E+00,2.26E+00,,,,,,,,,,
1.08E+02,3.58E-01,0.00E+00,0.00E+00,2.27E+00,,,,,,,,,,
1.13E+02,3.60E-01,0.00E+00,0.00E+00,2.25E+00,,,,,,,,,,
1.17E+02,3.58E-01,0.00E+00,0.00E+00,2.23E+00,,,,,,,,,,
1.22E+02,3.57E-01,0.00E+00,0.00E+00,2.21E+00,,,,,,,,,,
1.26E+02,3.51E-01,0.00E+00,0.00E+00,2.16E+00,,,,,,,,,,
1.31E+02,3.45E-01,0.00E+00,0.00E+00,2.12E+00,,,,,,,,,,
1.35E+02,3.36E-01,0.00E+00,0.00E+00,2.04E+00,,,,,,,,,,
1.40E+02,3.24E-01,0.00E+00,0.00E+00,1.96E+00,,,,,,,,,,
1.44E+02,3.10E-01,0.00E+00,0.00E+00,1.89E+00,,,,,,,,,,
1.49E+02,2.95E-01,0.00E+00,0.00E+00,1.80E+00,,,,,,,,,,
1.53E+02,2.79E-01,0.00E+00,0.00E+00,1.71E+00,,,,,,,,,,
1.58E+02,2.61E-01,0.00E+00,0.00E+00,1.61E+00,,,,,,,,,,
1.62E+02,2.44E-01,0.00E+00,0.00E+00,1.50E+00,,,,,,,,,,
1.67E+02,2.24E-01,0.00E+00,0.00E+00,1.39E+00,,,,,,,,,,
1.71E+02,2.05E-01,0.00E+00,0.00E+00,1.29E+00,,,,,,,,,,
1.76E+02,1.85E-01,0.00E+00,0.00E+00,1.18E+00,,,,,,,,,,
1.80E+02,1.65E-01,0.00E+00,0.00E+00,1.08E+00,,,,,,,,,,
1.85E+02,1.48E-01,0.00E+00,0.00E+00,9.77E-01,,,,,,,,,,
1.89E+02,1.30E-01,0.00E+00,0.00E+00,8.77E-01,,,,,,,,,,
1.94E+02,1.15E-01,0.00E+00,0.00E+00,7.93E-01,,,,,,,,,,
1.98E+02,9.92E-02,0.00E+00,0.00E+00,7.08E-01,,,,,,,,,,
2.03E+02,8.48E-02,0.00E+00,0.00E+00,6.26E-01,,,,,,,,,,
2.07E+02,7.18E-02,0.00E+00,0.00E+00,5.48E-01,,,,,,,,,,
2.12E+02,6.00E-02,0.00E+00,0.00E+00,4.79E-01,,,,,,,,,,
2.16E+02,5.02E-02,0.00E+00,0.00E+00,4.17E-01,,,,,,,,,,
2.21E+02,4.17E-02,0.00E+00,0.00E+00,3.60E-01,,,,,,,,,,
2.25E+02,3.46E-02,0.00E+00,0.00E+00,3.10E-01,,,,,,,,,,
2.30E+02,2.79E-02,0.00E+00,0.00E+00,2.68E-01,,,,,,,,,,
2.34E+02,2.27E-02,0.00E+00,0.00E+00,2.31E-01,,,,,,,,,,
2.39E+02,1.82E-02,0.00E+00,0.00E+00,1.97E-01,,,,,,,,,,
2.43E+02,1.41E-02,0.00E+00,0.00E+00,1.67E-01,,,,,,,,,,
2.48E+02,1.12E-02,0.00E+00,0.00E+00,1.43E-01,,,,,,,,,,
2.52E+02,8.67E-03,0.00E+00,0.00E+00,1.22E-01,,,,,,,,,,
2.57E+02,6.83E-03,0.00E+00,0.00E+00,1.04E-01,,,,,,,,,,
2.61E+02,5.19E-03,0.00E+00,0.00E+00,9.00E-02,,,,,,,,,,
2.66E+02,3.82E-03,0.00E+00,0.00E+00,7.62E-02,,,,,,,,,,
2.70E+02,2.96E-03,0.00E+00,0.00E+00,6.54E-02,,,,,,,,,,
2.75E+02,2.21E-03,0.00E+00,0.00E+00,5.62E-02,,,,,,,,,,
2.79E+02,1.68E-03,0.00E+00,0.00E+00,4.82E-02,,,,,,,,,,
2.84E+02,1.27E-03,0.00E+00,0.00E+00,4.08E-02,,,,,,,,,,
2.88E+02,8.62E-04,0.00E+00,0.00E+00,3.50E-02,,,,,,,,,,
2.93E+02,5.84E-04,0.00E+00,0.00E+00,3.04E-02,,,,,,,,,,
2.97E+02,4.20E-04,0.00E+00,0.00E+00,2.62E-02,,,,,,,,,,
3.02E+02,2.76E-04,0.00E+00,0.00E+00,2.21E-02,,,,,,,,,,
3.06E+02,1.93E-04,0.00E+00,0.00E+00,1.92E-02,,,,,,,,,,
3.11E+02,1.78E-04,0.00E+00,0.00E+00,1.65E-02,,,,,,,,,,
3.15E+02,1.31E-04,0.00E+00,0.00E+00,1.47E-02,,,,,,,,,,
3.20E+02,9.11E-05,0.00E+00,0.00E+00,1.25E-02,,,,,,,,,,
3.24E+02,7.78E-05,0.00E+00,0.00E+00,1.04E-02,,,,,,,,,,
3.29E+02,5.56E-05,0.00E+00,0.00E+00,9.19E-03,,,,,,,,,,
3.33E+02,3.56E-05,0.00E+00,0.00E+00,8.07E-03,,,,,,,,,,
3.38E+02,2.00E-05,0.00E+00,0.00E+00,6.62E-03,,,,,,,,,,
3.42E+02,1.78E-05,0.00E+00,0.00E+00,5.42E-03,,,,,,,,,,
3.47E+02,6.67E-06,0.00E+00,0.00E+00,4.83E-03,,,,,,,,,,
3.51E+02,4.44E-06,0.00E+00,0.00E+00,4.09E-03,,,,,,,,,,
3.56E+02,4.44E-06,0.00E+00,0.00E+00,3.51E-03,,,,,,,,,,
