DEPTH         Ga         Si          O          C    
551000.E-05  0.0000E+00  2.8655E+07  3.4144E+07  6.4183E+04
110100.E-04  0.0000E+00  3.3157E+07  3.1219E+07  5.0182E+04
165100.E-04  0.0000E+00  4.1902E+07  4.0132E+07  7.8365E+04
220100.E-04  1.8182E+02  4.8490E+07  4.7277E+07  1.3073E+05
275100.E-04  3.6364E+02  5.4290E+07  5.3037E+07  2.2164E+05
330100.E-04  1.8182E+02  5.9480E+07  5.8048E+07  4.5856E+05
385100.E-04  1.8182E+03  6.3597E+07  6.1536E+07  1.1684E+06
440100.E-04  3.6364E+03  6.5157E+07  6.2395E+07  4.1653E+06
495100.E-04  5.4546E+03  5.6591E+07  5.1013E+07  1.8755E+07
550100.E-04  9.8183E+03  2.8955E+07  3.7592E+07  1.3424E+08
605100.E-04  1.1818E+04  3.6060E+06  6.7825E+06  1.9479E+08
660100.E-04  2.4182E+04  1.2140E+06  2.4332E+06  2.0428E+08
715100.E-04  3.4182E+04  6.7857E+05  1.3930E+06  2.1119E+08
770100.E-04  5.4910E+04  4.5765E+05  9.3985E+05  2.1773E+08
825100.E-04  8.4910E+04  3.4546E+05  6.8439E+05  2.2382E+08
880100.E-04  1.0855E+05  2.7346E+05  5.3256E+05  2.2899E+08
935100.E-04  1.4582E+05  2.1473E+05  4.3147E+05  2.3436E+08
990100.E-04  1.9055E+05  1.8618E+05  3.6965E+05  2.3808E+08
104510.E-03  2.3837E+05  1.5182E+05  3.0474E+05  2.4106E+08
110010.E-03  2.9255E+05  1.2582E+05  2.8037E+05  2.4291E+08
115510.E-03  3.5546E+05  1.1491E+05  2.2455E+05  2.4355E+08
121010.E-03  4.0965E+05  1.0018E+05  1.9800E+05  2.4293E+08
126510.E-03  4.8420E+05  8.6001E+04  1.8128E+05  2.4121E+08
132010.E-03  5.7566E+05  7.6728E+04  1.6109E+05  2.3601E+08
137510.E-03  6.4148E+05  7.0365E+04  1.4546E+05  2.3023E+08
143010.E-03  7.4439E+05  6.0910E+04  1.3200E+05  2.2263E+08
148510.E-03  7.9766E+05  5.6910E+04  1.2418E+05  2.1312E+08
154010.E-03  8.5530E+05  4.6728E+04  1.0655E+05  2.0280E+08
159510.E-03  9.1749E+05  4.8728E+04  1.0782E+05  1.9005E+08
165010.E-03  9.5222E+05  3.9091E+04  9.1819E+04  1.7645E+08
170510.E-03  9.9549E+05  3.7637E+04  8.2001E+04  1.6280E+08
176010.E-03  9.7658E+05  3.3091E+04  7.6001E+04  1.4826E+08
181510.E-03  9.4567E+05  2.7637E+04  7.8728E+04  1.3417E+08
187010.E-03  9.1912E+05  2.8000E+04  6.5092E+04  1.2000E+08
192510.E-03  8.6876E+05  2.3091E+04  6.0546E+04  1.0672E+08
198010.E-03  7.8912E+05  2.1818E+04  5.7455E+04  9.3953E+07
203510.E-03  7.3693E+05  1.7637E+04  4.9819E+04  8.2197E+07
209010.E-03  6.6930E+05  1.5273E+04  4.2364E+04  7.1043E+07
214510.E-03  5.7693E+05  1.1273E+04  4.3455E+04  6.1105E+07
220010.E-03  5.0947E+05  1.3091E+04  4.1455E+04  5.1862E+07
225510.E-03  4.6092E+05  1.3636E+04  3.6909E+04  4.3851E+07
231010.E-03  3.6419E+05  9.0910E+03  3.2182E+04  3.7156E+07
236510.E-03  2.9819E+05  9.0910E+03  2.9818E+04  3.1146E+07
242010.E-03  2.5692E+05  7.2728E+03  3.0546E+04  2.6058E+07
247510.E-03  1.9819E+05  8.7274E+03  2.8364E+04  2.1654E+07
253010.E-03  1.6837E+05  6.1819E+03  2.4728E+04  1.8052E+07
258510.E-03  1.2909E+05  5.4546E+03  2.4182E+04  1.5092E+07
