DEPTH         Ga           Si            O            C       
551000.E-05  9709.80E-05  3368.38E-04  3395.08E-04  0000.00E+00  
110100.E-04  1301.32E-04  3468.62E-04  3475.42E-04  0000.00E+00  
165100.E-04  1352.34E-04  4314.21E-04  4336.66E-04  0000.00E+00  
220100.E-04  1356.15E-04  4945.10E-04  5017.66E-04  0000.00E+00  
275100.E-04  1379.88E-04  5518.38E-04  5561.10E-04  0000.00E+00  
330100.E-04  1410.56E-04  6026.39E-04  6061.97E-04  0000.00E+00  
385100.E-04  1446.99E-04  6452.38E-04  6488.20E-04  0000.00E+00  
440100.E-04  1460.76E-04  6765.15E-04  6818.19E-04  0000.00E+00  
495100.E-04  1552.64E-04  6884.37E-04  7027.12E-04  0000.00E+00  
550100.E-04  2801.05E-04  6279.48E-05  6485.10E-05  1806.69E-03  
605100.E-04  2912.85E-04  0000.00E+00  0000.00E+00  1965.98E-03  
660100.E-04  2998.96E-04  0000.00E+00  0000.00E+00  1999.11E-03  
715100.E-04  3089.04E-04  0000.00E+00  0000.00E+00  2050.43E-03  
770100.E-04  3173.67E-04  0000.00E+00  0000.00E+00  2105.49E-03  
825100.E-04  3262.94E-04  0000.00E+00  0000.00E+00  2161.53E-03  
880100.E-04  3338.79E-04  0000.00E+00  0000.00E+00  2202.44E-03  
935100.E-04  3421.61E-04  0000.00E+00  0000.00E+00  2249.68E-03  
990100.E-04  3478.81E-04  0000.00E+00  0000.00E+00  2280.64E-03  
104510.E-03  3547.37E-04  0000.00E+00  0000.00E+00  2301.78E-03  
110010.E-03  3600.61E-04  0000.00E+00  0000.00E+00  2317.78E-03  
115510.E-03  3620.75E-04  0000.00E+00  0000.00E+00  2315.07E-03  
121010.E-03  3630.56E-04  0000.00E+00  0000.00E+00  2306.17E-03  
126510.E-03  3597.82E-04  0000.00E+00  0000.00E+00  2271.70E-03  
132010.E-03  3533.91E-04  0000.00E+00  0000.00E+00  2219.45E-03  
137510.E-03  3448.30E-04  0000.00E+00  0000.00E+00  2153.84E-03  
143010.E-03  3334.16E-04  0000.00E+00  0000.00E+00  2072.16E-03  
148510.E-03  3175.56E-04  0000.00E+00  0000.00E+00  1975.71E-03  
154010.E-03  3000.47E-04  0000.00E+00  0000.00E+00  1865.64E-03  
159510.E-03  2796.80E-04  0000.00E+00  0000.00E+00  1737.58E-03  
165010.E-03  2576.26E-04  0000.00E+00  0000.00E+00  1602.16E-03  
170510.E-03  2334.86E-04  0000.00E+00  0000.00E+00  1465.28E-03  
176010.E-03  2101.05E-04  0000.00E+00  0000.00E+00  1333.52E-03  
181510.E-03  1854.49E-04  0000.00E+00  0000.00E+00  1198.56E-03  
187010.E-03  1625.22E-04  0000.00E+00  0000.00E+00  1066.91E-03  
192510.E-03  1404.76E-04  0000.00E+00  0000.00E+00  9403.29E-04  
198010.E-03  1194.00E-04  0000.00E+00  0000.00E+00  8238.13E-04  
203510.E-03  1003.99E-04  0000.00E+00  0000.00E+00  7179.93E-04  
209010.E-03  8350.39E-05  0000.00E+00  0000.00E+00  6155.47E-04  
214510.E-03  6815.69E-05  0000.00E+00  0000.00E+00  5267.75E-04  
220010.E-03  5519.67E-05  0000.00E+00  0000.00E+00  4432.85E-04  
225510.E-03  4425.82E-05  0000.00E+00  0000.00E+00  3740.51E-04  
231010.E-03  3476.27E-05  0000.00E+00  0000.00E+00  3150.62E-04  
236510.E-03  2680.70E-05  0000.00E+00  0000.00E+00  2643.20E-04  
242010.E-03  2057.01E-05  0000.00E+00  0000.00E+00  2194.63E-04  
247510.E-03  1551.15E-05  0000.00E+00  0000.00E+00  1811.68E-04  
253010.E-03  1180.35E-05  0000.00E+00  0000.00E+00  1522.14E-04  
258510.E-03  8673.03E-06  0000.00E+00  0000.00E+00  1261.55E-04  
264010.E-03  6531.13E-06  0000.00E+00  0000.00E+00  1066.74E-04  
269510.E-03  4616.51E-06  0000.00E+00  0000.00E+00  8718.03E-05  
275010.E-03  3249.18E-06  0000.00E+00  0000.00E+00  7042.93E-05  
280510.E-03  2114.59E-06  0000.00E+00  0000.00E+00  5708.04E-05  
286010.E-03  1529.11E-06  0000.00E+00  0000.00E+00  4794.01E-05  
291510.E-03  9872.81E-07  0000.00E+00  0000.00E+00  4067.40E-05  
297010.E-03  5945.54E-07  0000.00E+00  0000.00E+00  3416.07E-05  
302510.E-03  3745.49E-07  0000.00E+00  0000.00E+00  2836.03E-05  
308010.E-03  2763.66E-07  0000.00E+00  0000.00E+00  2371.67E-05  
313510.E-03  1854.56E-07  0000.00E+00  0000.00E+00  1937.22E-05  
319010.E-03  1254.56E-07  0000.00E+00  0000.00E+00  1690.20E-05  
324510.E-03  8000.08E-08  0000.00E+00  0000.00E+00  1373.93E-05  
330010.E-03  5636.42E-08  0000.00E+00  0000.00E+00  1161.27E-05  
335510.E-03  2909.12E-08  0000.00E+00  0000.00E+00  9402.16E-06  
341010.E-03  1090.92E-08  0000.00E+00  0000.00E+00  7902.09E-06  
346510.E-03  5454.60E-09  0000.00E+00  0000.00E+00  6222.03E-06  
352010.E-03  3636.40E-09  0000.00E+00  0000.00E+00  5214.71E-06  
357510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  4232.86E-06  
363010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  3652.83E-06  
368510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2972.80E-06  
374010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2296.41E-06  
379510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1976.40E-06  
385010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1556.38E-06  
390510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1243.64E-06  
396010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  9381.91E-07  
401510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  8163.73E-07  
407010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  6291.00E-07  
412510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  5709.17E-07  
418010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  3527.31E-07  
423510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2763.66E-07  
429010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2509.11E-07  
434510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  2163.66E-07  
440010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1418.20E-07  
445510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1236.38E-07  
451010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  9636.46E-08  
456510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  6363.70E-08  
462010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  5636.42E-08  
467510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  3818.22E-08  
473010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  7272.80E-09  
478510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
484010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  1818.20E-09  
489510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
495010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
500510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
506010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
511510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
517010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
522510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
528010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
533510.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
