DEPTH,Ga,Si,O,C
5.51E+00,0.00E+00,2.87E+07,3.41E+07,6.42E+04
1.10E+01,0.00E+00,3.32E+07,3.12E+07,5.02E+04
1.65E+01,0.00E+00,4.19E+07,4.01E+07,7.84E+04
2.20E+01,1.82E+02,4.85E+07,4.73E+07,1.31E+05
2.75E+01,3.64E+02,5.43E+07,5.30E+07,2.22E+05
3.30E+01,1.82E+02,5.95E+07,5.80E+07,4.59E+05
3.85E+01,1.82E+03,6.36E+07,6.15E+07,1.17E+06
4.40E+01,3.64E+03,6.52E+07,6.24E+07,4.17E+06
4.95E+01,5.45E+03,5.66E+07,5.10E+07,1.88E+07
5.50E+01,9.82E+03,2.90E+07,3.76E+07,1.34E+08
6.05E+01,1.18E+04,3.61E+06,6.78E+06,1.95E+08
6.60E+01,2.42E+04,1.21E+06,2.43E+06,2.04E+08
7.15E+01,3.42E+04,6.79E+05,1.39E+06,2.11E+08
7.70E+01,5.49E+04,4.58E+05,9.40E+05,2.18E+08
8.25E+01,8.49E+04,3.45E+05,6.84E+05,2.24E+08
8.80E+01,1.09E+05,2.73E+05,5.33E+05,2.29E+08
9.35E+01,1.46E+05,2.15E+05,4.31E+05,2.34E+08
9.90E+01,1.91E+05,1.86E+05,3.70E+05,2.38E+08
1.05E+02,2.38E+05,1.52E+05,3.05E+05,2.41E+08
1.10E+02,2.93E+05,1.26E+05,2.80E+05,2.43E+08
1.16E+02,3.55E+05,1.15E+05,2.25E+05,2.44E+08
1.21E+02,4.10E+05,1.00E+05,1.98E+05,2.43E+08
1.27E+02,4.84E+05,8.60E+04,1.81E+05,2.41E+08
1.32E+02,5.76E+05,7.67E+04,1.61E+05,2.36E+08
1.38E+02,6.41E+05,7.04E+04,1.45E+05,2.30E+08
1.43E+02,7.44E+05,6.09E+04,1.32E+05,2.23E+08
1.49E+02,7.98E+05,5.69E+04,1.24E+05,2.13E+08
1.54E+02,8.55E+05,4.67E+04,1.07E+05,2.03E+08
1.60E+02,9.17E+05,4.87E+04,1.08E+05,1.90E+08
1.65E+02,9.52E+05,3.91E+04,9.18E+04,1.76E+08
1.71E+02,9.95E+05,3.76E+04,8.20E+04,1.63E+08
1.76E+02,9.77E+05,3.31E+04,7.60E+04,1.48E+08
1.82E+02,9.46E+05,2.76E+04,7.87E+04,1.34E+08
1.87E+02,9.19E+05,2.80E+04,6.51E+04,1.20E+08
1.93E+02,8.69E+05,2.31E+04,6.05E+04,1.07E+08
1.98E+02,7.89E+05,2.18E+04,5.75E+04,9.40E+07
2.04E+02,7.37E+05,1.76E+04,4.98E+04,8.22E+07
2.09E+02,6.69E+05,1.53E+04,4.24E+04,7.10E+07
2.15E+02,5.77E+05,1.13E+04,4.35E+04,6.11E+07
2.20E+02,5.09E+05,1.31E+04,4.15E+04,5.19E+07
2.26E+02,4.61E+05,1.36E+04,3.69E+04,4.39E+07
2.31E+02,3.64E+05,9.09E+03,3.22E+04,3.72E+07
2.37E+02,2.98E+05,9.09E+03,2.98E+04,3.11E+07
2.42E+02,2.57E+05,7.27E+03,3.05E+04,2.61E+07
2.48E+02,1.98E+05,8.73E+03,2.84E+04,2.17E+07
2.53E+02,1.68E+05,6.18E+03,2.47E+04,1.81E+07
2.59E+02,1.29E+05,5.45E+03,2.42E+04,1.51E+07
2.64E+02,9.91E+04,5.09E+03,2.35E+04,1.26E+07
2.70E+02,7.53E+04,3.27E+03,1.98E+04,1.04E+07
2.75E+02,5.45E+04,2.36E+03,1.76E+04,8.51E+06
2.81E+02,4.73E+04,2.91E+03,1.47E+04,6.92E+06
2.86E+02,3.24E+04,2.36E+03,1.16E+04,5.71E+06
2.92E+02,2.11E+04,1.64E+03,1.07E+04,4.82E+06
2.97E+02,1.42E+04,1.82E+03,1.24E+04,4.09E+06
3.03E+02,1.29E+04,5.45E+02,9.82E+03,3.37E+06
3.08E+02,9.27E+03,1.64E+03,7.45E+03,2.85E+06
3.14E+02,3.64E+03,9.09E+02,8.91E+03,2.30E+06
3.19E+02,2.36E+03,5.45E+02,6.55E+03,2.00E+06
3.25E+02,2.00E+03,3.64E+02,6.73E+03,1.65E+06
3.30E+02,1.82E+03,3.64E+02,5.09E+03,1.39E+06
3.36E+02,3.64E+02,7.27E+02,4.91E+03,1.13E+06
3.41E+02,9.09E+02,0.00E+00,4.91E+03,9.56E+05
3.47E+02,5.45E+02,1.82E+02,3.45E+03,7.61E+05
3.52E+02,3.64E+02,1.82E+02,2.91E+03,6.31E+05
3.58E+02,0.00E+00,0.00E+00,2.18E+03,5.16E+05
3.63E+02,1.82E+02,0.00E+00,1.64E+03,4.37E+05
3.69E+02,0.00E+00,1.82E+02,1.45E+03,3.55E+05
3.74E+02,0.00E+00,0.00E+00,2.18E+03,2.73E+05
3.80E+02,0.00E+00,0.00E+00,1.82E+03,2.40E+05
3.85E+02,0.00E+00,0.00E+00,9.09E+02,1.87E+05
3.91E+02,0.00E+00,1.82E+02,1.27E+03,1.54E+05
3.96E+02,0.00E+00,0.00E+00,3.64E+02,1.14E+05
4.02E+02,0.00E+00,0.00E+00,3.64E+02,9.87E+04
4.07E+02,0.00E+00,0.00E+00,9.09E+02,7.89E+04
4.13E+02,0.00E+00,0.00E+00,3.64E+02,6.49E+04
4.18E+02,0.00E+00,0.00E+00,3.64E+02,5.11E+04
4.24E+02,0.00E+00,0.00E+00,0.00E+00,3.45E+04
4.29E+02,0.00E+00,0.00E+00,0.00E+00,2.89E+04
4.35E+02,0.00E+00,0.00E+00,0.00E+00,2.84E+04
4.40E+02,0.00E+00,0.00E+00,0.00E+00,1.80E+04
4.46E+02,0.00E+00,0.00E+00,0.00E+00,1.55E+04
4.51E+02,0.00E+00,0.00E+00,1.82E+02,1.22E+04
4.57E+02,0.00E+00,0.00E+00,0.00E+00,6.91E+03
4.62E+02,0.00E+00,0.00E+00,0.00E+00,8.55E+03
4.68E+02,0.00E+00,0.00E+00,0.00E+00,4.00E+03
4.73E+02,0.00E+00,0.00E+00,0.00E+00,3.45E+03
4.79E+02,0.00E+00,0.00E+00,0.00E+00,5.45E+02
4.84E+02,0.00E+00,0.00E+00,0.00E+00,5.45E+02
4.90E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.95E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.01E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.06E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.12E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.17E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.23E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.28E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.34E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.39E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.45E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
