DEPTH,Ga,Si,O,C,,,,,,,,,,
5.51E+00,9.71E-02,3.37E-01,3.40E-01,0.00E+00,,,,,,,,,,
1.10E+01,1.30E-01,3.47E-01,3.48E-01,0.00E+00,,,,,,,,,,
1.65E+01,1.35E-01,4.31E-01,4.34E-01,0.00E+00,,,,,,,,,,
2.20E+01,1.36E-01,4.95E-01,5.02E-01,0.00E+00,,,,,,,,,,
2.75E+01,1.38E-01,5.52E-01,5.56E-01,0.00E+00,,,,,,,,,,
3.30E+01,1.41E-01,6.03E-01,6.06E-01,0.00E+00,,,,,,,,,,
3.85E+01,1.45E-01,6.45E-01,6.49E-01,0.00E+00,,,,,,,,,,
4.40E+01,1.46E-01,6.77E-01,6.82E-01,0.00E+00,,,,,,,,,,
4.95E+01,1.55E-01,6.88E-01,7.03E-01,0.00E+00,,,,,,,,,,
5.50E+01,2.80E-01,6.28E-02,6.49E-02,1.81E+00,,,,,,,,,,
6.05E+01,2.91E-01,0.00E+00,0.00E+00,1.97E+00,,,,,,,,,,
6.60E+01,3.00E-01,0.00E+00,0.00E+00,2.00E+00,,,,,,,,,,
7.15E+01,3.09E-01,0.00E+00,0.00E+00,2.05E+00,,,,,,,,,,
7.70E+01,3.17E-01,0.00E+00,0.00E+00,2.11E+00,,,,,,,,,,
8.25E+01,3.26E-01,0.00E+00,0.00E+00,2.16E+00,,,,,,,,,,
8.80E+01,3.34E-01,0.00E+00,0.00E+00,2.20E+00,,,,,,,,,,
9.35E+01,3.42E-01,0.00E+00,0.00E+00,2.25E+00,,,,,,,,,,
9.90E+01,3.48E-01,0.00E+00,0.00E+00,2.28E+00,,,,,,,,,,
1.05E+02,3.55E-01,0.00E+00,0.00E+00,2.30E+00,,,,,,,,,,
1.10E+02,3.60E-01,0.00E+00,0.00E+00,2.32E+00,,,,,,,,,,
1.16E+02,3.62E-01,0.00E+00,0.00E+00,2.32E+00,,,,,,,,,,
1.21E+02,3.63E-01,0.00E+00,0.00E+00,2.31E+00,,,,,,,,,,
1.27E+02,3.60E-01,0.00E+00,0.00E+00,2.27E+00,,,,,,,,,,
1.32E+02,3.53E-01,0.00E+00,0.00E+00,2.22E+00,,,,,,,,,,
1.38E+02,3.45E-01,0.00E+00,0.00E+00,2.15E+00,,,,,,,,,,
1.43E+02,3.33E-01,0.00E+00,0.00E+00,2.07E+00,,,,,,,,,,
1.49E+02,3.18E-01,0.00E+00,0.00E+00,1.98E+00,,,,,,,,,,
1.54E+02,3.00E-01,0.00E+00,0.00E+00,1.87E+00,,,,,,,,,,
1.60E+02,2.80E-01,0.00E+00,0.00E+00,1.74E+00,,,,,,,,,,
1.65E+02,2.58E-01,0.00E+00,0.00E+00,1.60E+00,,,,,,,,,,
1.71E+02,2.33E-01,0.00E+00,0.00E+00,1.47E+00,,,,,,,,,,
1.76E+02,2.10E-01,0.00E+00,0.00E+00,1.33E+00,,,,,,,,,,
1.82E+02,1.85E-01,0.00E+00,0.00E+00,1.20E+00,,,,,,,,,,
1.87E+02,1.63E-01,0.00E+00,0.00E+00,1.07E+00,,,,,,,,,,
1.93E+02,1.40E-01,0.00E+00,0.00E+00,9.40E-01,,,,,,,,,,
1.98E+02,1.19E-01,0.00E+00,0.00E+00,8.24E-01,,,,,,,,,,
