DEPTH         Ga         Si          O          C    
201000.E-05  0.0000E+00  2.3970E+07  2.0890E+07  2.0000E+03
401000.E-05  0.0000E+00  2.4273E+07  3.5408E+07  1.0000E+04
601000.E-05  0.0000E+00  2.7184E+07  3.2226E+07  2.5000E+03
801000.E-05  5.0001E+02  3.0697E+07  2.8966E+07  5.0001E+03
100100.E-04  0.0000E+00  3.5978E+07  3.3655E+07  4.5000E+03
120100.E-04  1.5000E+03  4.0206E+07  3.8332E+07  7.5001E+03
140100.E-04  5.0001E+02  4.3768E+07  4.2316E+07  8.0001E+03
160100.E-04  1.0000E+03  4.7482E+07  4.5806E+07  1.0500E+04
180100.E-04  3.5000E+03  5.0567E+07  4.9131E+07  1.4500E+04
200100.E-04  6.0001E+03  5.3786E+07  5.2247E+07  2.4000E+04
220100.E-04  7.0001E+03  5.6808E+07  5.5368E+07  2.7000E+04
240100.E-04  1.0500E+04  5.9801E+07  5.8739E+07  3.5500E+04
260100.E-04  1.4500E+04  6.2115E+07  6.0692E+07  6.4001E+04
280100.E-04  1.9500E+04  6.4898E+07  6.3822E+07  8.9001E+04
300100.E-04  3.3000E+04  6.7776E+07  6.6325E+07  1.1200E+05
320100.E-04  3.7500E+04  6.9746E+07  6.8435E+07  1.8150E+05
340100.E-04  5.0001E+04  7.2347E+07  7.0601E+07  2.6400E+05
360100.E-04  5.8501E+04  7.4350E+07  7.3133E+07  4.2800E+05
380100.E-04  8.2001E+04  7.5605E+07  7.4547E+07  6.9101E+05
400100.E-04  1.0450E+05  7.7523E+07  7.5581E+07  1.2220E+06
420100.E-04  1.3050E+05  7.8369E+07  7.5962E+07  2.1695E+06
440100.E-04  1.2850E+05  7.8070E+07  7.5227E+07  4.1845E+06
460100.E-04  1.7400E+05  7.6806E+07  7.1910E+07  7.9411E+06
480100.E-04  1.9550E+05  7.1572E+07  6.5068E+07  1.4758E+07
500100.E-04  2.1800E+05  5.9415E+07  5.1534E+07  2.7794E+07
520100.E-04  2.3500E+05  6.3436E+07  7.6336E+07  1.0817E+08
540100.E-04  3.3250E+05  3.0256E+07  4.5715E+07  1.6355E+08
560100.E-04  3.5350E+05  1.3204E+07  2.3166E+07  2.0029E+08
580100.E-04  4.3850E+05  6.7711E+06  1.2195E+07  2.1496E+08
600100.E-04  5.2001E+05  4.1830E+06  7.8276E+06  2.1944E+08
620100.E-04  5.8351E+05  2.9265E+06  5.6251E+06  2.1940E+08
640100.E-04  6.8351E+05  2.1165E+06  4.1620E+06  2.1759E+08
660100.E-04  8.0251E+05  1.6975E+06  3.3015E+06  2.1467E+08
680100.E-04  8.8651E+05  1.3525E+06  2.7090E+06  2.1182E+08
700100.E-04  1.0410E+06  1.1415E+06  2.3180E+06  2.0757E+08
720100.E-04  1.1200E+06  9.7301E+05  1.9480E+06  2.0213E+08
740100.E-04  1.2390E+06  8.1401E+05  1.6310E+06  1.9622E+08
760100.E-04  1.3410E+06  6.9701E+05  1.4410E+06  1.8961E+08
780100.E-04  1.3415E+06  6.0001E+05  1.2545E+06  1.8300E+08
800100.E-04  1.4325E+06  5.2151E+05  1.1255E+06  1.7567E+08
820100.E-04  1.5775E+06  4.6400E+05  9.7251E+05  1.6717E+08
840100.E-04  1.6780E+06  4.4300E+05  8.7751E+05  1.5909E+08
860100.E-04  1.6995E+06  3.5750E+05  8.2301E+05  1.5068E+08
880100.E-04  1.7540E+06  3.1950E+05  7.3301E+05  1.4144E+08
900100.E-04  1.7870E+06  2.9500E+05  6.6751E+05  1.3247E+08
920100.E-04  1.8905E+06  2.4900E+05  5.9801E+05  1.2348E+08
940100.E-04  1.8435E+06  2.1900E+05  5.3451E+05  1.1445E+08
960100.E-04  1.8545E+06  1.9950E+05  4.5250E+05  1.0532E+08
980100.E-04  1.8310E+06  1.6550E+05  4.3750E+05  9.6759E+07
100010.E-03  1.7995E+06  1.5650E+05  3.8550E+05  8.8312E+07
102010.E-03  1.8405E+06  1.3950E+05  3.4600E+05  7.9881E+07
104010.E-03  1.7090E+06  1.2250E+05  3.2750E+05  7.2214E+07
106010.E-03  1.6015E+06  1.0900E+05  2.7450E+05  6.4365E+07
108010.E-03  1.5555E+06  7.9501E+04  2.6800E+05  5.7547E+07
110010.E-03  1.4795E+06  7.7001E+04  2.3450E+05  5.0995E+07
112010.E-03  1.3500E+06  6.9501E+04  2.0850E+05  4.4847E+07
114010.E-03  1.2130E+06  6.1001E+04  1.8700E+05  3.9587E+07
116010.E-03  1.0875E+06  5.9501E+04  1.7450E+05  3.4697E+07
118010.E-03  9.9601E+05  5.0001E+04  1.7150E+05  2.9960E+07
120010.E-03  9.2201E+05  4.5000E+04  1.4550E+05  2.6384E+07
122010.E-03  7.7051E+05  3.2500E+04  1.2400E+05  2.2485E+07
124010.E-03  6.9951E+05  4.2000E+04  9.5001E+04  1.9514E+07
126010.E-03  6.1351E+05  3.0500E+04  1.1250E+05  1.6674E+07
128010.E-03  4.9450E+05  2.4500E+04  1.0250E+05  1.4298E+07
130010.E-03  4.3350E+05  1.4500E+04  8.9001E+04  1.2172E+07
132010.E-03  3.6100E+05  2.1500E+04  7.8001E+04  1.0564E+07
134010.E-03  3.2150E+05  1.8000E+04  7.3001E+04  8.9756E+06
136010.E-03  2.4100E+05  1.2500E+04  5.7001E+04  7.6481E+06
138010.E-03  1.9700E+05  1.2500E+04  6.0001E+04  6.5136E+06
140010.E-03  1.6450E+05  1.1000E+04  6.0001E+04  5.5231E+06
142010.E-03  1.3700E+05  9.5001E+03  4.8000E+04  4.6585E+06
144010.E-03  1.0500E+05  9.5001E+03  4.4500E+04  4.0125E+06
146010.E-03  9.3001E+04  7.0001E+03  4.4500E+04  3.4650E+06
148010.E-03  7.4501E+04  7.0001E+03  4.0000E+04  2.9750E+06
150010.E-03  4.9500E+04  3.5000E+03  3.9000E+04  2.5485E+06
152010.E-03  4.1000E+04  5.5001E+03  2.8000E+04  2.1980E+06
154010.E-03  2.9000E+04  4.0000E+03  2.6000E+04  1.8450E+06
156010.E-03  2.2000E+04  2.0000E+03  1.9000E+04  1.5900E+06
158010.E-03  1.5000E+04  1.5000E+03  1.9500E+04  1.3570E+06
160010.E-03  1.1500E+04  2.5000E+03  2.1000E+04  1.1340E+06
162010.E-03  4.5000E+03  1.0000E+03  1.4500E+04  9.6101E+05
164010.E-03  8.0001E+03  1.5000E+03  1.9000E+04  8.2751E+05
166010.E-03  5.5001E+03  1.5000E+03  1.2500E+04  7.0851E+05
168010.E-03  3.5000E+03  1.5000E+03  1.2500E+04  5.8651E+05
170010.E-03  3.0000E+03  5.0001E+02  1.1000E+04  5.1251E+05
172010.E-03  5.0001E+02  5.0001E+02  7.0001E+03  4.5350E+05
174010.E-03  1.0000E+03  1.5000E+03  7.5001E+03  3.7700E+05
176010.E-03  1.0000E+03  0.0000E+00  8.0001E+03  3.2800E+05
178010.E-03  1.0000E+03  5.0001E+02  6.0001E+03  2.7300E+05
180010.E-03  0.0000E+00  1.0000E+03  4.0000E+03  2.3300E+05
182010.E-03  5.0001E+02  0.0000E+00  6.0001E+03  2.0050E+05
184010.E-03  5.0001E+02  5.0001E+02  4.5000E+03  1.4700E+05
186010.E-03  0.0000E+00  5.0001E+02  4.0000E+03  1.5000E+05
188010.E-03  0.0000E+00  5.0001E+02  2.0000E+03  1.2100E+05
190010.E-03  0.0000E+00  0.0000E+00  1.0000E+03  1.0600E+05
192010.E-03  0.0000E+00  0.0000E+00  1.0000E+03  8.2501E+04
194010.E-03  0.0000E+00  0.0000E+00  1.5000E+03  8.1501E+04
196010.E-03  0.0000E+00  0.0000E+00  2.5000E+03  6.8001E+04
198010.E-03  0.0000E+00  0.0000E+00  5.0001E+02  5.3501E+04
200010.E-03  0.0000E+00  0.0000E+00  1.5000E+03  2.8000E+04
