DEPTH,Ga,Si,O,C
2.01E+00,0.00E+00,2.40E+07,2.09E+07,2.00E+03
4.01E+00,0.00E+00,2.43E+07,3.54E+07,1.00E+04
6.01E+00,0.00E+00,2.72E+07,3.22E+07,2.50E+03
8.01E+00,5.00E+02,3.07E+07,2.90E+07,5.00E+03
1.00E+01,0.00E+00,3.60E+07,3.37E+07,4.50E+03
1.20E+01,1.50E+03,4.02E+07,3.83E+07,7.50E+03
1.40E+01,5.00E+02,4.38E+07,4.23E+07,8.00E+03
1.60E+01,1.00E+03,4.75E+07,4.58E+07,1.05E+04
1.80E+01,3.50E+03,5.06E+07,4.91E+07,1.45E+04
2.00E+01,6.00E+03,5.38E+07,5.22E+07,2.40E+04
2.20E+01,7.00E+03,5.68E+07,5.54E+07,2.70E+04
2.40E+01,1.05E+04,5.98E+07,5.87E+07,3.55E+04
2.60E+01,1.45E+04,6.21E+07,6.07E+07,6.40E+04
2.80E+01,1.95E+04,6.49E+07,6.38E+07,8.90E+04
3.00E+01,3.30E+04,6.78E+07,6.63E+07,1.12E+05
3.20E+01,3.75E+04,6.97E+07,6.84E+07,1.82E+05
3.40E+01,5.00E+04,7.23E+07,7.06E+07,2.64E+05
3.60E+01,5.85E+04,7.44E+07,7.31E+07,4.28E+05
3.80E+01,8.20E+04,7.56E+07,7.45E+07,6.91E+05
4.00E+01,1.05E+05,7.75E+07,7.56E+07,1.22E+06
4.20E+01,1.31E+05,7.84E+07,7.60E+07,2.17E+06
4.40E+01,1.29E+05,7.81E+07,7.52E+07,4.18E+06
4.60E+01,1.74E+05,7.68E+07,7.19E+07,7.94E+06
4.80E+01,1.96E+05,7.16E+07,6.51E+07,1.48E+07
5.00E+01,2.18E+05,5.94E+07,5.15E+07,2.78E+07
5.20E+01,2.35E+05,6.34E+07,7.63E+07,1.08E+08
5.40E+01,3.33E+05,3.03E+07,4.57E+07,1.64E+08
5.60E+01,3.54E+05,1.32E+07,2.32E+07,2.00E+08
5.80E+01,4.39E+05,6.77E+06,1.22E+07,2.15E+08
6.00E+01,5.20E+05,4.18E+06,7.83E+06,2.19E+08
6.20E+01,5.84E+05,2.93E+06,5.63E+06,2.19E+08
6.40E+01,6.84E+05,2.12E+06,4.16E+06,2.18E+08
6.60E+01,8.03E+05,1.70E+06,3.30E+06,2.15E+08
6.80E+01,8.87E+05,1.35E+06,2.71E+06,2.12E+08
7.00E+01,1.04E+06,1.14E+06,2.32E+06,2.08E+08
7.20E+01,1.12E+06,9.73E+05,1.95E+06,2.02E+08
7.40E+01,1.24E+06,8.14E+05,1.63E+06,1.96E+08
7.60E+01,1.34E+06,6.97E+05,1.44E+06,1.90E+08
7.80E+01,1.34E+06,6.00E+05,1.25E+06,1.83E+08
8.00E+01,1.43E+06,5.22E+05,1.13E+06,1.76E+08
8.20E+01,1.58E+06,4.64E+05,9.73E+05,1.67E+08
8.40E+01,1.68E+06,4.43E+05,8.78E+05,1.59E+08
8.60E+01,1.70E+06,3.58E+05,8.23E+05,1.51E+08
8.80E+01,1.75E+06,3.20E+05,7.33E+05,1.41E+08
9.00E+01,1.79E+06,2.95E+05,6.68E+05,1.32E+08
9.20E+01,1.89E+06,2.49E+05,5.98E+05,1.23E+08
9.40E+01,1.84E+06,2.19E+05,5.35E+05,1.14E+08
9.60E+01,1.85E+06,2.00E+05,4.53E+05,1.05E+08
9.80E+01,1.83E+06,1.66E+05,4.38E+05,9.68E+07
1.00E+02,1.80E+06,1.57E+05,3.86E+05,8.83E+07
1.02E+02,1.84E+06,1.40E+05,3.46E+05,7.99E+07
1.04E+02,1.71E+06,1.23E+05,3.28E+05,7.22E+07
1.06E+02,1.60E+06,1.09E+05,2.75E+05,6.44E+07
1.08E+02,1.56E+06,7.95E+04,2.68E+05,5.75E+07
1.10E+02,1.48E+06,7.70E+04,2.35E+05,5.10E+07
1.12E+02,1.35E+06,6.95E+04,2.09E+05,4.48E+07
1.14E+02,1.21E+06,6.10E+04,1.87E+05,3.96E+07
1.16E+02,1.09E+06,5.95E+04,1.75E+05,3.47E+07
1.18E+02,9.96E+05,5.00E+04,1.72E+05,3.00E+07
1.20E+02,9.22E+05,4.50E+04,1.46E+05,2.64E+07
1.22E+02,7.71E+05,3.25E+04,1.24E+05,2.25E+07
1.24E+02,7.00E+05,4.20E+04,9.50E+04,1.95E+07
1.26E+02,6.14E+05,3.05E+04,1.13E+05,1.67E+07
1.28E+02,4.95E+05,2.45E+04,1.03E+05,1.43E+07
1.30E+02,4.34E+05,1.45E+04,8.90E+04,1.22E+07
1.32E+02,3.61E+05,2.15E+04,7.80E+04,1.06E+07
1.34E+02,3.22E+05,1.80E+04,7.30E+04,8.98E+06
1.36E+02,2.41E+05,1.25E+04,5.70E+04,7.65E+06
1.38E+02,1.97E+05,1.25E+04,6.00E+04,6.51E+06
1.40E+02,1.65E+05,1.10E+04,6.00E+04,5.52E+06
1.42E+02,1.37E+05,9.50E+03,4.80E+04,4.66E+06
1.44E+02,1.05E+05,9.50E+03,4.45E+04,4.01E+06
1.46E+02,9.30E+04,7.00E+03,4.45E+04,3.47E+06
1.48E+02,7.45E+04,7.00E+03,4.00E+04,2.98E+06
1.50E+02,4.95E+04,3.50E+03,3.90E+04,2.55E+06
1.52E+02,4.10E+04,5.50E+03,2.80E+04,2.20E+06
1.54E+02,2.90E+04,4.00E+03,2.60E+04,1.85E+06
1.56E+02,2.20E+04,2.00E+03,1.90E+04,1.59E+06
1.58E+02,1.50E+04,1.50E+03,1.95E+04,1.36E+06
1.60E+02,1.15E+04,2.50E+03,2.10E+04,1.13E+06
1.62E+02,4.50E+03,1.00E+03,1.45E+04,9.61E+05
1.64E+02,8.00E+03,1.50E+03,1.90E+04,8.28E+05
1.66E+02,5.50E+03,1.50E+03,1.25E+04,7.09E+05
1.68E+02,3.50E+03,1.50E+03,1.25E+04,5.87E+05
1.70E+02,3.00E+03,5.00E+02,1.10E+04,5.13E+05
1.72E+02,5.00E+02,5.00E+02,7.00E+03,4.54E+05
1.74E+02,1.00E+03,1.50E+03,7.50E+03,3.77E+05
1.76E+02,1.00E+03,0.00E+00,8.00E+03,3.28E+05
1.78E+02,1.00E+03,5.00E+02,6.00E+03,2.73E+05
1.80E+02,0.00E+00,1.00E+03,4.00E+03,2.33E+05
1.82E+02,5.00E+02,0.00E+00,6.00E+03,2.01E+05
1.84E+02,5.00E+02,5.00E+02,4.50E+03,1.47E+05
1.86E+02,0.00E+00,5.00E+02,4.00E+03,1.50E+05
1.88E+02,0.00E+00,5.00E+02,2.00E+03,1.21E+05
1.90E+02,0.00E+00,0.00E+00,1.00E+03,1.06E+05
1.92E+02,0.00E+00,0.00E+00,1.00E+03,8.25E+04
1.94E+02,0.00E+00,0.00E+00,1.50E+03,8.15E+04
1.96E+02,0.00E+00,0.00E+00,2.50E+03,6.80E+04
1.98E+02,0.00E+00,0.00E+00,5.00E+02,5.35E+04
2.00E+02,0.00E+00,0.00E+00,1.50E+03,2.80E+04
