DEPTH,Ga,Si,O,C
-3.99E-01,0.00E+00,6.17E+07,6.01E+07,0.00E+00
5.21E-01,7.61E+02,6.27E+07,6.03E+07,0.00E+00
1.44E+00,5.43E+02,4.30E+07,4.37E+07,6.98E-01
2.36E+00,2.72E+03,3.44E+06,6.46E+06,1.72E+00
3.28E+00,3.59E+03,5.99E+05,1.27E+06,1.71E+00
4.20E+00,6.63E+03,3.09E+05,6.56E+05,1.75E+00
5.12E+00,8.80E+03,1.98E+05,4.17E+05,1.79E+00
6.04E+00,1.27E+04,1.46E+05,3.07E+05,1.85E+00
6.96E+00,2.50E+04,1.09E+05,2.33E+05,1.90E+00
7.88E+00,2.93E+04,9.02E+04,1.77E+05,1.95E+00
8.80E+00,3.61E+04,6.35E+04,1.49E+05,2.01E+00
9.72E+00,5.12E+04,6.09E+04,1.28E+05,2.06E+00
1.06E+01,6.86E+04,4.98E+04,1.06E+05,2.11E+00
1.16E+01,7.27E+04,4.79E+04,9.43E+04,2.16E+00
1.25E+01,9.60E+04,3.82E+04,8.30E+04,2.20E+00
1.34E+01,1.16E+05,3.76E+04,7.57E+04,2.24E+00
1.43E+01,1.49E+05,3.45E+04,6.47E+04,2.27E+00
1.52E+01,1.78E+05,2.83E+04,5.76E+04,2.29E+00
1.62E+01,2.08E+05,2.71E+04,5.29E+04,2.29E+00
1.71E+01,2.55E+05,2.54E+04,4.82E+04,2.29E+00
1.80E+01,2.92E+05,1.82E+04,4.62E+04,2.27E+00
1.89E+01,3.22E+05,1.95E+04,3.90E+04,2.24E+00
1.98E+01,3.63E+05,1.75E+04,3.89E+04,2.20E+00
2.08E+01,3.94E+05,1.50E+04,3.46E+04,2.15E+00
2.17E+01,4.18E+05,1.54E+04,3.29E+04,2.08E+00
2.26E+01,4.56E+05,1.61E+04,3.12E+04,1.99E+00
2.35E+01,4.77E+05,1.32E+04,2.59E+04,1.91E+00
2.44E+01,4.97E+05,1.17E+04,2.68E+04,1.81E+00
2.54E+01,5.03E+05,1.24E+04,2.28E+04,1.69E+00
2.63E+01,5.14E+05,1.23E+04,2.42E+04,1.58E+00
2.72E+01,5.16E+05,9.57E+03,2.46E+04,1.46E+00
2.81E+01,4.99E+05,9.35E+03,2.20E+04,1.35E+00
2.90E+01,4.82E+05,6.74E+03,1.99E+04,1.23E+00
3.00E+01,4.53E+05,7.39E+03,1.83E+04,1.11E+00
3.09E+01,4.31E+05,5.76E+03,1.58E+04,9.98E-01
3.18E+01,4.03E+05,6.20E+03,1.66E+04,8.90E-01
3.27E+01,3.67E+05,4.67E+03,1.55E+04,7.86E-01
3.36E+01,3.29E+05,5.22E+03,1.52E+04,6.88E-01
3.46E+01,2.99E+05,3.37E+03,1.24E+04,5.99E-01
3.55E+01,2.63E+05,4.24E+03,1.21E+04,5.19E-01
3.64E+01,2.26E+05,4.13E+03,1.04E+04,4.50E-01
3.73E+01,2.04E+05,5.33E+03,1.26E+04,3.82E-01
3.82E+01,1.74E+05,2.83E+03,1.13E+04,3.26E-01
3.92E+01,1.38E+05,3.37E+03,1.12E+04,2.76E-01
4.01E+01,1.13E+05,2.83E+03,1.03E+04,2.33E-01
4.10E+01,9.08E+04,2.39E+03,8.04E+03,1.97E-01
4.19E+01,7.54E+04,1.74E+03,8.91E+03,1.66E-01
4.28E+01,6.12E+04,2.72E+03,7.17E+03,1.39E-01
4.38E+01,4.72E+04,1.41E+03,7.50E+03,1.16E-01
4.47E+01,3.84E+04,1.63E+03,7.83E+03,9.84E-02
4.56E+01,2.55E+04,8.70E+02,7.07E+03,8.21E-02
4.65E+01,2.11E+04,1.30E+03,5.76E+03,6.95E-02
4.74E+01,1.51E+04,9.78E+02,6.74E+03,5.96E-02
4.84E+01,1.14E+04,8.70E+02,5.54E+03,5.03E-02
4.93E+01,9.24E+03,7.61E+02,5.65E+03,4.23E-02
5.02E+01,5.00E+03,6.52E+02,4.46E+03,3.60E-02
5.11E+01,4.89E+03,5.43E+02,3.26E+03,3.09E-02
5.20E+01,1.52E+03,2.17E+02,4.02E+03,2.67E-02
5.30E+01,2.39E+03,1.09E+02,4.13E+03,2.23E-02
5.39E+01,1.85E+03,1.09E+02,3.37E+03,1.88E-02
5.48E+01,9.78E+02,1.09E+02,3.15E+03,1.65E-02
5.57E+01,5.43E+02,3.26E+02,2.07E+03,1.40E-02
5.66E+01,2.17E+02,0.00E+00,2.39E+03,1.17E-02
5.76E+01,0.00E+00,0.00E+00,2.17E+03,1.02E-02
5.85E+01,0.00E+00,1.09E+02,2.28E+03,8.61E-03
5.94E+01,0.00E+00,3.26E+02,2.28E+03,7.45E-03
6.03E+01,0.00E+00,0.00E+00,1.85E+03,6.21E-03
6.12E+01,1.09E+02,0.00E+00,1.74E+03,4.81E-03
6.22E+01,0.00E+00,0.00E+00,6.52E+02,3.95E-03
6.31E+01,0.00E+00,0.00E+00,1.20E+03,3.40E-03
6.40E+01,0.00E+00,0.00E+00,6.52E+02,2.74E-03
6.49E+01,0.00E+00,0.00E+00,7.61E+02,2.22E-03
6.58E+01,0.00E+00,0.00E+00,7.61E+02,1.85E-03
6.68E+01,0.00E+00,0.00E+00,2.17E+02,1.67E-03
6.77E+01,0.00E+00,0.00E+00,6.52E+02,1.32E-03
6.86E+01,0.00E+00,0.00E+00,6.52E+02,9.75E-04
